Geneid,Kiley_A_DZM0422_Aerobic_A,Kiley_A_DZM0422_Aerobic_B,Kiley_A_DZM0422_Aerobic_C,Kiley_A_DZM0422_Anaerobic_A,Kiley_A_DZM0422_Anaerobic_B,Kiley_A_DZM0422_Anaerobic_C,Kiley_A_WT_Aerobic_A,Kiley_A_WT_Aerobic_B,Kiley_A_WT_Aerobic_C,Kiley_A_WT_Anaerobic_A,Kiley_A_WT_Anaerobic_C,Kiley_B_Dfur_-O2_A,Kiley_B_Dfur_-O2_B,Kiley_B_Dfur_-O2_C,Kiley_B_DrsuR_-O2_A,Kiley_B_DrsuR_-O2_B,Kiley_B_DrsuR_-O2_C,Kiley_B_WT_+O2_Ctrl_A,Kiley_B_WT_+O2_Ctrl_B,Kiley_B_WT_+O2_Ctrl_C,Kiley_B_WT_+O2_Paraquat_A,Kiley_B_WT_+O2_Paraquat_B,Kiley_B_WT_+O2_Paraquat_C,Kiley_B_WT_-O2_Ctrl_A,Kiley_B_WT_-O2_Ctrl_B,Kiley_B_WT_-O2_Ctrl_C,Kiley_B_WT_-O2_NoFe_A,Kiley_B_WT_-O2_NoFe_B,Kiley_B_WT_-O2_NoFe_C,Kiley_B_WT_-O2_NoFe_DIP_A,Kiley_B_WT_-O2_NoFe_DIP_B,Kiley_B_WT_-O2_NoFe_DIP_C,Kiley_B_WT_-O2_Peroxide_A,Kiley_B_WT_-O2_Peroxide_C
ZCP4_0011,7.3807195149078435,7.46098224328958,7.379321677722888,7.5849659795761495,7.5880914132174,7.543576551233045,7.685393404901807,7.6915097761064555,7.750126904028855,7.649753470302428,7.721431550433335,7.459909365883956,7.465359349142152,7.5304016345868785,7.496547018646911,7.43587185468649,7.465762917323632,7.650884541199053,7.69602194031518,7.671881587829012,7.397079121949812,7.391367634467413,7.432681050506745,7.41601853613074,7.463882212037489,7.455945723617947,7.552600246541374,7.5277382529138475,7.527662800656466,7.545037367895003,7.417597483150293,7.435838792601162,6.879618130164939,6.438874953457364
ZCP4_0012,7.692851423601289,8.199456046314172,7.786212594711923,4.7975069869847715,4.662202187579229,4.879319219472203,6.936497173975622,6.871008185655409,6.85508167851926,4.945885199582687,4.9834144171179915,6.712924520407549,6.389887868248966,6.680598664337625,5.076142124849577,4.9055303628280615,5.08037049430703,6.639295092675415,7.07451660097699,6.5264772048400275,6.1866147258770114,5.77900462118911,6.265906137610493,4.624893735554346,5.269297348333609,5.30220588614572,4.84024075487673,4.791037620294359,4.991623032135832,4.383876469374096,4.86445876430201,4.767232011832427,4.437970711499015,4.533150553552057
ZCP4_0014,6.5212265209191544,6.543154753375869,6.547285836230804,5.688252598664003,5.7716288454639795,5.768874885283463,6.362398885507573,6.287445089068163,6.182048947672373,5.751331241943872,5.658083376374586,6.226722384669596,6.167843302996077,6.187336510896017,5.660999318320756,5.5952105639678535,5.6436934898515885,6.178311591876433,6.0320629847619545,6.127764555716597,6.136387636373614,6.430377094832399,6.192608132642565,5.346459791373193,5.370915173392637,5.582445444577791,5.434071829859317,5.515574957637794,5.187762583228777,5.392070196386199,5.730071369296905,5.328415032390926,5.5955586357707325,7.360821761751535
ZCP4_0015,3.5088929520815024,3.6209118286741657,3.4658131998233657,2.1643876130731696,2.5346196989390797,2.2039511006148436,2.9803243513632474,2.910664958783956,2.8829978882886045,2.3164426629958115,2.5236311969397582,3.0307500997181465,2.8670517989283315,3.1878243361223846,2.5981228856708882,2.735636334460452,2.717705870011338,3.0630763785593604,2.8809298989029317,2.774642593048137,1.9628211054932054,2.8618903600925356,2.655334060329321,2.698800843450277,2.3686225424980503,2.3530642435903726,2.4148641191794966,2.4830377557100047,2.508163021218127,2.662330524219167,3.174254465511979,2.9122825321901002,0.7728909230785614,2.3485163314572235
ZCP4_0016,5.078023525660649,5.315007749310867,4.9872703656064346,4.419632700105801,4.417434434033072,4.492283410454404,4.844527670438751,4.677545170774766,4.863597226055538,4.373185451749057,4.547651474149041,5.175086414276214,4.752875948797752,4.973077707414576,5.105342723865227,5.196081981951071,5.034598716670839,5.397005862177541,5.107899658546929,5.0185993728817255,5.270691446214471,4.835164378813177,5.155811993268751,5.094919194187163,4.926581166237622,5.1247477885824075,5.359774063990114,5.053385932922483,5.048275567824854,4.99225401049004,5.281651073692678,5.075156835902362,4.888892394170634,4.175868503369371
ZCP4_0017,3.755693619264165,3.5252596711157813,3.740957635204665,3.8348993631442436,3.995122812544663,3.662513677105212,4.152391643522414,3.953887019057061,3.8447553418723217,3.400519897709035,3.3319370320479975,4.136874186758776,4.440856945905569,4.5885583817580144,4.744570490552585,4.869951327552187,4.822347765092669,4.867377299394193,5.086617449738375,5.125811620180303,5.0973802457083695,4.754746227188585,4.8853124044869345,4.562566914515549,4.444488966233798,3.9070085226966027,4.32758201440197,4.664826648945059,4.503326457546026,4.206693652339092,4.222890580812222,4.330044087933334,4.934566649998994,4.847274778461161
ZCP4_0018,3.8446612748221427,3.2534180450519328,3.607080061631776,3.570504733140793,3.7718219255636933,3.580149675498294,4.132457708679875,3.8097026520395483,3.8948539140626526,3.8505361755913774,4.02001680735971,3.6494289954673356,3.7727352393582185,3.338228026799931,3.6888174498922344,3.267283840168413,3.8918244911827133,3.5592302133044753,3.9282628618399063,3.8697405690798923,3.5740919654830323,3.4120459180482636,3.7762438548411077,3.8253992373019177,3.7261784108673175,3.5348921921841367,4.114324660488081,3.677299584909915,3.843717060722346,3.5441996862496166,3.86645383297606,3.6969942002817353,3.943377350516147,3.819374861735389
ZCP4_0019,6.540143463383655,6.845671952445874,6.602304415211877,4.948863076272748,5.2134730377683685,5.176250986441667,6.18053578226339,6.234649673381105,6.0374121326409576,5.08258874890227,5.044860563825852,6.0430480559917585,5.967379831116615,5.636205153872846,4.582726463888859,4.385126514752265,4.419014662967339,5.866388343465964,5.649912312843114,5.43759713616757,6.220787609877495,6.170790095514953,6.145107958970634,4.6954501423769806,4.366293165283972,4.657488907652319,4.3862386894347445,4.6346362364023435,4.7581314007278035,4.615490644827722,4.608525133673097,4.321927375651647,7.485748941885694,8.242082450853932
ZCP4_0020,5.592676563924845,4.304935290250713,5.425798994242169,5.988213441382509,6.694454254489261,6.078495323992812,6.377874031004655,6.324024504310414,6.270004130263072,6.341063349226579,6.065450097067162,5.332729292886047,6.3987457945588995,5.782915550393869,6.587448220250557,5.945320102316207,6.300765537361119,6.675844445485603,6.7519868010186155,6.4156961408403586,6.747827450444985,6.61378339105187,6.830776977255988,6.129248195628557,5.9224158674690015,5.3089954739149965,6.294301493458209,5.932718690610823,5.757165857526807,6.176083471442438,5.864112483686586,5.5291843677285835,5.228308720399452,5.741998305283031
ZCP4_0021,7.166699099443588,7.430207536616272,7.205981146197776,6.425722380471289,6.548178193700755,6.552712340492576,7.3056258577637,7.200250076043124,7.153831009336967,6.7220256319071305,6.8926728341660946,6.952883540300127,6.753349449636164,6.813117496969664,6.7078512457600405,6.4678188545109725,6.689050524651909,7.5614792632452925,7.642000352131385,7.466884717096824,7.482165114718264,7.513320579033784,7.602552856301382,6.764695966021745,6.777105946306031,6.6088562296173885,6.630046641670769,6.748040357106791,6.775737264946102,6.558755615080106,6.825629426672406,6.672655270148566,4.69737785818491,5.854777363721904
