Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX22720575	337661.0	1423473.0	1820734.0	23340.0	6747748.0	25673750.0
SRX22720576	260309.0	1528871.0	1920870.0	21475.0	5999718.0	26357333.0
SRX22720577	590735.0	1432091.0	1834400.0	23165.0	6090000.0	26196677.0
SRX22720578	311494.0	1479818.0	1787164.0	24276.0	6075912.0	26390002.0
SRX22720579	220937.0	1514527.0	1925331.0	22752.0	6174296.0	26330731.0
SRX3316529	94846.0	2738414.0	6025845.0	29911.0	15104922.0	44381376.0
SRX3316530	106042.0	2372902.0	2963286.0	35414.0	7730120.0	41326448.0
SRX3316531	86571.0	2408979.0	3410417.0	33137.0	9080390.0	39750330.0
SRX3316532	81828.0	2536593.0	3581287.0	29286.0	10329852.0	45994388.0
SRX3316533	61301.0	2366585.0	4207901.0	33247.0	11613888.0	43733826.0
SRX3316534	58032.0	2086315.0	3373921.0	25939.0	10252232.0	37644333.0
SRX3316535	51407.0	2461841.0	3269505.0	28095.0	9408758.0	40973942.0
SRX3316536	697021.0	1787084.0	6941182.0	22731.0	14525730.0	30203030.0
SRX3316537	37681.0	2243094.0	4283916.0	21216.0	11346090.0	37299183.0
SRX3316538	80779.0	2328657.0	3021044.0	29094.0	8993862.0	39195926.0
SRX3316539	62893.0	2123117.0	2846696.0	23518.0	7939208.0	36346478.0
SRX3316540	62841.0	2409109.0	3464457.0	27694.0	9823940.0	43163193.0
SRX3316541	86015.0	2860146.0	3788851.0	25854.0	10465166.0	43157758.0
SRX3316542	72106.0	2510055.0	3234967.0	25215.0	8460014.0	39664007.0
SRX3316543	95362.0	2742117.0	3329582.0	37661.0	8910404.0	45144632.0
SRX3316544	67892.0	2148428.0	2901172.0	26747.0	7644886.0	34914301.0
SRX3316545	171815.0	1924107.0	2576394.0	26074.0	7770036.0	33816184.0
SRX3316546	146804.0	2282425.0	3116410.0	35395.0	8335472.0	41202916.0
SRX3316547	203380.0	1689570.0	2294486.0	21354.0	7422634.0	31730134.0
SRX3316548	139286.0	1914216.0	2265202.0	19050.0	7631844.0	35183738.0
SRX3316549	78713.0	1957383.0	2422919.0	21977.0	6855944.0	34424290.0
