Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX18804547	warn	pass	pass	warn	15.7335845731217	Sanger / Illumina 1.9	fail	10433938.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804547_val_2.fq.gz	1.5 Gbp	pass	warn	148.81874293291756
SRX18804548	warn	pass	pass	warn	23.307303013166923	Sanger / Illumina 1.9	fail	10641261.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804548_val_1.fq.gz	1.5 Gbp	pass	warn	148.7771348715157
SRX18804549	pass	pass	pass	warn	16.330032153147613	Sanger / Illumina 1.9	fail	9525001.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804549_val_1.fq.gz	1.4 Gbp	pass	warn	148.67306103169963
SRX18804550	warn	pass	pass	warn	23.395555580991044	Sanger / Illumina 1.9	fail	8739462.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804550_val_2.fq.gz	1.3 Gbp	pass	warn	148.5908662341
SRX18804551	pass	pass	pass	warn	20.120001171779567	Sanger / Illumina 1.9	fail	8169144.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804551_val_2.fq.gz	1.2 Gbp	pass	warn	148.72156850215885
SRX18804552	warn	pass	pass	warn	19.9702147440601	Sanger / Illumina 1.9	fail	8199473.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804552_val_2.fq.gz	1.2 Gbp	pass	pass	147.98083303646467
SRX18804553	warn	pass	pass	warn	20.398594872863168	Sanger / Illumina 1.9	fail	8505338.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804553_val_2.fq.gz	1.2 Gbp	pass	warn	148.33359626625068
SRX18804554	pass	pass	pass	warn	19.533496502540956	Sanger / Illumina 1.9	fail	7873984.0	20-150	fail	50.0	pass	pass	0.0	Conventional base calls	150	pass	SRX18804554_val_2.fq.gz	1.1 Gbp	pass	pass	148.13074651916997
SRX19817112	warn	pass	pass	warn	45.785079005022375	Sanger / Illumina 1.9	fail	10915150.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817112_val_2.fq.gz	1.6 Gbp	pass	warn	146.77454702867115
SRX19817113	warn	pass	pass	warn	46.04151795580531	Sanger / Illumina 1.9	fail	9796353.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817113_val_2.fq.gz	1.4 Gbp	pass	warn	146.48337406788016
SRX19817114	warn	pass	pass	warn	46.22647579854171	Sanger / Illumina 1.9	fail	10415459.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817114_val_2.fq.gz	1.5 Gbp	pass	warn	146.46109067300827
SRX19817115	warn	pass	pass	warn	52.60156438915576	Sanger / Illumina 1.9	warn	10669560.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817115_val_2.fq.gz	1.5 Gbp	pass	warn	146.99941131593056
SRX19817116	warn	pass	pass	warn	47.87627001282546	Sanger / Illumina 1.9	fail	10438218.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817116_val_2.fq.gz	1.5 Gbp	pass	pass	147.08300047000358
SRX19817117	warn	pass	pass	warn	48.249638643663715	Sanger / Illumina 1.9	fail	11171894.0	20-150	fail	49.0	pass	pass	0.0	Conventional base calls	150	pass	SRX19817117_val_2.fq.gz	1.6 Gbp	pass	pass	147.0188260826678
SRX2036088	warn	pass	pass	warn	7.644980530574844	Sanger / Illumina 1.9	fail	46848459.0	18-50	fail	52.0	pass	pass	0.0	Conventional base calls	49	pass	SRX2036088_trimmed.fq.gz	2.1 Gbp	pass	fail	46.2406110732479
SRX2036089	warn	pass	pass	warn	8.257397753293102	Sanger / Illumina 1.9	fail	43849209.0	18-50	fail	52.0	pass	pass	0.0	Conventional base calls	49	pass	SRX2036089_trimmed.fq.gz	2 Gbp	pass	fail	46.20303146175339
SRX2036090	warn	pass	pass	warn	7.506275250336366	Sanger / Illumina 1.9	fail	42895167.0	18-50	fail	52.0	fail	pass	0.0	Conventional base calls	49	pass	SRX2036090_trimmed.fq.gz	1.9 Gbp	pass	fail	46.08381375458918
SRX2036091	warn	pass	pass	warn	7.485651452538954	Sanger / Illumina 1.9	fail	40935915.0	18-50	fail	52.0	fail	pass	0.0	Conventional base calls	49	pass	SRX2036091_trimmed.fq.gz	1.8 Gbp	pass	fail	46.00267596314874
SRX2036300	warn	pass	pass	warn	13.631074619285203	Sanger / Illumina 1.9	fail	13438905.0	20-101	fail	44.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2036300_val_1.fq.gz	1.3 Gbp	pass	warn	97.64551025548585
SRX2036303	warn	pass	pass	warn	13.90428577062287	Sanger / Illumina 1.9	fail	12310695.0	20-101	fail	43.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2036303_val_1.fq.gz	1.2 Gbp	pass	warn	97.61116427626547
SRX2036305	pass	pass	pass	warn	12.657169930817416	Sanger / Illumina 1.9	fail	15048040.0	20-101	fail	44.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2036305_val_1.fq.gz	1.4 Gbp	pass	warn	97.59946863511793
SRX2036307	pass	pass	pass	warn	13.798444033704499	Sanger / Illumina 1.9	fail	15731002.0	20-101	fail	44.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2036307_val_1.fq.gz	1.5 Gbp	pass	warn	97.4749328745874
SRX2037533	warn	pass	pass	warn	11.989921163931978	Sanger / Illumina 1.9	fail	36872669.0	20-50	fail	45.0	warn	pass	0.0	Conventional base calls	50	pass	SRX2037533_trimmed.fq.gz	1.8 Gbp	pass	warn	49.21141439476486
SRX2037535	warn	pass	pass	warn	12.101082072773293	Sanger / Illumina 1.9	fail	38527589.0	20-50	fail	45.0	warn	pass	0.0	Conventional base calls	50	pass	SRX2037535_trimmed.fq.gz	1.8 Gbp	pass	warn	49.20217343473011
SRX2037536	fail	pass	pass	warn	10.883086274062158	Sanger / Illumina 1.9	fail	48628233.0	20-50	fail	43.0	warn	pass	0.0	Conventional base calls	50	pass	SRX2037536_trimmed.fq.gz	2.3 Gbp	pass	warn	49.15866759954037
SRX2037537	fail	pass	pass	warn	9.583816845381333	Sanger / Illumina 1.9	fail	58473337.0	20-50	fail	44.0	warn	pass	0.0	Conventional base calls	50	pass	SRX2037537_trimmed.fq.gz	2.8 Gbp	pass	warn	49.159740737902474
SRX2037538	pass	pass	pass	warn	8.303137383901133	Sanger / Illumina 1.9	fail	49080871.0	20-50	fail	45.0	fail	warn	0.0	Conventional base calls	50	pass	SRX2037538_trimmed.fq.gz	2.4 Gbp	pass	warn	49.25594619133796
SRX2037540	pass	pass	pass	warn	10.580174608336874	Sanger / Illumina 1.9	fail	40585163.0	20-50	fail	45.0	fail	warn	0.0	Conventional base calls	50	pass	SRX2037540_trimmed.fq.gz	1.9 Gbp	pass	warn	49.26099902567842
SRX2037541	fail	pass	pass	warn	12.903993057593857	Sanger / Illumina 1.9	fail	42076571.0	20-50	fail	45.0	fail	warn	0.0	Conventional base calls	50	pass	SRX2037541_trimmed.fq.gz	2 Gbp	pass	warn	49.20035888856057
SRX2037542	fail	pass	pass	warn	11.323721400327685	Sanger / Illumina 1.9	fail	48195731.0	20-50	fail	45.0	fail	warn	0.0	Conventional base calls	50	pass	SRX2037542_trimmed.fq.gz	2.3 Gbp	pass	warn	49.175663255320266
SRX2037691	fail	pass	pass	warn	18.277050489399603	Sanger / Illumina 1.9	fail	16767085.0	20-101	fail	42.0	warn	pass	0.0	Conventional base calls	100	warn	SRX2037691_val_1.fq.gz	1.6 Gbp	pass	warn	96.71638940221273
SRX2037693	fail	pass	pass	warn	14.08967289454098	Sanger / Illumina 1.9	fail	16906931.0	20-101	fail	45.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2037693_val_1.fq.gz	1.6 Gbp	pass	warn	96.94660479776016
SRX2037695	fail	pass	pass	warn	15.411330838626263	Sanger / Illumina 1.9	fail	14597230.0	20-101	fail	45.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2037695_val_1.fq.gz	1.4 Gbp	pass	warn	97.2719806429028
SRX2037697	fail	pass	pass	warn	15.137377712497123	Sanger / Illumina 1.9	fail	15370490.0	20-101	fail	45.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2037697_val_1.fq.gz	1.5 Gbp	pass	warn	97.2255717286827
SRX2037699	fail	pass	pass	warn	18.69106868882828	Sanger / Illumina 1.9	fail	15941687.0	20-101	fail	40.0	fail	pass	0.0	Conventional base calls	100	warn	SRX2037699_val_2.fq.gz	1.5 Gbp	pass	warn	94.53043608245476
SRX2037713	fail	pass	pass	warn	18.13339834574416	Sanger / Illumina 1.9	fail	16612209.0	20-101	fail	37.0	warn	pass	0.0	Conventional base calls	100	fail	SRX2037713_val_1.fq.gz	1.6 Gbp	pass	fail	96.43748197485355
SRX2037715	fail	pass	pass	warn	17.536219759988118	Sanger / Illumina 1.9	fail	17243776.0	20-101	fail	39.0	warn	pass	0.0	Conventional base calls	100	fail	SRX2037715_val_1.fq.gz	1.6 Gbp	pass	fail	96.43351583783041
SRX2037717	fail	pass	pass	warn	15.973998533706688	Sanger / Illumina 1.9	fail	13022316.0	20-101	fail	45.0	warn	pass	0.0	Conventional base calls	100	pass	SRX2037717_val_1.fq.gz	1.2 Gbp	pass	warn	97.217197309603
