Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX5252027	warn	pass	pass	warn	21.427411756698785	Sanger / Illumina 1.9	fail	11339091.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252027_trimmed.fq.gz	1.1 Gbp	pass	warn	98.44419980402309
SRX5252028	warn	pass	pass	warn	18.894766209060005	Sanger / Illumina 1.9	fail	15062119.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252028_trimmed.fq.gz	1.5 Gbp	pass	warn	99.1062070350128
SRX5252029	warn	pass	pass	warn	24.598068745993693	Sanger / Illumina 1.9	fail	9952065.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252029_trimmed.fq.gz	990.2 Mbp	pass	warn	98.8328331858765
SRX5252030	warn	pass	pass	warn	23.734826838497742	Sanger / Illumina 1.9	fail	11397206.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252030_trimmed.fq.gz	1.1 Gbp	pass	warn	99.00083546792082
SRX5252031	warn	pass	pass	warn	20.401445264137923	Sanger / Illumina 1.9	fail	9829374.0	20-101	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX5252031_trimmed.fq.gz	975.6 Mbp	pass	warn	98.57186754721104
SRX5252032	warn	pass	pass	warn	19.93968007233363	Sanger / Illumina 1.9	fail	13695255.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252032_trimmed.fq.gz	1.3 Gbp	pass	warn	99.12539226177242
SRX5252033	warn	pass	pass	warn	18.214235027990174	Sanger / Illumina 1.9	fail	15726537.0	20-101	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX5252033_trimmed.fq.gz	1.5 Gbp	pass	warn	98.83617582179726
SRX5252034	warn	pass	pass	warn	22.428083978214076	Sanger / Illumina 1.9	fail	10719334.0	20-101	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX5252034_trimmed.fq.gz	1 Gbp	pass	fail	96.73047355367413
SRX5252035	warn	pass	pass	warn	19.195209671893608	Sanger / Illumina 1.9	fail	12166127.0	20-101	fail	47.0		pass	0.0	Conventional base calls	100	pass	SRX5252035_trimmed.fq.gz	1.2 Gbp	pass	warn	98.60517451445313
SRX5252036	warn	pass	pass	warn	23.976408240372265	Sanger / Illumina 1.9	fail	11064660.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252036_trimmed.fq.gz	1.1 Gbp	pass	warn	99.04017836969234
SRX5252037	warn	pass	pass	warn	23.819512513774093	Sanger / Illumina 1.9	fail	10419260.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252037_trimmed.fq.gz	1 Gbp	pass	warn	98.92910801726802
SRX5252038	fail	pass	pass	warn	23.76472732885537	Sanger / Illumina 1.9	fail	9126947.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252038_trimmed.fq.gz	883.6 Mbp	pass	fail	96.14876759994333
SRX5252039	warn	pass	pass	warn	29.872047704784304	Sanger / Illumina 1.9	fail	7593064.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252039_trimmed.fq.gz	754.7 Mbp	pass	warn	98.73070317858509
SRX5252040	warn	pass	pass	warn	17.77333245692983	Sanger / Illumina 1.9	fail	15222423.0	20-101	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX5252040_trimmed.fq.gz	1.5 Gbp	pass	warn	99.09425326046977
SRX5252041	warn	pass	pass	warn	25.844304141396613	Sanger / Illumina 1.9	fail	9660158.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252041_trimmed.fq.gz	963.7 Mbp	pass	warn	99.08840580040203
SRX5252042	warn	pass	pass	warn	23.692119903867088	Sanger / Illumina 1.9	fail	10486606.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252042_trimmed.fq.gz	1 Gbp	pass	warn	99.02752844914741
SRX5252043	fail	pass	pass	warn	24.00611035251867	Sanger / Illumina 1.9	fail	9699609.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252043_trimmed.fq.gz	922.9 Mbp	pass	fail	94.49781676766558
SRX5252044	warn	pass	pass	warn	25.337429628853297	Sanger / Illumina 1.9	fail	9721380.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252044_trimmed.fq.gz	965.4 Mbp	pass	warn	98.64847069037523
SRX5252045	warn	pass	pass	warn	21.460748953577998	Sanger / Illumina 1.9	fail	12747049.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252045_trimmed.fq.gz	1.2 Gbp	pass	warn	99.12906477412929
SRX5252046	warn	pass	pass	warn	27.575272501752202	Sanger / Illumina 1.9	fail	8297021.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252046_trimmed.fq.gz	827.7 Mbp	pass	warn	99.09352429022417
SRX5252047	fail	pass	pass	warn	27.96946220966938	Sanger / Illumina 1.9	fail	7162056.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252047_trimmed.fq.gz	684.9 Mbp	pass	fail	94.97489491844242
SRX5252048	warn	pass	pass	warn	25.28889990459363	Sanger / Illumina 1.9	fail	10128295.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252048_trimmed.fq.gz	1 Gbp	pass	warn	98.73071015407825
SRX5252049	warn	pass	pass	warn	23.079127468983337	Sanger / Illumina 1.9	fail	12066036.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252049_trimmed.fq.gz	1.2 Gbp	pass	warn	99.07735034107307
SRX5252050	warn	pass	pass	warn	25.639075099189558	Sanger / Illumina 1.9	fail	9637094.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252050_trimmed.fq.gz	962.3 Mbp	pass	warn	99.18746190500995
SRX5252051	fail	pass	pass	warn	26.745664544028152	Sanger / Illumina 1.9	fail	8269155.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252051_trimmed.fq.gz	795.3 Mbp	pass	fail	95.52144880583324
SRX5252052	warn	pass	pass	warn	23.119879517649924	Sanger / Illumina 1.9	fail	11119974.0	20-101	fail	43.0		pass	0.0	Conventional base calls	100	pass	SRX5252052_trimmed.fq.gz	1.1 Gbp	pass	warn	99.08606117244518
SRX5252053	fail	pass	pass	warn	18.268691035039566	Sanger / Illumina 1.9	fail	15384800.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252053_trimmed.fq.gz	1.5 Gbp	pass	warn	99.1481694919661
SRX5252054	warn	pass	pass	warn	23.495784480884037	Sanger / Illumina 1.9	fail	11226181.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252054_trimmed.fq.gz	1.1 Gbp	pass	warn	98.96185122972808
SRX5252055	warn	pass	pass	warn	19.377355219603814	Sanger / Illumina 1.9	fail	13531093.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252055_trimmed.fq.gz	1.3 Gbp	pass	warn	99.06094636996434
SRX5252056	warn	pass	pass	warn	17.84234426573079	Sanger / Illumina 1.9	fail	15764732.0	20-101	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX5252056_trimmed.fq.gz	1.5 Gbp	pass	warn	99.17153415611506
SRX5252057	warn	pass	pass	warn	19.567426679366225	Sanger / Illumina 1.9	fail	14068735.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252057_trimmed.fq.gz	1.4 Gbp	pass	warn	98.89424301474155
SRX5252058	warn	pass	pass	warn	15.628533498965403	Sanger / Illumina 1.9	fail	15796031.0	20-101	fail	46.0		pass	0.0	Conventional base calls	100	pass	SRX5252058_trimmed.fq.gz	1.5 Gbp	pass	warn	99.04848692687422
SRX5252059	warn	pass	pass	warn	14.390165606509756	Sanger / Illumina 1.9	fail	15463863.0	20-101	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX5252059_trimmed.fq.gz	1.5 Gbp	pass	warn	98.98955661984331
SRX5252060	warn	pass	pass	warn	24.547437664355236	Sanger / Illumina 1.9	fail	10931858.0	20-101	fail	44.0		pass	0.0	Conventional base calls	100	pass	SRX5252060_trimmed.fq.gz	1 Gbp	pass	warn	99.04372394884749
SRX5252061	warn	pass	pass	warn	20.33409771823931	Sanger / Illumina 1.9	fail	13301825.0	20-101	fail	45.0		pass	0.0	Conventional base calls	100	pass	SRX5252061_trimmed.fq.gz	1.3 Gbp	pass	warn	99.10318456302049
SRX5329169	warn	pass	pass	warn	5.699458826521862	Sanger / Illumina 1.9	fail	28674282.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329169_val_1.fq.gz	2.8 Gbp	pass	warn	99.10895233575509
SRX5329170	warn	pass	pass	warn	8.855391477598353	Sanger / Illumina 1.9	fail	30781203.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX5329170_val_2.fq.gz	3 Gbp	pass	warn	99.01196772588777
SRX5329171	warn	pass	pass	warn	8.627971037861148	Sanger / Illumina 1.9	fail	33298198.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX5329171_val_2.fq.gz	3.3 Gbp	pass	warn	98.9464272511083
SRX5329172	pass	pass	pass	warn	8.794922992372447	Sanger / Illumina 1.9	fail	35236236.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX5329172_val_2.fq.gz	3.4 Gbp	pass	warn	98.92356362921397
SRX5329173	fail	pass	pass	warn	6.4352878996135	Sanger / Illumina 1.9	fail	30766764.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329173_val_2.fq.gz	3 Gbp	pass	fail	98.90380996844517
SRX5329174	warn	pass	pass	warn	8.444877846786646	Sanger / Illumina 1.9	fail	35621932.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX5329174_val_2.fq.gz	3.5 Gbp	pass	warn	98.7260757782593
SRX5329175	warn	pass	pass	warn	8.662200919180329	Sanger / Illumina 1.9	fail	33003415.0	20-100	fail	50.0		pass	0.0	Conventional base calls	100	pass	SRX5329175_val_2.fq.gz	3.2 Gbp	pass	warn	98.92418714851175
SRX5329176	warn	pass	pass	warn	7.0315651640773735	Sanger / Illumina 1.9	fail	33783195.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX5329176_val_2.fq.gz	3.3 Gbp	pass	warn	98.90610293076188
SRX5329177	warn	pass	pass	warn	8.80149792829794	Sanger / Illumina 1.9	fail	32582082.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX5329177_val_2.fq.gz	3.2 Gbp	pass	warn	98.89444449866647
SRX5329178	warn	pass	pass	warn	5.603650106850597	Sanger / Illumina 1.9	fail	28610906.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329178_val_1.fq.gz	2.8 Gbp	pass	warn	99.07851852017549
SRX5329179	warn	pass	pass	warn	5.439910824685476	Sanger / Illumina 1.9	fail	31438613.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329179_val_1.fq.gz	3.1 Gbp	pass	warn	99.08492858765747
SRX5329180	fail	pass	pass	warn	6.653092708259893	Sanger / Illumina 1.9	fail	36840170.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX5329180_val_1.fq.gz	3.6 Gbp	pass	warn	99.06155813070352
SRX5329181	fail	pass	pass	warn	9.818521051739111	Sanger / Illumina 1.9	fail	31671715.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX5329181_val_1.fq.gz	3.1 Gbp	pass	warn	99.02388411868445
SRX5329182	warn	pass	pass	warn	8.839765311543307	Sanger / Illumina 1.9	fail	27527624.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX5329182_val_1.fq.gz	2.7 Gbp	pass	warn	99.07113755985624
SRX5329183	warn	pass	pass	warn	8.016866344156377	Sanger / Illumina 1.9	fail	38096379.0	20-100	fail	48.0		pass	0.0	Conventional base calls	100	pass	SRX5329183_val_1.fq.gz	3.7 Gbp	pass	warn	99.03529723914181
SRX5329184	warn	pass	pass	warn	5.234287584352547	Sanger / Illumina 1.9	fail	40576887.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX5329184_val_1.fq.gz	4 Gbp	pass	warn	99.03955747024162
SRX5329185	warn	pass	pass	warn	6.158849092408	Sanger / Illumina 1.9	fail	22503433.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329185_val_1.fq.gz	2.2 Gbp	pass	warn	98.94595273530044
SRX5329186	warn	pass	pass	warn	4.669829302903872	Sanger / Illumina 1.9	fail	23989690.0	20-100	fail	54.0		pass	0.0	Conventional base calls	100	pass	SRX5329186_val_1.fq.gz	2.3 Gbp	pass	warn	99.06224140453669
SRX5329187	fail	pass	pass	warn	8.821214479197208	Sanger / Illumina 1.9	fail	27101143.0	20-100	fail	50.0		pass	0.0	Conventional base calls	100	pass	SRX5329187_val_1.fq.gz	2.6 Gbp	pass	warn	99.01549886659762
SRX5329188	fail	pass	pass	warn	8.822758094844325	Sanger / Illumina 1.9	fail	33080807.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX5329188_val_2.fq.gz	3.2 Gbp	pass	warn	99.00751320848974
SRX5329189	fail	pass	pass	warn	8.627665065211195	Sanger / Illumina 1.9	fail	30632374.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX5329189_val_2.fq.gz	3 Gbp	pass	warn	98.95332193319395
SRX5329190	warn	pass	pass	warn	5.532297266980427	Sanger / Illumina 1.9	fail	36800220.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329190_val_1.fq.gz	3.6 Gbp	pass	warn	99.04598929028141
SRX5329191	warn	pass	pass	warn	4.677648334770004	Sanger / Illumina 1.9	fail	37378641.0	20-100	fail	53.0		pass	0.0	Conventional base calls	100	pass	SRX5329191_val_1.fq.gz	3.7 Gbp	pass	warn	99.0167563876921
SRX5329192	warn	pass	pass	warn	5.8363703748108	Sanger / Illumina 1.9	fail	33401102.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX5329192_val_1.fq.gz	3.3 Gbp	pass	warn	98.65468774054222
SRX5329193	fail	pass	pass	warn	6.456834479737501	Sanger / Illumina 1.9	fail	35199560.0	20-100	fail	51.0		pass	0.0	Conventional base calls	100	pass	SRX5329193_val_1.fq.gz	3.4 Gbp	pass	warn	99.09127926599082
SRX5329194	warn	pass	pass	warn	5.836279460514773	Sanger / Illumina 1.9	fail	36402650.0	20-100	fail	52.0		pass	0.0	Conventional base calls	100	pass	SRX5329194_val_1.fq.gz	3.6 Gbp	pass	warn	99.0718519668211
SRX6700162	pass	pass	pass	warn	8.37803665681535	Sanger / Illumina 1.9	fail	37101464.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700162_val_2.fq.gz	4.3 Gbp	pass	warn	118.02275053081463
SRX6700163	pass	pass	pass	warn	8.784605695451583	Sanger / Illumina 1.9	fail	33936848.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700163_val_2.fq.gz	4 Gbp	pass	warn	118.27676238523978
SRX6700164	pass	pass	pass	warn	7.863286274961524	Sanger / Illumina 1.9	fail	41397919.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700164_val_2.fq.gz	4.8 Gbp	pass	pass	117.37357003379807
SRX6700165	pass	pass	pass	warn	8.062855552831994	Sanger / Illumina 1.9	fail	42288243.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700165_val_2.fq.gz	5 Gbp	pass	warn	118.78758817196544
SRX6700166	warn	pass	pass	warn	9.284623789009695	Sanger / Illumina 1.9	fail	36483590.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700166_val_2.fq.gz	4.2 Gbp	pass	warn	117.41005611015802
SRX6700168	warn	pass	pass	warn	9.248939866154068	Sanger / Illumina 1.9	fail	39717574.0	20-126	fail	47.0		pass	0.0	Conventional base calls	126	pass	SRX6700168_val_1.fq.gz	4.8 Gbp	pass	warn	121.16857071884603
SRX6700169	warn	pass	pass	warn	9.924710306661026	Sanger / Illumina 1.9	fail	35086281.0	20-126	fail	47.0		pass	0.0	Conventional base calls	126	pass	SRX6700169_val_1.fq.gz	4.2 Gbp	pass	warn	120.39997086040552
SRX6700170	pass	pass	pass	warn	8.396058537946608	Sanger / Illumina 1.9	fail	40981955.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700170_val_2.fq.gz	4.8 Gbp	pass	warn	118.09281958364357
SRX6700171	pass	pass	pass	warn	9.43165165025282	Sanger / Illumina 1.9	fail	44265043.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700171_val_2.fq.gz	5.2 Gbp	pass	warn	118.32360101852832
SRX6700172	warn	pass	pass	warn	10.24776787250124	Sanger / Illumina 1.9	fail	40166194.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700172_val_2.fq.gz	4.7 Gbp	pass	warn	118.57320994864487
SRX6700173	pass	pass	pass	warn	11.428783107543401	Sanger / Illumina 1.9	fail	34976537.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700173_val_2.fq.gz	4.1 Gbp	pass	warn	118.84084261972534
SRX6700174	pass	pass	pass	warn	8.642214591965029	Sanger / Illumina 1.9	fail	40903020.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700174_val_2.fq.gz	4.8 Gbp	pass	warn	118.40054905481307
SRX6700175	pass	pass	pass	warn	8.458754463955486	Sanger / Illumina 1.9	fail	36455366.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX6700175_val_2.fq.gz	4.3 Gbp	pass	warn	118.47086689515064
SRX6700176	warn	pass	pass	warn	7.718545810189749	Sanger / Illumina 1.9	fail	41172219.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700176_val_2.fq.gz	4.8 Gbp	pass	pass	117.98507539756359
SRX6700177	warn	pass	pass	warn	9.30644498758644	Sanger / Illumina 1.9	fail	29225425.0	20-126	fail	47.0		pass	0.0	Conventional base calls	122	pass	SRX6700177_val_2.fq.gz	3.4 Gbp	pass	warn	118.88261429902217
SRX6700178	pass	pass	pass	warn	10.38657564260134	Sanger / Illumina 1.9	fail	29193538.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX6700178_val_1.fq.gz	3.5 Gbp	pass	warn	121.23117037064846
SRX6700179	pass	pass	pass	warn	8.504646087217498	Sanger / Illumina 1.9	fail	40257068.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX6700179_val_1.fq.gz	4.8 Gbp	pass	warn	121.61203739427819
SRX6700180	pass	pass	pass	warn	7.224134632848606	Sanger / Illumina 1.9	fail	47992031.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX6700180_val_1.fq.gz	5.8 Gbp	pass	warn	120.99672401861883
SRX6700181	pass	pass	pass	warn	8.840806178571409	Sanger / Illumina 1.9	fail	33734197.0	20-126	fail	47.0		pass	0.0	Conventional base calls	126	pass	SRX6700181_val_1.fq.gz	4 Gbp	pass	warn	121.12723430173838
SRX6700182	pass	pass	pass	warn	7.412901546923316	Sanger / Illumina 1.9	fail	43872257.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX6700182_val_1.fq.gz	5.2 Gbp	pass	warn	120.26152830477812
SRX6700183	pass	pass	pass	warn	11.022137182369624	Sanger / Illumina 1.9	fail	30100393.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX6700183_val_1.fq.gz	3.6 Gbp	pass	warn	120.47260047402038
SRX6700184	pass	pass	pass	warn	10.381939082889055	Sanger / Illumina 1.9	fail	40000921.0	20-126	fail	47.0		pass	0.0	Conventional base calls	126	pass	SRX6700184_val_1.fq.gz	4.8 Gbp	pass	warn	121.16200269488795
SRX6700185	pass	pass	pass	warn	10.485891167984935	Sanger / Illumina 1.9	fail	38579607.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX6700185_val_1.fq.gz	4.6 Gbp	pass	warn	120.60924990760014
SRX6922015	warn	pass	pass	warn	26.60121903493284	Sanger / Illumina 1.9	fail	9452574.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922015_val_2.fq.gz	1.3 Gbp	pass	warn	145.8447948675144
SRX6922016	pass	pass	pass	warn	25.65425365866647	Sanger / Illumina 1.9	fail	5816088.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX6922016_val_2.fq.gz	853.4 Mbp	pass	warn	146.23897403202977
SRX6922017	warn	pass	pass	warn	19.60821459868306	Sanger / Illumina 1.9	fail	10722955.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922017_val_2.fq.gz	1.5 Gbp	pass	pass	146.54280998101737
SRX6922018	warn	pass	pass	warn	18.311906781086545	Sanger / Illumina 1.9	fail	8095995.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922018_val_1.fq.gz	1.2 Gbp	pass	warn	147.98667686924213
SRX6922019	fail	pass	pass	warn	14.437295508041656	Sanger / Illumina 1.9	fail	14487747.0	20-150	fail	47.0		pass	0.0	Conventional base calls	150	pass	SRX6922019_val_1.fq.gz	2.1 Gbp	pass	warn	147.9776330301737
SRX6922020	fail	pass	pass	warn	18.06043230220333	Sanger / Illumina 1.9	fail	8859257.0	20-150	fail	47.0		pass	0.0	Conventional base calls	150	pass	SRX6922020_val_1.fq.gz	1.3 Gbp	pass	warn	147.9522130354724
SRX6922021	fail	pass	pass	warn	16.414137873214766	Sanger / Illumina 1.9	fail	10955372.0	20-150	fail	47.0		pass	0.0	Conventional base calls	150	pass	SRX6922021_val_1.fq.gz	1.6 Gbp	pass	warn	147.98480982663116
SRX6922023	warn	pass	pass	warn	18.564440149855084	Sanger / Illumina 1.9	fail	8873735.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX6922023_val_1.fq.gz	1.3 Gbp	pass	warn	148.01123720733153
SRX6922024	warn	pass	pass	warn	17.213975987015125	Sanger / Illumina 1.9	fail	9566852.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922024_val_1.fq.gz	1.4 Gbp	pass	warn	147.78802389751613
SRX6922025	warn	pass	pass	warn	16.43408561797031	Sanger / Illumina 1.9	fail	9412712.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922025_val_1.fq.gz	1.3 Gbp	pass	warn	147.77850666205447
SRX6922026	warn	pass	pass	warn	19.40230528629038	Sanger / Illumina 1.9	fail	11927268.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922026_val_1.fq.gz	1.7 Gbp	pass	warn	147.31546570430044
SRX6922027	warn	pass	pass	warn	18.931927986730294	Sanger / Illumina 1.9	fail	11967347.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922027_val_1.fq.gz	1.7 Gbp	pass	warn	147.34032831169682
SRX6922028	warn	pass	pass	warn	21.655645080115946	Sanger / Illumina 1.9	fail	9953569.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922028_val_2.fq.gz	1.4 Gbp	pass	pass	144.53733620573686
SRX6922029	warn	pass	pass	warn	20.146377824273966	Sanger / Illumina 1.9	fail	9422597.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX6922029_val_2.fq.gz	1.3 Gbp	pass	pass	146.38005530746992
SRX7101023	pass	pass	pass	warn	9.174847571237558	Sanger / Illumina 1.9	fail	38313501.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX7101023_val_1.fq.gz	4.6 Gbp	pass	pass	120.25764771535756
SRX7101024	pass	pass	pass	warn	9.147188895415061	Sanger / Illumina 1.9	fail	35152468.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101024_val_1.fq.gz	4.1 Gbp	pass	warn	118.67127059186855
SRX7101025	pass	pass	pass	warn	9.277313586873817	Sanger / Illumina 1.9	fail	36111384.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX7101025_val_1.fq.gz	4.3 Gbp	pass	pass	120.12871561499831
SRX7101026	warn	pass	pass	warn	8.318745130608443	Sanger / Illumina 1.9	fail	31867022.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX7101026_val_1.fq.gz	3.8 Gbp	pass	warn	120.43165451732516
SRX7101027	pass	pass	pass	warn	7.551394202433973	Sanger / Illumina 1.9	fail	35873332.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX7101027_val_1.fq.gz	4.3 Gbp	pass	warn	120.09650804112648
SRX7101028	pass	pass	pass	warn	7.040862191705906	Sanger / Illumina 1.9	fail	38226772.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX7101028_val_2.fq.gz	4.3 Gbp	pass	warn	113.4664114982034
SRX7101029	pass	pass	pass	warn	8.923260954600243	Sanger / Illumina 1.9	fail	40827951.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX7101029_val_2.fq.gz	4.8 Gbp	pass	warn	117.74214618313812
SRX7101030	pass	pass	pass	warn	9.78977213452996	Sanger / Illumina 1.9	fail	36168561.0	20-126	fail	49.0		pass	0.0	Conventional base calls	126	pass	SRX7101030_val_1.fq.gz	4.3 Gbp	pass	warn	121.39841529774989
SRX7101031	pass	pass	pass	warn	10.664588830309985	Sanger / Illumina 1.9	fail	34941948.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX7101031_val_1.fq.gz	4.2 Gbp	pass	warn	121.01383606317542
SRX7101032	pass	pass	pass	warn	9.05047099791921	Sanger / Illumina 1.9	fail	38213581.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX7101032_val_1.fq.gz	4.6 Gbp	pass	warn	121.09469374252049
SRX7101033	pass	pass	pass	warn	8.967045474783596	Sanger / Illumina 1.9	fail	37797214.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX7101033_val_1.fq.gz	4.5 Gbp	pass	warn	120.12852547809476
SRX7101034	pass	pass	pass	warn	8.828307038538808	Sanger / Illumina 1.9	fail	40113542.0	20-126	fail	48.0		pass	0.0	Conventional base calls	126	pass	SRX7101034_val_1.fq.gz	4.8 Gbp	pass	warn	119.70414208249174
SRX7101035	warn	pass	pass	warn	21.992045323904502	Sanger / Illumina 1.9	fail	34143555.0	20-126	fail	46.0		pass	0.0	Conventional base calls	126	pass	SRX7101035_val_1.fq.gz	4.1 Gbp	pass	warn	120.6674938213083
SRX7101036	warn	pass	pass	warn	11.5146764989574	Sanger / Illumina 1.9	fail	79149686.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101036_trimmed.fq.gz	8.7 Gbp	pass	pass	110.3971407669261
SRX7101037	warn	pass	pass	warn	13.321819032948362	Sanger / Illumina 1.9	fail	71286230.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101037_trimmed.fq.gz	7.6 Gbp	pass	pass	107.53157280164767
SRX7101038	pass	pass	pass	warn	11.300749102319118	Sanger / Illumina 1.9	fail	79810502.0	20-126	fail	48.0		pass	0.0	Conventional base calls	122	pass	SRX7101038_trimmed.fq.gz	8.8 Gbp	pass	pass	111.60607920997666
