Sample	Not aligned	Aligned
SRX5252048	1873836.0	8254459.0
SRX5252049	2381467.0	9684569.0
SRX5252050	1938113.0	7698981.0
SRX5252051	1951058.0	6318097.0
SRX5252052	2183374.0	8936600.0
SRX5252053	2347248.0	13037552.0
SRX5252054	1836369.0	9389812.0
SRX5252055	2131525.0	11399568.0
SRX5252056	2229898.0	13534834.0
SRX5252057	2010341.0	12058394.0
SRX5252058	1910753.0	13885278.0
SRX5252059	1667316.0	13796547.0
SRX5252060	1985289.0	8946569.0
SRX5252061	1994461.0	11307364.0
SRX5329169	23733385.0	4940897.0
SRX5329170	7938868.0	22842335.0
SRX5329171	9180430.0	24117768.0
SRX5329172	12277708.0	22958528.0
SRX5329173	27199920.0	3566844.0
SRX5329174	7021882.0	28600050.0
SRX5329175	14257701.0	18745714.0
SRX5329176	27867899.0	5915296.0
SRX5329177	7412185.0	25169897.0
SRX5329178	24180478.0	4430428.0
SRX5329179	25424760.0	6013853.0
SRX5329180	26509453.0	10330717.0
SRX5329181	13747411.0	17924304.0
SRX5329182	6349554.0	21178070.0
SRX5329183	14914385.0	23181994.0
SRX5329184	26913587.0	13663300.0
SRX5329185	20193850.0	2309583.0
SRX5329186	22860024.0	1129666.0
SRX5329187	14616126.0	12485017.0
SRX5329188	20497603.0	12583204.0
SRX5329189	23747089.0	6885285.0
SRX5329190	32133903.0	4666317.0
SRX5329191	31961993.0	5416648.0
SRX5329192	25533613.0	7867489.0
SRX5329193	22298511.0	12901049.0
SRX5329194	25979876.0	10422774.0
SRX6700162	6839337.0	30262127.0
SRX6700163	5249816.0	28687032.0
SRX6700164	7450650.0	33947269.0
SRX6700165	7856972.0	34431271.0
SRX6700166	7791577.0	28692013.0
SRX6700168	8638610.0	31078964.0
SRX6700169	7964354.0	27121927.0
SRX6700170	8903308.0	32078647.0
SRX6700171	11461742.0	32803301.0
SRX6700172	10665475.0	29500719.0
SRX6700173	9581090.0	25395447.0
SRX6700174	6978515.0	33924505.0
SRX6700175	6689992.0	29765374.0
SRX6700176	7418214.0	33754005.0
SRX6700177	5776863.0	23448562.0
