Sample	Unique Reads	Duplicate Reads
SRX5252050	2470862.0	7166232.0
SRX5252051	2211641.0	6057514.0
SRX5252052	2570925.0	8549049.0
SRX5252053	2810602.0	12574198.0
SRX5252054	2637680.0	8588501.0
SRX5252055	2621968.0	10909125.0
SRX5252056	2812798.0	12951934.0
SRX5252057	2752890.0	11315845.0
SRX5252058	2468688.0	13327343.0
SRX5252059	2225276.0	13238587.0
SRX5252060	2683492.0	8248366.0
SRX5252061	2704807.0	10597018.0
SRX5329169	1634279.0	27040003.0
SRX5329170	2725797.0	28055406.0
SRX5329171	2872959.0	30425239.0
SRX5329172	3099000.0	32137236.0
SRX5329173	1979930.0	28786834.0
SRX5329174	3008229.0	32613703.0
SRX5329175	2858823.0	30144592.0
SRX5329176	2375488.0	31407707.0
SRX5329177	2867712.0	29714370.0
SRX5329178	1603256.0	27007650.0
SRX5329179	1710233.0	29728380.0
SRX5329180	2451011.0	34389159.0
SRX5329181	3109695.0	28562020.0
SRX5329182	2433378.0	25094246.0
SRX5329183	3054136.0	35042243.0
SRX5329184	2123911.0	38452976.0
SRX5329185	1385953.0	21117480.0
SRX5329186	1120278.0	22869412.0
SRX5329187	2390650.0	24710493.0
SRX5329188	2918640.0	30162167.0
SRX5329189	2642859.0	27989515.0
SRX5329190	2035898.0	34764322.0
SRX5329191	1748442.0	35630199.0
SRX5329192	1949413.0	31451689.0
SRX5329193	2272778.0	32926782.0
SRX5329194	2124561.0	34278089.0
SRX6700162	3108375.0	33993089.0
SRX6700163	2981219.0	30955629.0
SRX6700164	3255237.0	38142682.0
SRX6700165	3409640.0	38878603.0
SRX6700166	3387365.0	33096225.0
SRX6700168	3673455.0	36044119.0
SRX6700169	3482212.0	31604069.0
SRX6700170	3440869.0	37541086.0
SRX6700171	4174925.0	40090118.0
SRX6700172	4116139.0	36050055.0
SRX6700173	3997393.0	30979144.0
SRX6700174	3534927.0	37368093.0
SRX6700175	3083670.0	33371696.0
SRX6700176	3177897.0	37994322.0
SRX6700177	2719849.0	26505576.0
SRX6700178	3032209.0	26161329.0
SRX6700179	3423722.0	36833346.0
SRX6700180	3467009.0	44525022.0
SRX6700181	2982375.0	30751822.0
SRX6700182	3252208.0	40620049.0
SRX6700183	3317707.0	26782686.0
SRX6700184	4152872.0	35848049.0
SRX6700185	4045416.0	34534191.0
SRX6922015	2514500.0	6938074.0
SRX6922016	1492074.0	4324014.0
SRX6922017	2102581.0	8620374.0
SRX6922018	1482532.0	6613463.0
SRX6922019	2091639.0	12396108.0
SRX6922020	1600021.0	7259236.0
SRX6922021	1798230.0	9157142.0
SRX6922023	1647360.0	7226375.0
SRX6922024	1646836.0	7920016.0
SRX6922025	1546894.0	7865818.0
SRX6922026	2314165.0	9613103.0
SRX6922027	2265650.0	9701697.0
SRX6922028	2155510.0	7798059.0
SRX6922029	1898312.0	7524285.0
SRX7101023	3515206.0	34798295.0
SRX7101024	3215463.0	31937005.0
SRX7101025	3350167.0	32761217.0
SRX7101026	2650937.0	29216085.0
SRX7101027	2708937.0	33164395.0
SRX7101028	2691495.0	35535277.0
SRX7101029	3643185.0	37184766.0
SRX7101030	3540820.0	32627741.0
SRX7101031	3726416.0	31215532.0
SRX7101032	3458510.0	34755071.0
SRX7101033	3389294.0	34407920.0
SRX7101034	3541347.0	36572195.0
SRX7101035	7508867.0	26634688.0
SRX7101036	9113831.0	70035855.0
SRX7101037	9496623.0	61789607.0
SRX7101038	9019185.0	70791317.0
SRX7101039	9021102.0	71892626.0
SRX7101040	8724942.0	74254797.0
SRX7101041	8354465.0	61264180.0
SRX7551986	1456362.0	5296184.0
SRX7551987	1371749.0	5045762.0
SRX7551988	1055009.0	3205992.0
SRX7551989	1347366.0	4444623.0
SRX7551990	1222950.0	4805025.0
SRX7551991	1117573.0	4151293.0
SRX8694706	657639.0	3172306.0
SRX8694707	734132.0	3656631.0
SRX8694708	967964.0	3409463.0
SRX8694709	878203.0	3364640.0
SRX8694710	672903.0	4642421.0
SRX8694711	581468.0	3586336.0
SRX8694712	662885.0	4293437.0
SRX8694713	575334.0	3293169.0
SRX8694714	635210.0	3546223.0
SRX8694715	666960.0	3765232.0
SRX8694716	608289.0	3520845.0
SRX8694717	672902.0	4283371.0
SRX8694718	908931.0	3348296.0
SRX8694719	829313.0	3316451.0
SRX8694720	708446.0	3040014.0
SRX8694721	872952.0	3301632.0
SRX8694722	803607.0	3894698.0
SRX8694723	812963.0	3491266.0
SRX8694724	874882.0	3342413.0
SRX8694725	875917.0	3509777.0
SRX8694726	881385.0	4338783.0
SRX8694727	914211.0	4488863.0
