Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>50	>500	>10k+	>1k	>10	>5k	>100
SRX14953919										3.8459988053846192	6.5194895699945405	19.223174064733822	23.559756623956687	9.414451277610764	13.880545984781168	10.78588149904451
SRX14953920										2.6669938454882254	5.133450030696804	25.45899325310767	26.215384558267374	7.338444803536583	14.367208189911507	6.883188135863332
SRX14953921										5.073832469403286	7.485109374508693	13.767622870322327	23.66197566218039	11.190557603609069	10.829235605745872	13.814757968691133
SRX14953922										2.2009365838529624	4.69777309513173	29.70845799930067	23.5700064317108	6.655777128014312	16.022584116589552	5.786175060024377
SRX14953923										3.9327444465978405	5.842618636402665	20.177410560171197	22.410241534903705	10.085065164505465	13.531078884140339	9.759973462020744
SRX14953924										10.064794423077407	9.10828190703247	3.2037201738936307	13.889284612996727	19.983132424805994	2.281918923770053	23.98921781917207
SRX14953925										1.8378016525600356	4.903930174219102	28.049121316237134	27.112547373715234	5.9401698387157955	15.691132509365858	5.509758539150352
SRX14953926										6.208660469420727	8.951216206848917	7.747003592934451	22.24328304944678	14.369582831335197	6.360293972389382	16.40093429841655
SRX14953927										3.0574299908898905	6.0373008253942135	22.83536976003521	24.704442330180708	8.444463772902342	12.947199121605909	8.311084570958952
SRX14953928										1.9539438910019402	4.020198140684482	36.0887413341759	22.2748993826534	6.52326194695921	14.098266700418662	5.06442790926624
SRX14953929										2.6631673410002783	5.757370663381202	24.41342723239519	25.156406733038967	7.964819647458668	13.813184297592768	7.421775013705393
SRX14953930										7.56049311671473	8.102108428123724	5.210789878559302	17.339722828633384	18.799016458685905	4.433940796852997	17.69082577105339
SRX14953931										1.4485193586082394	6.391949343859467	22.77577449525556	28.891658945634553	4.759851029572284	17.49698128263624	6.041171270673296
SRX14953932										0.9268721418255854	5.6670228504655915	27.41915032807635	29.706173965592892	3.668810071245612	18.61438289355832	4.622506437356683
SRX18804540										11.11995684205154	5.647153295651906	0.1127516390455989	4.485277198968453	25.035542824099743	0.5167210119972884	24.398630343998253
SRX18804541										10.881998603777863	5.684654359675916	0.13606772129919137	4.267760738097714	24.73588485079132	0.8379788662605717	23.927953481578225
SRX18804542										11.268461223473833	5.853486002671341	0.2484600760849694	3.7839675316756076	23.79621842257955	0.25614656948592934	25.27264192055994
SRX18804543										9.904082637959997	6.254312738573234	0.2558789131567802	6.01123237486906	22.510117870029973	0.5965021784894048	21.8548987404632
SRX18804544										9.375012316143543	6.895848366259652	0.6425642980556318	7.509946235297214	21.560285800886884	1.3268753007895884	21.810151036224816
SRX18804545										9.409340218245466	5.692320999433845	0.6977276330601434	6.114117358474478	22.7455123020851	1.1707434405158024	20.39192315493177
SRX18804546										10.151320854912814	4.673655367458922	0.43944651113287764	4.496399836680296	26.794606943530695	0.8480262369321747	19.050763504393682
SRX18804547										9.456356533007705	9.21828713390373	0.5038053200818082	10.178956642589986	18.92649211110274	1.608465166103414	24.61982161532463
SRX18804548										8.837913989721276	5.422066372621168	1.6000535106039988	6.28942156325362	22.50297490056742	1.0139997087338948	17.901187164070052
SRX18804549										9.578482093024842	9.15719529936659	0.14453837975158926	7.273421184939913	20.234996737754056	0.13798924591027836	25.923108851118336
SRX18804550										9.677058980244425	4.435519907158768	0.13022761459309612	2.665879913209741	22.18656233974848	0.18535742749972017	21.530493133236465
SRX18804551										10.806402698739234	5.558471767464402	0.7900792145775515	3.977991414123165	20.60550053421569	0.22976373012757104	25.71263634260253
SRX18804552										10.12302215986947	4.931768212125634	0.0	2.333095074665472	23.674909716074037	0.0	21.646819344143577
SRX18804553										10.331690843955755	5.32649314380136	0.0	3.1441601430499797	22.349665751357904	0.4621448246130885	23.54338423315124
SRX18804554										10.155443585966019	6.3395423644390885	0.0	4.16062156306636	21.98753026356847	0.1762411885696732	24.4823559886728
SRX19817112										5.87165286801726	1.9204193141663959	0.21358606514797562	1.050976493520971	14.429175665130453	0.2182865127614904	11.074700080433141
SRX19817113										6.030555284497085	1.7955822540573367	0.22509130502231914	1.1894516305489997	14.516627991485864	0.243918957122767	10.788142496323987
SRX19817114										5.5385289704070315	2.4024051052847604	0.48752261149441073	1.685717203281501	12.834663237562877	0.17445056940464937	12.271055842526232
SRX19817115										3.7495752288089275	1.5581253075119361	0.10667440328578923	0.85193112522557	10.703895282303575	0.20112844305123734	8.445901599570703
SRX19817116										5.676053979275034	1.459288377204651	0.10156945611816642	0.8302593313199652	14.502621586876732	0.1979046943404918	9.851859368729738
SRX19817117										5.104470839052933	2.4089461207026757	0.19394541632728773	1.3525604425262998	12.36814256415831	0.2067298332836932	11.223182454748267
SRX2036088										2.4485026164413686	3.5285649177176714	48.15142619948018	16.731644548240745	4.9799649337356335	7.1446729056263685	6.356009596796137
SRX2036089										2.4374069224695893	3.7034824039760252	44.74145530018559	17.805499052698796	5.048603361189584	7.863919355182706	6.916201856747346
SRX2036090										2.2972330753616137	3.759221728358322	45.578178845251514	18.23316404317958	4.608744548807168	8.358708720841163	6.763252752410915
SRX2036091										2.193325365432304	3.8658341248829373	50.68436457812472	15.917182422983592	4.589902867450094	6.303259954603961	6.212875566127267
SRX2036300										10.130363200088949	7.141217596417168	2.124274858697894	10.903028540052974	22.605312130435795	1.9367131715327044	20.954373015850862
SRX2036303										9.94912728595984	7.243390555075946	2.771952198360455	10.689220995914576	22.251389819639076	1.7238709176357816	20.982365955681257
SRX2036305										9.318585563999132	8.083041328477613	2.5937815844758747	13.61043880739896	20.08583315996659	3.561399116129834	20.972122581445422
SRX2036307										9.791399322884335	7.7895412878181105	1.9519952453188212	11.152627237601708	21.612421482504597	2.971670306250571	20.99224300612247
SRX2037533										8.073282865097928	8.872322490701226	7.612457825061771	16.718832213154943	15.210265520285041	4.5807754205430875	20.917795947515817
SRX2037535										8.048105666605384	8.740409140090206	7.324642816742324	16.72555412306615	15.168776001842883	4.625231560178709	21.121549242703495
SRX2037536										7.590588673794533	8.460511360920444	9.606184315615103	18.091096740633542	13.847841292797996	6.211621223455381	19.896642428148464
SRX2037537										7.1882410154194	8.557076090978219	11.955532046386319	19.119915107952327	12.704275773818862	6.735962176115982	19.466483130307573
SRX2037538										8.544277011098853	8.86176781763438	8.978707893829869	16.892198576450383	15.532595352397314	5.266626590273139	21.845541340346593
SRX2037540										8.323066501709947	8.452787291234705	9.242092912510905	15.666081898948967	15.81576707152505	4.686208206529466	20.91194145444295
SRX2037541										7.54338712868323	8.034818870114536	10.465742371064799	16.414338332812978	14.9738232186466	4.669015311569674	18.650509023002726
SRX2037542										7.826549012309619	8.186430077148955	10.766109672897665	16.928723146950134	14.956226706464271	4.765662950730287	19.32391500495359
SRX2037691										8.18284858726271	6.148097082980951	5.953393137555064	11.785003086584691	19.641746043626547	3.236442694918504	16.37850986688235
SRX2037693										7.067740374998811	6.383449526997601	6.280634738864705	16.541525251588585	17.04462492655014	8.139630898458313	15.071075576622414
SRX2037695										8.038761037858896	6.279801302928774	4.14241470563864	14.84622550016681	19.141190081715497	4.956842486903002	16.484952904049013
SRX2037697										8.299552333122922	6.457604734712621	4.675321894445318	14.32095783099113	19.312760181517366	4.650611172026798	16.773766832745103
SRX2037699										8.407864932975851	6.018386341150289	4.616043203481619	10.207420934177042	21.09055748224218	2.469832105670064	16.531930907566515
SRX2037713										7.629689166701954	6.639872194394666	7.771388980144857	11.939223120355209	18.522637766951334	3.4155005741817823	16.079764509888207
SRX2037715										7.815323288751692	6.593762840442584	7.037453966594422	13.205765668245483	18.100478015631815	3.687181394282446	16.389859149069565
