Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX5252033	0.43892689153371783	0.7483720033215198
SRX5252034	1.6770911327140285	2.433322816510802
SRX5252035	0.6754326993298688	3.0077772490785284
SRX5252036	0.2535550120835164	0.0
SRX5252037	0.27122847495887425	0.0
SRX5252038	2.2244897444895866	2.214365877220499
SRX5252039	0.3107046114717326	0.0
SRX5252040	0.29030857965252965	1.1231457698948453
SRX5252041	0.34017041957284755	0.10226540808131712
SRX5252042	0.4071860809874997	0.1299848587808105
SRX5252043	3.2999680708779087	3.435839527139702
SRX5252044	0.28149295676128283	0.0
SRX5252045	0.36681431129667735	0.21994894661501657
SRX5252046	0.3604787790702229	0.11488460737896167
SRX5252047	3.0514282490949527	3.4786798651113595
SRX5252048	0.33690764338913903	0.22330510712810003
SRX5252049	0.3349152944678766	0.10232855264148061
SRX5252050	0.30534100839942	0.0
SRX5252051	2.6841194777459125	2.4915000383957007
SRX5252052	0.12254525055544194	0.0
SRX5252053	0.2943359679683844	0.7862175653892154
SRX5252054	0.35571313165180574	0.24120402120721196
SRX5252055	0.31365537137317734	0.255766477992576
SRX5252056	0.37037737146435473	2.0000847461282563
SRX5252057	0.5188170791474855	1.2993421227992425
SRX5252058	0.31526273910199343	1.4101263792151335
SRX5252059	0.7611293504087563	2.6595877110396025
SRX5252060	0.4137997401722561	0.3591612697493875
SRX5252061	0.3512375181601021	0.7666993062981957
SRX5329169	0.6837416190578024	9.827123134242733
SRX5329170	0.15872673982235197	0.2772731137246326
SRX5329171	0.15331460279021705	0.7142158263339056
SRX5329172	0.22534756550046947	1.3448910944971535
SRX5329173	1.3445352913943112	8.475086947720598
SRX5329174	0.11448284163812339	0.31554998196055173
SRX5329175	0.3472640634310116	1.2499221671454304
SRX5329176	0.9467221794741439	6.058731271568602
SRX5329177	0.15384222530653505	0.0
SRX5329178	0.7225496459287238	9.89167207777342
SRX5329179	0.6851892607348804	9.411331218715018
SRX5329180	0.5453530751893925	5.7226310302042585
SRX5329181	0.33642952394589304	1.494513322060394
SRX5329182	0.3889874403980525	1.04774026265398
SRX5329183	0.29580239108813994	1.080249647873358
SRX5329184	0.4887930412207324	4.861536075943924
SRX5329185	0.700235381863736	12.00203542277305
SRX5329186	0.7705518495653758	13.283927387140054
SRX5329187	0.40166571572276494	1.84226916185786
SRX5329188	0.7514568795132477	3.9921335655445147
SRX5329189	0.9168143481141879	5.987413838705417
SRX5329190	0.6757378080891907	10.6798899571796
SRX5329191	0.7040197100798822	9.918795603082517
SRX5329192	0.8339694899886837	8.043815440580376
SRX5329193	0.5164127051588144	3.8198005884164465
SRX5329194	0.48478888212808685	5.528182700984681
SRX6700162	0.10426812268108882	0.0
SRX6700163	0.15845608289844715	0.1372696721864093
SRX6700164	0.0	0.0
SRX6700165	0.25790146920977536	0.35071213528545037
