Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed	pe_sense	se_antisense	pe_antisense	failed	se_sense
Kiley_B_WT_+O2_Ctrl_C	263758	0	1.2767302853234213	0	0	99822	7818566	0	0	2	50	0	0	0	0	31353	7423581	3.37	131879.0	3777404.0	96.63	3909283.0	pass	warn	3909283.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	14.523527965175411	Sanger / Illumina 1.9	142.93336169318005	fail	0.0	560.3 Mbp	Kiley_B_WT_+O2_Ctrl_C_val_2.fq.gz	173506	3911176	4.4	3911176	0.3198946860456457	560503158	1139754	562301932	0.665		0.274	0.0611	
Kiley_B_WT_+O2_Paraquat_A	306606	0	83.56477447451496	0	0	6607689	7907266	0	0	2454	4580	0	0	0	0	400321	585616	3.88	153303.0	3800330.0	96.12	3953633.0	pass	warn	3953633.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.288393942956729	Sanger / Illumina 1.9	143.54584757867005	fail	0.0	569.2 Mbp	Kiley_B_WT_+O2_Paraquat_A_val_2.fq.gz	382121	3955065	4.4	3955065	0.3260134851009392	569235687	1061969	571097542	0.109		0.5005	0.3905	
Kiley_B_WT_+O2_Paraquat_B	237036	0	83.96629823409984	0	0	5475711	6521320	0	0	1326	3774	0	0	0	0	330376	473097	3.63	118518.0	3142142.0	96.37	3260660.0	pass	warn	3260660.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.251529683273368	Sanger / Illumina 1.9	143.0596228984316	fail	0.0	467.8 Mbp	Kiley_B_WT_+O2_Paraquat_B_val_2.fq.gz	325364	3261971	4.4	3261971	0.3271447827606702	467847744	864521	469383307	0.0769		0.5365	0.3866	
Kiley_B_WT_+O2_Paraquat_C	269582	0	84.07134772193824	0	0	8085577	9617518	0	0	2159	5811	0	0	0	0	492143	762246	2.8	134791.0	4673968.0	97.2	4808759.0	pass	warn	4808759.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.719820829928942	Sanger / Illumina 1.9	142.86338221566103	fail	0.0	688.9 Mbp	Kiley_B_WT_+O2_Paraquat_C_val_2.fq.gz	202882	4811238	4.4	4811238	0.3228418377254505	689127899	1427860	691359898	0.0193		0.648	0.3327	
Kiley_B_WT_-O2_Ctrl_A	221862	0	85.40661344455042	0	0	7109981	8324860	0	0	2099	5529	0	0	0	0	411821	573568	2.67	110931.0	4051499.0	97.33	4162430.0	pass	warn	4162430.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.894692732465776	Sanger / Illumina 1.9	143.87281467796456	fail	0.0	600.6 Mbp	Kiley_B_WT_-O2_Ctrl_A_val_2.fq.gz	178403	4163528	4.4	4163528	0.3250153229314122	600605780	1260258	602564206	0.008		0.8477	0.1443	
Kiley_B_WT_-O2_Ctrl_B	231998	0	84.9669917813915	0	0	5296759	6233902	0	0	1801	3998	0	0	0	0	300055	399291	3.72	115999.0	3000952.0	96.28	3116951.0	pass	warn	3116951.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	13.729010366189764	Sanger / Illumina 1.9	143.75450400086496	fail	0.0	449.3 Mbp	Kiley_B_WT_-O2_Ctrl_B_val_2.fq.gz	134499	3121594	4.4	3121594	0.3211740473999819	450044057	928906	451494139	0.0486		0.5195	0.4319	
Kiley_B_WT_-O2_Ctrl_C	266582	0	84.98552754196503	0	0	6983837	8217678	0	0	1664	5378	0	0	0	0	404490	555727	3.24	133291.0	3975548.0	96.76	4108839.0	pass	warn	4108839.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.736982723424369	Sanger / Illumina 1.9	143.87353142822096	fail	0.0	592.8 Mbp	Kiley_B_WT_-O2_Ctrl_C_val_2.fq.gz	664589	4112318	4.4	4112318	0.3737554677987849	592919819	1114332	595144203	0.0002		0.814	0.1858	
Kiley_B_WT_-O2_NoFe_A	246686	0	86.43785307049015	0	0	7155405	8278092	0	0	1519	6060	0	0	0	0	401532	466890	2.98	123343.0	4015703.0	97.02	4139046.0	pass	warn	4139046.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.08967545381341	Sanger / Illumina 1.9	142.94212869342357	fail	0.0	593.4 Mbp	Kiley_B_WT_-O2_NoFe_A_val_1.fq.gz	185729	4141057	4.4	4141057	0.3245371529959492	593712118	1229236	595645208	0.3652		0.3594	0.2754	
Kiley_B_WT_-O2_NoFe_B	371700	0	84.39131999358919	0	0	8372235	9920730	0	0	2317	6087	0	0	0	0	488892	679499	3.75	185850.0	4774515.0	96.25	4960365.0	pass	warn	4960365.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.019475510742703	Sanger / Illumina 1.9	143.5158936892749	fail	0.0	714.1 Mbp	Kiley_B_WT_-O2_NoFe_B_val_1.fq.gz	224325	4962544	4.4	4962544	0.3227566337097859	714393970	1475408	716707190	0.2238		0.6266	0.1496	
Kiley_B_WT_-O2_NoFe_C	379364	0	84.22742679825578	0	0	7390608	8774586	0	0	1542	5676	0	0	0	0	434214	563182	4.32	189682.0	4197611.0	95.68	4387293.0	pass	warn	4387293.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	8.598624528270125	Sanger / Illumina 1.9	144.2502112350372	fail	0.0	634.8 Mbp	Kiley_B_WT_-O2_NoFe_C_val_1.fq.gz	443433	4388971	4.4	4388971	0.3320251003669744	635047732	1201662	637163274	0.0695		0.5843	0.3463	
