,0
membrane_cobalmin,"['ZMO1_ZMO0001', 'ZMO1_ZMO0026', 'ZMO1_ZMO0069', 'ZMO1_ZMO0087', 'ZMO1_ZMO0127', 'ZMO1_ZMO0128', 'ZMO1_ZMO0130', 'ZMO1_ZMO0131', 'ZMO1_ZMO0133', 'ZMO1_ZMO0145', 'ZMO1_ZMO0172', 'ZMO1_ZMO0188', 'ZMO1_ZMO0265', 'ZMO1_ZMO0319', 'ZMO1_ZMO0560', 'ZMO1_ZMO0657', 'ZMO1_ZMO0694', 'ZMO1_ZMO0794', 'ZMO1_ZMO0902', 'ZMO1_ZMO0912', 'ZMO1_ZMO0937', 'ZMO1_ZMO0968', 'ZMO1_ZMO0979', 'ZMO1_ZMO0992', 'ZMO1_ZMO1001', 'ZMO1_ZMO1040', 'ZMO1_ZMO1291', 'ZMO1_ZMO1440', 'ZMO1_ZMO1497', 'ZMO1_ZMO1521', 'ZMO1_ZMO1522', 'ZMO1_ZMO1593', 'ZMO1_ZMO1620', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1715', 'ZMO1_ZMO1716', 'ZMO1_ZMO1717', 'ZMO1_ZMO1947', 'ZMO1_ZMOp32x019']"
SG_6,['ZMO1_ZMO2060']
transport_1,"['ZMO1_ZMO0095', 'ZMO1_ZMO0346', 'ZMO1_ZMO0361', 'ZMO1_ZMO0454', 'ZMO1_ZMO0492', 'ZMO1_ZMO0493', 'ZMO1_ZMO0543', 'ZMO1_ZMO0560', 'ZMO1_ZMO1116', 'ZMO1_ZMO1117', 'ZMO1_ZMO1138', 'ZMO1_ZMO1139', 'ZMO1_ZMO1140', 'ZMO1_ZMO1298', 'ZMO1_ZMO1378', 'ZMO1_ZMO1380', 'ZMO1_ZMO1815', 'ZMO1_ZMO1816', 'ZMO1_ZMO1838', 'ZMO1_ZMO1847', 'ZMO1_ZMO1848']"
NaAc_response,"['ZMO1_ZMO1457', 'ZMO1_ZMO1458']"
glycolysis_and_ATP_synthase,"['ZMO1_ZMO0152', 'ZMO1_ZMO0176', 'ZMO1_ZMO0177', 'ZMO1_ZMO0178', 'ZMO1_ZMO0238', 'ZMO1_ZMO0239', 'ZMO1_ZMO0240', 'ZMO1_ZMO0241', 'ZMO1_ZMO0242', 'ZMO1_ZMO0368', 'ZMO1_ZMO0369', 'ZMO1_ZMO0667', 'ZMO1_ZMO0668', 'ZMO1_ZMO0689', 'ZMO1_ZMO0773', 'ZMO1_ZMO0997', 'ZMO1_ZMO1236', 'ZMO1_ZMO1240', 'ZMO1_ZMO1360', 'ZMO1_ZMO1425', 'ZMO1_ZMO1478', 'ZMO1_ZMO1608', 'ZMO1_ZMO1682', 'ZMO1_ZMO1708', 'ZMO1_ZMO1779', 'ZMO1_ZMO1862', 'ZMO1_ZMO2066', 'ZMO1_ZMO2067']"
SG_7,['ZMO1_ZMO1937']
fructose_transport_maybe,"['ZMO1_ZMO0374', 'ZMO1_ZMO0375', 'ZMO1_ZMO0379', 'ZMO1_ZMO0380', 'ZMO1_ZMO0381', 'ZMO1_ZMO0383', 'ZMO1_ZMO0384', 'ZMO1_ZMO0385', 'ZMO1_ZMO0387', 'ZMO1_ZMO0388', 'ZMO1_ZMO0389', 'ZMO1_ZMO0390', 'ZMO1_ZMO0391', 'ZMO1_ZMO0392', 'ZMO1_ZMO0393', 'ZMO1_ZMO0395', 'ZMO1_ZMO0397', 'ZMO1_ZMO0398', 'ZMO1_ZMO0399', 'ZMO1_ZMO0929', 'ZMO1_ZMO0930', 'ZMO1_ZMO0931', 'ZMO1_ZMO0932', 'ZMO1_ZMO0934']"
SG_8,['ZMO1_ZMO1802']
SG_9,['ZMO1_ZMO2071']
SG_10,['ZMO1_ZMO2046']
SG_11,['ZMO1_ZMO1411']
SG_12,['ZMO1_ZMO2074']
SG_13,['ZMO1_ZMO2030']
iron_ABC_transport,"['ZMO1_ZMO0422', 'ZMO1_ZMO0423', 'ZMO1_ZMO0425', 'ZMO1_ZMO0426', 'ZMO1_ZMO0427', 'ZMO1_ZMO0428', 'ZMO1_ZMO0429', 'ZMO1_ZMO0430']"
oxidation_response,"['ZMO1_ZMO0085', 'ZMO1_ZMO0256', 'ZMO1_ZMO0422', 'ZMO1_ZMO0443', 'ZMO1_ZMO0678', 'ZMO1_ZMO0753', 'ZMO1_ZMO0754', 'ZMO1_ZMO0903', 'ZMO1_ZMO1060', 'ZMO1_ZMO1097', 'ZMO1_ZMO1113', 'ZMO1_ZMO1211', 'ZMO1_ZMO1495', 'ZMO1_ZMO1561', 'ZMO1_ZMO1603', 'ZMO1_ZMO1732', 'ZMO1_ZMO1753', 'ZMO1_ZMO1874', 'ZMO1_ZMO1875']"
SG_14,['ZMO1_ZMO0384']
ribonucleoside_reductase,"['ZMO1_ZMO0443', 'ZMO1_ZMO1025', 'ZMO1_ZMO1026', 'ZMO1_ZMO1027', 'ZMO1_ZMO1039']"
cell_cycle,"['ZMO1_ZMO0050', 'ZMO1_ZMO0068', 'ZMO1_ZMO0112', 'ZMO1_ZMO0204', 'ZMO1_ZMO0257', 'ZMO1_ZMO0258', 'ZMO1_ZMO0422', 'ZMO1_ZMO0435', 'ZMO1_ZMO0469', 'ZMO1_ZMO0590', 'ZMO1_ZMO0805', 'ZMO1_ZMO0819', 'ZMO1_ZMO0998', 'ZMO1_ZMO1034', 'ZMO1_ZMO1045', 'ZMO1_ZMO1062', 'ZMO1_ZMO1213', 'ZMO1_ZMO1334', 'ZMO1_ZMO1344', 'ZMO1_ZMO1447', 'ZMO1_ZMO1482', 'ZMO1_ZMO1528', 'ZMO1_ZMO1529', 'ZMO1_ZMO1530', 'ZMO1_ZMO1561', 'ZMO1_ZMO1602', 'ZMO1_ZMO1656', 'ZMO1_ZMO1672', 'ZMO1_ZMO1701', 'ZMO1_ZMO1728', 'ZMO1_ZMO1807', 'ZMO1_ZMO1920', 'ZMO1_ZMO1921', 'ZMO1_ZMO1969', 'ZMO1_ZMO1983', 'ZMO1_ZMO2001', 'ZMO1_ZMO2009', 'ZMO1_ZMO2011', 'ZMO1_ZMO2060', 'ZMO1_ZMOp39x030']"
translation_1,"['ZMO1_ZMO0087', 'ZMO1_ZMO0130', 'ZMO1_ZMO0184', 'ZMO1_ZMO0220', 'ZMO1_ZMO0244', 'ZMO1_ZMO0249', 'ZMO1_ZMO0294', 'ZMO1_ZMO0534', 'ZMO1_ZMO0536', 'ZMO1_ZMO0539', 'ZMO1_ZMO0540', 'ZMO1_ZMO0541', 'ZMO1_ZMO0542', 'ZMO1_ZMO0550', 'ZMO1_ZMO0551', 'ZMO1_ZMO0687', 'ZMO1_ZMO0689', 'ZMO1_ZMO0725', 'ZMO1_ZMO0726', 'ZMO1_ZMO0727', 'ZMO1_ZMO0728', 'ZMO1_ZMO0883', 'ZMO1_ZMO0884', 'ZMO1_ZMO0903', 'ZMO1_ZMO0946', 'ZMO1_ZMO1076', 'ZMO1_ZMO1077', 'ZMO1_ZMO1078', 'ZMO1_ZMO1079', 'ZMO1_ZMO1145', 'ZMO1_ZMO1225', 'ZMO1_ZMO1226', 'ZMO1_ZMO1227', 'ZMO1_ZMO1246', 'ZMO1_ZMO1321', 'ZMO1_ZMO1358', 'ZMO1_ZMO1366', 'ZMO1_ZMO1507', 'ZMO1_ZMO1515', 'ZMO1_ZMO1516', 'ZMO1_ZMO1519', 'ZMO1_ZMO1713', 'ZMO1_ZMO1794', 'ZMO1_ZMO1900', 'ZMO1_ZMO1910', 'ZMO1_ZMO2031', 'ZMO1_ZMOp39x017']"
translation_2,"['ZMO1_ZMO0517', 'ZMO1_ZMO0518', 'ZMO1_ZMO0519', 'ZMO1_ZMO0520', 'ZMO1_ZMO0521', 'ZMO1_ZMO0522', 'ZMO1_ZMO0523', 'ZMO1_ZMO0524', 'ZMO1_ZMO0525', 'ZMO1_ZMO0526', 'ZMO1_ZMO0527', 'ZMO1_ZMO0528', 'ZMO1_ZMO0529', 'ZMO1_ZMO0530', 'ZMO1_ZMO0531', 'ZMO1_ZMO0532', 'ZMO1_ZMO0533', 'ZMO1_ZMO0534', 'ZMO1_ZMO0895', 'ZMO1_ZMO2004']"
SG_15,['ZMO1_ZMO2019']
sulfur_metabolism,"['ZMO1_ZMO0003', 'ZMO1_ZMO0004', 'ZMO1_ZMO0005', 'ZMO1_ZMO0007', 'ZMO1_ZMO0008', 'ZMO1_ZMO1264', 'ZMO1_ZMO1265']"
transport_2,"['ZMO1_ZMO0001', 'ZMO1_ZMO0116', 'ZMO1_ZMO0117', 'ZMO1_ZMO1437']"
unknown_4,"['ZMO1_ZMO0895', 'ZMO1_ZMO1301', 'ZMO1_ZMO1468', 'ZMO1_ZMO1536', 'ZMO1_ZMO1589', 'ZMO1_ZMO1620', 'ZMO1_ZMO1966', 'ZMO1_ZMO2014', 'ZMO1_ZMO2016', 'ZMO1_ZMOp32x024', 'ZMO1_ZMOp33x034', 'ZMO1_ZMOp33x035', 'ZMO1_ZMOp36x027', 'ZMO1_ZMOp36x028', 'ZMO1_ZMOp36x038']"
alternative_carbon_maybe,"['ZMO1_ZMO0319', 'ZMO1_ZMO1576', 'ZMO1_ZMO1577', 'ZMO1_ZMO1936', 'ZMO1_ZMO1983', 'ZMO1_ZMO1984', 'ZMO1_ZMO2075']"
SG_16,['ZMO1_ZMO1483']
tetR_family_KO_1,"['ZMO1_ZMO0798', 'ZMO1_ZMO0799', 'ZMO1_ZMO0800', 'ZMO1_ZMO0801', 'ZMO1_ZMO0963', 'ZMO1_ZMO0964', 'ZMO1_ZMO0965', 'ZMO1_ZMO0966', 'ZMO1_ZMO1612', 'ZMO1_ZMO1856']"
SG_17,['ZMO1_ZMO0091']
SG_18,['ZMO1_ZMO1383']
noise_3,"['ZMO1_ZMO0011', 'ZMO1_ZMO0036', 'ZMO1_ZMO0053', 'ZMO1_ZMO0216', 'ZMO1_ZMO0331', 'ZMO1_ZMO0371', 'ZMO1_ZMO0373', 'ZMO1_ZMO0388', 'ZMO1_ZMO0602', 'ZMO1_ZMO0694', 'ZMO1_ZMO0888', 'ZMO1_ZMO0889', 'ZMO1_ZMO0903', 'ZMO1_ZMO0989', 'ZMO1_ZMO1055', 'ZMO1_ZMO1080', 'ZMO1_ZMO1081', 'ZMO1_ZMO1085', 'ZMO1_ZMO1105', 'ZMO1_ZMO1116', 'ZMO1_ZMO1236', 'ZMO1_ZMO1373', 'ZMO1_ZMO1382', 'ZMO1_ZMO1456', 'ZMO1_ZMO1482', 'ZMO1_ZMO1487', 'ZMO1_ZMO1527', 'ZMO1_ZMO1581', 'ZMO1_ZMO1596', 'ZMO1_ZMO1628', 'ZMO1_ZMO1629', 'ZMO1_ZMO1782', 'ZMO1_ZMO1850', 'ZMO1_ZMO1851', 'ZMO1_ZMO1853', 'ZMO1_ZMO1928', 'ZMO1_ZMO1929', 'ZMO1_ZMO1961', 'ZMO1_ZMO1962', 'ZMO1_ZMO2052', 'ZMO1_ZMO2054', 'ZMO1_ZMOp32x015', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x022', 'ZMO1_ZMOp39x002']"
sulfate_transport_maybe,"['ZMO1_ZMO0001', 'ZMO1_ZMO0005', 'ZMO1_ZMO0006', 'ZMO1_ZMO0055', 'ZMO1_ZMO0562', 'ZMO1_ZMO1261', 'ZMO1_ZMO1262', 'ZMO1_ZMO1263', 'ZMO1_ZMO1264', 'ZMO1_ZMO1265', 'ZMO1_ZMO1456', 'ZMO1_ZMO1461', 'ZMO1_ZMO1462', 'ZMO1_ZMO1483', 'ZMO1_ZMO1802', 'ZMO1_ZMO2016', 'ZMO1_ZMO2037', 'ZMO1_ZMO2070', 'ZMO1_ZMOp39x028']"
unknown_5,"['ZMO1_ZMO0263', 'ZMO1_ZMO0264', 'ZMO1_ZMO0265', 'ZMO1_ZMO0266', 'ZMO1_ZMO0267', 'ZMO1_ZMO0268', 'ZMO1_ZMO0269', 'ZMO1_ZMO1324', 'ZMO1_ZMO1466']"
noise_4,"['ZMO1_ZMO0090', 'ZMO1_ZMO0095', 'ZMO1_ZMO0142', 'ZMO1_ZMO0150', 'ZMO1_ZMO0432', 'ZMO1_ZMO0566', 'ZMO1_ZMO0688', 'ZMO1_ZMO0689', 'ZMO1_ZMO0698', 'ZMO1_ZMO0797', 'ZMO1_ZMO0798', 'ZMO1_ZMO0799', 'ZMO1_ZMO0800', 'ZMO1_ZMO0801', 'ZMO1_ZMO0876', 'ZMO1_ZMO0889', 'ZMO1_ZMO0895', 'ZMO1_ZMO0902', 'ZMO1_ZMO1026', 'ZMO1_ZMO1181', 'ZMO1_ZMO1236', 'ZMO1_ZMO1268', 'ZMO1_ZMO1301', 'ZMO1_ZMO1429', 'ZMO1_ZMO1430', 'ZMO1_ZMO1431', 'ZMO1_ZMO1432', 'ZMO1_ZMO1437', 'ZMO1_ZMO1671', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1853', 'ZMO1_ZMO1855', 'ZMO1_ZMO1955', 'ZMO1_ZMOp33x034']"
ETC_and_MEP,"['ZMO1_ZMO0009', 'ZMO1_ZMO0718', 'ZMO1_ZMO0719', 'ZMO1_ZMO0874', 'ZMO1_ZMO0979', 'ZMO1_ZMO1067', 'ZMO1_ZMO1068', 'ZMO1_ZMO1234', 'ZMO1_ZMO1273', 'ZMO1_ZMO1440', 'ZMO1_ZMO1456', 'ZMO1_ZMO1808', 'ZMO1_ZMO1809', 'ZMO1_ZMO1810', 'ZMO1_ZMO1811', 'ZMO1_ZMO1812', 'ZMO1_ZMO1813', 'ZMO1_ZMO1814', 'ZMO1_ZMO1822', 'ZMO1_ZMO2056']"
unknown_6,"['ZMO1_ZMO0281', 'ZMO1_ZMOp32x012', 'ZMO1_ZMOp32x013', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp32x015']"
unknown_7,"['ZMO1_ZMO0054', 'ZMO1_ZMO0066', 'ZMO1_ZMO0134', 'ZMO1_ZMO0303', 'ZMO1_ZMO0387', 'ZMO1_ZMO0705', 'ZMO1_ZMO0733', 'ZMO1_ZMO0931', 'ZMO1_ZMO0968', 'ZMO1_ZMO1249', 'ZMO1_ZMO1425', 'ZMO1_ZMO1437', 'ZMO1_ZMO1628', 'ZMO1_ZMO1826', 'ZMO1_ZMO1828', 'ZMO1_ZMO1831', 'ZMO1_ZMO1838', 'ZMO1_ZMO1948', 'ZMO1_ZMO2016', 'ZMO1_ZMO2027', 'ZMO1_ZMO2048', 'ZMO1_ZMO2065', 'ZMO1_ZMO2076', 'ZMO1_ZMOp36x001', 'ZMO1_ZMOp36x003', 'ZMO1_ZMOp36x004', 'ZMO1_ZMOp36x010', 'ZMO1_ZMOp36x014', 'ZMO1_ZMOp36x016', 'ZMO1_ZMOp36x017', 'ZMO1_ZMOp36x046', 'ZMO1_ZMOp36x047', 'ZMO1_ZMOp36x051', 'ZMO1_ZMOp39x013']"
plasmid_unknown_1,"['ZMO1_ZMO0031', 'ZMO1_ZMO0101', 'ZMO1_ZMO0102', 'ZMO1_ZMO0122', 'ZMO1_ZMO0188', 'ZMO1_ZMO0203', 'ZMO1_ZMO0318', 'ZMO1_ZMO0372', 'ZMO1_ZMO0687', 'ZMO1_ZMO0795', 'ZMO1_ZMO0895', 'ZMO1_ZMO1080', 'ZMO1_ZMO1276', 'ZMO1_ZMO1576', 'ZMO1_ZMO1603', 'ZMO1_ZMO1681', 'ZMO1_ZMO1682', 'ZMO1_ZMO1696', 'ZMO1_ZMO1721', 'ZMO1_ZMO1780', 'ZMO1_ZMO1794', 'ZMO1_ZMO1834', 'ZMO1_ZMO1932', 'ZMO1_ZMO1936', 'ZMO1_ZMO1945', 'ZMO1_ZMO1946', 'ZMO1_ZMO1949', 'ZMO1_ZMO2016', 'ZMO1_ZMO2053', 'ZMO1_ZMO2065', 'ZMO1_ZMO2076', 'ZMO1_ZMOp32x009', 'ZMO1_ZMOp32x014', 'ZMO1_ZMOp33x001', 'ZMO1_ZMOp33x002', 'ZMO1_ZMOp33x005', 'ZMO1_ZMOp33x008', 'ZMO1_ZMOp33x009', 'ZMO1_ZMOp33x010', 'ZMO1_ZMOp33x011', 'ZMO1_ZMOp33x012', 'ZMO1_ZMOp33x013', 'ZMO1_ZMOp33x014', 'ZMO1_ZMOp33x015', 'ZMO1_ZMOp33x016', 'ZMO1_ZMOp33x017', 'ZMO1_ZMOp33x018', 'ZMO1_ZMOp33x019', 'ZMO1_ZMOp33x020', 'ZMO1_ZMOp33x021', 'ZMO1_ZMOp33x022', 'ZMO1_ZMOp33x023', 'ZMO1_ZMOp33x028', 'ZMO1_ZMOp33x032', 'ZMO1_ZMOp36x018', 'ZMO1_ZMOp36x034', 'ZMO1_ZMOp36x048']"
SG_19,['ZMO1_ZMO2048']
SG_20,['ZMO1_ZMO2047']
unknown_8,"['ZMO1_ZMO0137', 'ZMO1_ZMO0733', 'ZMO1_ZMO0750', 'ZMO1_ZMO1011', 'ZMO1_ZMO1054', 'ZMO1_ZMO1215', 'ZMO1_ZMO1377', 'ZMO1_ZMO1424', 'ZMO1_ZMO1449', 'ZMO1_ZMO1506', 'ZMO1_ZMO1545', 'ZMO1_ZMO1577', 'ZMO1_ZMO1578', 'ZMO1_ZMO1579', 'ZMO1_ZMO1679', 'ZMO1_ZMO1761', 'ZMO1_ZMO1855', 'ZMO1_ZMO1857', 'ZMO1_ZMO1862', 'ZMO1_ZMO1863', 'ZMO1_ZMO1864', 'ZMO1_ZMO1903', 'ZMO1_ZMO2016', 'ZMO1_ZMOp32x007', 'ZMO1_ZMOp36x011', 'ZMO1_ZMOp39x003']"
