,imodulon,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,fisher_p_value
65,aldose_transport_maybe,ZCP4_0375,0.7489666427160708,0.8170545193266228,0.06666666666666667,0.006211180124223602,0.011363636363636362,1.0,161.0,15.0,1.0,1.0
66,aldose_transport_maybe,ZCP4_1387,0.877610148492836,0.877610148492836,0.06666666666666667,0.0041841004184100415,0.007874015748031494,1.0,239.0,15.0,1.0,0.7084765648389284
67,transport_2,ZCP4_0530,0.12651815192659985,0.37955445577979957,0.25,0.01639344262295082,0.030769230769230767,1.0,61.0,4.0,1.0,0.12651815192659985
68,transport_2,ZCP4_1194,0.10464486960524566,0.37955445577979957,0.25,0.02,0.037037037037037035,1.0,50.0,4.0,1.0,0.10464486960524566
69,transport_2,ZCP4_0128,0.2703404735137414,0.40551071027061214,0.25,0.007194244604316547,0.013986013986013986,1.0,139.0,4.0,1.0,0.2703404735137414
70,transport_2,ZCP4_1046,0.2370799181550958,0.40551071027061214,0.25,0.008333333333333333,0.016129032258064516,1.0,120.0,4.0,1.0,0.2370799181550958
71,transport_2,ZCP4_1718,0.3636224699075664,0.4278416164036756,0.25,0.00510204081632653,0.009999999999999998,1.0,196.0,4.0,1.0,0.3636224699075664
72,transport_2,ZCP4_1387,0.4278416164036756,0.4278416164036756,0.25,0.0041841004184100415,0.008230452674897118,1.0,239.0,4.0,1.0,0.4278416164036756
73,unknown_3,ZCP4_0128,0.07570806100217864,0.08769063180827885,1.0,0.007194244604316547,0.014285714285714287,1.0,139.0,1.0,1.0,0.07570806100217864
74,unknown_3,ZCP4_0375,0.08769063180827885,0.08769063180827885,1.0,0.006211180124223602,0.01234567901234568,1.0,161.0,1.0,1.0,0.08769063180827885
75,oxidation_response_2,ZCP4_0375,0.6588357865668464,0.8448365370512918,0.08,0.012422360248447204,0.021505376344086023,2.0,161.0,25.0,1.0,1.0
