# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_Dfur_-O2_C_cds.txt" "Kiley_B_Dfur_-O2_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_Dfur_-O2_C.bam
ZMO1_ZMO0241	CP023715.1	237307	238761	+	1455	37652
ZMO1_ZMO0242	CP023715.1	238821	239087	+	267	6726
ZMO1_ZMO0243	CP023715.1	239486	240322	-	837	620
ZMO1_ZMO0244	CP023715.1	240584	240859	-	276	7920
ZMO1_ZMO0246	CP023715.1	241394	241948	+	555	1357
ZMO1_ZMO0247	CP023715.1	241973	243265	+	1293	3876
ZMO1_ZMO0249	CP023715.1	243551	243718	+	168	8088
ZMO1_ZMO0250	CP023715.1	243834	244196	-	363	138
ZMO1_ZMO0251	CP023715.1	244368	244826	+	459	733
ZMO1_ZMO0252	CP023715.1	245175	254129	+	8955	1162
ZMO1_ZMO0253	CP023715.1	254134	255609	+	1476	66
ZMO1_ZMO0254	CP023715.1	255606	257753	+	2148	197
ZMO1_ZMO0255	CP023715.1	257746	258927	+	1182	36
ZMO1_ZMO0256	CP023715.1	259049	260773	+	1725	1171
ZMO1_ZMO0257	CP023715.1	260996	261673	+	678	3496
ZMO1_ZMO0258	CP023715.1	261676	263133	+	1458	1265
ZMO1_ZMO0260	CP023715.1	263330	263995	+	666	147
ZMO1_ZMO0262	CP023715.1	263992	264639	+	648	95
ZMO1_ZMO0263	CP023715.1	264645	266048	-	1404	473
ZMO1_ZMO0264	CP023715.1	266103	267536	-	1434	948
ZMO1_ZMO0265	CP023715.1	267591	269021	-	1431	684
ZMO1_ZMO0266	CP023715.1	269076	270503	-	1428	555
ZMO1_ZMO0267	CP023715.1	270558	271985	-	1428	640
ZMO1_ZMO0268	CP023715.1	272040	273464	-	1425	444
ZMO1_ZMO0269	CP023715.1	273519	274940	-	1422	760
ZMO1_ZMO0270	CP023715.1	274995	276476	-	1482	3846
ZMO1_ZMO2001	CP023715.1	276463	276930	-	468	1058
ZMO1_ZMO0271	CP023715.1	277112	278863	+	1752	1123
ZMO1_ZMO2047	CP023715.1	278860	279066	-	207	6
ZMO1_ZMO0273	CP023715.1	279056	280231	+	1176	10474
ZMO1_ZMO0274	CP023715.1	280306	281805	-	1500	843
ZMO1_ZMO0275	CP023715.1	281853	282635	-	783	664
ZMO1_ZMO0276	CP023715.1	282850	283446	-	597	1096
ZMO1_ZMO0277	CP023715.1	283452	284090	-	639	1734
ZMO1_ZMO0278	CP023715.1	284123	284752	-	630	5441
