# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_A_cds.txt" "Kiley_A_DZM0422_Aerobic_A.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_A.bam
ZMO1_ZMO0225	CP023715.1	219611	220732	-	1122	18634
ZMO1_ZMO0226	CP023715.1	221111	221860	+	750	8748
ZMO1_ZMO0227	CP023715.1	221876	224641	+	2766	19655
ZMO1_ZMO0228	CP023715.1	224638	226185	+	1548	8877
ZMO1_ZMO0229	CP023715.1	226190	227215	+	1026	2470
ZMO1_ZMO0230	CP023715.1	227212	227997	+	786	1453
ZMO1_ZMO0231	CP023715.1	228223	228771	+	549	12952
ZMO1_ZMO0232	CP023715.1	228888	229637	-	750	16132
ZMO1_ZMO0233	CP023715.1	230210	230596	-	387	2740
ZMO1_ZMO0234	CP023715.1	230689	232263	-	1575	103717
ZMO1_ZMO0236	CP023715.1	232800	233828	+	1029	5178
ZMO1_ZMO2046	CP023715.1	234003	234263	-	261	67
ZMO1_ZMO0238	CP023715.1	234262	234816	+	555	76449
ZMO1_ZMO0239	CP023715.1	234819	236348	+	1530	240001
ZMO1_ZMO0240	CP023715.1	236382	237278	+	897	142361
ZMO1_ZMO0241	CP023715.1	237307	238761	+	1455	230839
ZMO1_ZMO0242	CP023715.1	238821	239087	+	267	20225
ZMO1_ZMO0243	CP023715.1	239486	240322	-	837	3555
ZMO1_ZMO0244	CP023715.1	240584	240859	-	276	55433
ZMO1_ZMO0246	CP023715.1	241394	241948	+	555	10772
ZMO1_ZMO0247	CP023715.1	241973	243265	+	1293	44348
ZMO1_ZMO0249	CP023715.1	243551	243718	+	168	76053
ZMO1_ZMO0250	CP023715.1	243834	244196	-	363	1175
ZMO1_ZMO0251	CP023715.1	244368	244826	+	459	4376
ZMO1_ZMO0252	CP023715.1	245175	254129	+	8955	5039
ZMO1_ZMO0253	CP023715.1	254134	255609	+	1476	412
ZMO1_ZMO0254	CP023715.1	255606	257753	+	2148	1261
ZMO1_ZMO0255	CP023715.1	257746	258927	+	1182	448
ZMO1_ZMO0256	CP023715.1	259049	260773	+	1725	20069
ZMO1_ZMO0257	CP023715.1	260996	261673	+	678	46789
ZMO1_ZMO0258	CP023715.1	261676	263133	+	1458	21448
ZMO1_ZMO0260	CP023715.1	263330	263995	+	666	1271
ZMO1_ZMO0262	CP023715.1	263992	264639	+	648	551
ZMO1_ZMO0263	CP023715.1	264645	266048	-	1404	2294
ZMO1_ZMO0264	CP023715.1	266103	267536	-	1434	3750
ZMO1_ZMO0265	CP023715.1	267591	269021	-	1431	2863
ZMO1_ZMO0266	CP023715.1	269076	270503	-	1428	2788
ZMO1_ZMO0267	CP023715.1	270558	271985	-	1428	2726
ZMO1_ZMO0268	CP023715.1	272040	273464	-	1425	2174
ZMO1_ZMO0269	CP023715.1	273519	274940	-	1422	3013
ZMO1_ZMO0270	CP023715.1	274995	276476	-	1482	8702
ZMO1_ZMO2001	CP023715.1	276463	276930	-	468	823
ZMO1_ZMO0271	CP023715.1	277112	278863	+	1752	4932
ZMO1_ZMO2047	CP023715.1	278860	279066	-	207	23
ZMO1_ZMO0273	CP023715.1	279056	280231	+	1176	91326
ZMO1_ZMO0274	CP023715.1	280306	281805	-	1500	6792
ZMO1_ZMO0275	CP023715.1	281853	282635	-	783	5963
ZMO1_ZMO0276	CP023715.1	282850	283446	-	597	7629
ZMO1_ZMO0277	CP023715.1	283452	284090	-	639	14551
ZMO1_ZMO0278	CP023715.1	284123	284752	-	630	37338
ZMO1_ZMO0279	CP023715.1	285024	285800	+	777	321867
ZMO1_ZMO0281	CP023715.1	286193	286840	-	648	2222
ZMO1_ZMO0282	CP023715.1	287065	288234	+	1170	24373
ZMO1_ZMO0283	CP023715.1	288238	291381	+	3144	40051
ZMO1_ZMO0285	CP023715.1	291381	292919	+	1539	16773
ZMO1_ZMO0286	CP023715.1	292966	293739	-	774	16689
ZMO1_ZMO0287	CP023715.1	294090	295238	+	1149	14029
ZMO1_ZMO0290	CP023715.1	295367	296623	+	1257	5893
ZMO1_ZMO0291	CP023715.1	296613	297470	-	858	5210
ZMO1_ZMO0293	CP023715.1	297731	299173	-	1443	22967
ZMO1_ZMO0294	CP023715.1	299858	300145	-	288	111612
ZMO1_ZMO0296	CP023715.1	300451	300933	+	483	444
ZMO1_ZMO0297	CP023715.1	301182	302507	+	1326	20314
