# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Anaerobic_C_cds.txt" "Kiley_A_DZM0422_Anaerobic_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Anaerobic_C.bam
ZMO1_ZMO0164	CP023715.1	148147	149226	+	1080	9345
ZMO1_ZMO0165	CP023715.1	149280	150656	+	1377	25633
ZMO1_ZMO0166	CP023715.1	150783	151313	+	531	25151
ZMO1_ZMO2000	CP023715.1	152523	152939	-	417	589
ZMO1_ZMO0169	CP023715.1	153232	153975	-	744	18569
ZMO1_ZMO2044	CP023715.1	154131	154574	+	444	1191
ZMO1_ZMO0172	CP023715.1	157812	159626	+	1815	19411
ZMO1_ZMO0173	CP023715.1	160144	160545	-	402	2603
ZMO1_ZMO0174	CP023715.1	160738	161130	-	393	861
ZMO1_ZMO0175	CP023715.1	161341	161622	-	282	674
ZMO1_ZMO0176	CP023715.1	161837	163828	+	1992	64226
ZMO1_ZMO0177	CP023715.1	163878	164891	+	1014	1146457
ZMO1_ZMO0178	CP023715.1	165114	166307	+	1194	245688
ZMO1_ZMO0179	CP023715.1	167076	167990	+	915	9061
ZMO1_ZMO0180	CP023715.1	168147	169280	-	1134	43447
ZMO1_ZMO0182	CP023715.1	169658	171052	+	1395	45528
ZMO1_ZMO0183	CP023715.1	171346	173028	-	1683	73439
ZMO1_ZMO0184	CP023715.1	173737	173976	+	240	205735
ZMO1_ZMO0186	CP023715.1	174197	175747	+	1551	20802
ZMO1_ZMO0187	CP023715.1	175840	177168	+	1329	67891
ZMO1_ZMO0188	CP023715.1	177747	180113	+	2367	7447
ZMO1_ZMO0189	CP023715.1	180139	181500	-	1362	9189
ZMO1_ZMO0190	CP023715.1	181591	182508	-	918	2841
ZMO1_ZMO0191	CP023715.1	182842	183621	-	780	1344
ZMO1_ZMO0192	CP023715.1	183652	185010	-	1359	3262
ZMO1_ZMO0193	CP023715.1	185346	188084	-	2739	64690
ZMO1_ZMO0195	CP023715.1	188615	189634	+	1020	1371
ZMO1_ZMO0197	CP023715.1	189846	192425	+	2580	3507
ZMO1_ZMO0198	CP023715.1	192536	193663	+	1128	19348
ZMO1_ZMO0199	CP023715.1	193716	194369	-	654	8195
ZMO1_ZMO0200	CP023715.1	194535	195560	-	1026	9475
ZMO1_ZMO0201	CP023715.1	195587	196171	-	585	7635
ZMO1_ZMO0202	CP023715.1	197164	199056	+	1893	40979
ZMO1_ZMO0203	CP023715.1	199098	199547	-	450	574
ZMO1_ZMO0204	CP023715.1	199614	200246	+	633	217
ZMO1_ZMO0205	CP023715.1	200250	201173	-	924	8780
ZMO1_ZMO0206	CP023715.1	201170	202363	-	1194	18122
ZMO1_ZMO0207	CP023715.1	202348	203391	-	1044	20548
ZMO1_ZMO0208	CP023715.1	203483	204091	-	609	11931
ZMO1_ZMO0209	CP023715.1	204284	204553	-	270	28688
ZMO1_ZMO0211	CP023715.1	204686	205060	-	375	68711
ZMO1_ZMO0213	CP023715.1	205298	208678	-	3381	844
ZMO1_ZMO0214	CP023715.1	208984	210438	-	1455	2573
ZMO1_ZMO0215	CP023715.1	210663	211313	+	651	3502
ZMO1_ZMO0216	CP023715.1	211393	212964	-	1572	4442
ZMO1_ZMO0219	CP023715.1	213317	216148	+	2832	6229
ZMO1_ZMO0220	CP023715.1	216380	216718	+	339	32178
ZMO1_ZMO0221	CP023715.1	217047	217601	+	555	13554
ZMO1_ZMO0222	CP023715.1	217815	218114	+	300	1088
ZMO1_ZMO0223	CP023715.1	218194	218955	+	762	3124
ZMO1_ZMO0224	CP023715.1	218964	219611	-	648	3606
ZMO1_ZMO0225	CP023715.1	219611	220732	-	1122	10248
ZMO1_ZMO0226	CP023715.1	221111	221860	+	750	4908
ZMO1_ZMO0227	CP023715.1	221876	224641	+	2766	13311
ZMO1_ZMO0228	CP023715.1	224638	226185	+	1548	6575
ZMO1_ZMO0229	CP023715.1	226190	227215	+	1026	1769
ZMO1_ZMO0230	CP023715.1	227212	227997	+	786	1056
ZMO1_ZMO0231	CP023715.1	228223	228771	+	549	5229
ZMO1_ZMO0232	CP023715.1	228888	229637	-	750	20596
ZMO1_ZMO0233	CP023715.1	230210	230596	-	387	1294
ZMO1_ZMO0234	CP023715.1	230689	232263	-	1575	37152
ZMO1_ZMO0236	CP023715.1	232800	233828	+	1029	4920
ZMO1_ZMO2046	CP023715.1	234003	234263	-	261	132
ZMO1_ZMO0238	CP023715.1	234262	234816	+	555	103446
ZMO1_ZMO0239	CP023715.1	234819	236348	+	1530	313635
ZMO1_ZMO0240	CP023715.1	236382	237278	+	897	185151
ZMO1_ZMO0241	CP023715.1	237307	238761	+	1455	291260
ZMO1_ZMO0242	CP023715.1	238821	239087	+	267	25830
ZMO1_ZMO0243	CP023715.1	239486	240322	-	837	3481
ZMO1_ZMO0244	CP023715.1	240584	240859	-	276	66687
ZMO1_ZMO0246	CP023715.1	241394	241948	+	555	4764
ZMO1_ZMO0247	CP023715.1	241973	243265	+	1293	18879
ZMO1_ZMO0249	CP023715.1	243551	243718	+	168	77523
ZMO1_ZMO0250	CP023715.1	243834	244196	-	363	873
ZMO1_ZMO0251	CP023715.1	244368	244826	+	459	5331
ZMO1_ZMO0252	CP023715.1	245175	254129	+	8955	4074
ZMO1_ZMO0253	CP023715.1	254134	255609	+	1476	291
ZMO1_ZMO0254	CP023715.1	255606	257753	+	2148	845
ZMO1_ZMO0255	CP023715.1	257746	258927	+	1182	309
ZMO1_ZMO0256	CP023715.1	259049	260773	+	1725	4255
ZMO1_ZMO0257	CP023715.1	260996	261673	+	678	10180
ZMO1_ZMO0258	CP023715.1	261676	263133	+	1458	5112
ZMO1_ZMO0260	CP023715.1	263330	263995	+	666	763
ZMO1_ZMO0262	CP023715.1	263992	264639	+	648	308
ZMO1_ZMO0263	CP023715.1	264645	266048	-	1404	2457
ZMO1_ZMO0264	CP023715.1	266103	267536	-	1434	3794
ZMO1_ZMO0265	CP023715.1	267591	269021	-	1431	2883
ZMO1_ZMO0266	CP023715.1	269076	270503	-	1428	2800
ZMO1_ZMO0267	CP023715.1	270558	271985	-	1428	2733
ZMO1_ZMO0268	CP023715.1	272040	273464	-	1425	1811
ZMO1_ZMO0269	CP023715.1	273519	274940	-	1422	3161
ZMO1_ZMO0270	CP023715.1	274995	276476	-	1482	11662
ZMO1_ZMO2001	CP023715.1	276463	276930	-	468	949
ZMO1_ZMO0271	CP023715.1	277112	278863	+	1752	5011
ZMO1_ZMO2047	CP023715.1	278860	279066	-	207	22
ZMO1_ZMO0273	CP023715.1	279056	280231	+	1176	72699
ZMO1_ZMO0274	CP023715.1	280306	281805	-	1500	4800
ZMO1_ZMO0275	CP023715.1	281853	282635	-	783	5299
ZMO1_ZMO0276	CP023715.1	282850	283446	-	597	6981
ZMO1_ZMO0277	CP023715.1	283452	284090	-	639	15851
ZMO1_ZMO0278	CP023715.1	284123	284752	-	630	41974
ZMO1_ZMO0279	CP023715.1	285024	285800	+	777	230778
ZMO1_ZMO0281	CP023715.1	286193	286840	-	648	2221
ZMO1_ZMO0282	CP023715.1	287065	288234	+	1170	9884
ZMO1_ZMO0283	CP023715.1	288238	291381	+	3144	16638
ZMO1_ZMO0285	CP023715.1	291381	292919	+	1539	7608
ZMO1_ZMO0286	CP023715.1	292966	293739	-	774	4104
ZMO1_ZMO0287	CP023715.1	294090	295238	+	1149	9692
ZMO1_ZMO0290	CP023715.1	295367	296623	+	1257	3109
ZMO1_ZMO0291	CP023715.1	296613	297470	-	858	7940
ZMO1_ZMO0293	CP023715.1	297731	299173	-	1443	7212
ZMO1_ZMO0294	CP023715.1	299858	300145	-	288	114923
ZMO1_ZMO0296	CP023715.1	300451	300933	+	483	361
ZMO1_ZMO0297	CP023715.1	301182	302507	+	1326	18954
ZMO1_ZMO0298	CP023715.1	302605	303303	-	699	10579
ZMO1_ZMO0299	CP023715.1	303462	304715	-	1254	25327
ZMO1_ZMO0300	CP023715.1	304714	306348	+	1635	5780
ZMO1_ZMO0301	CP023715.1	306494	307246	+	753	1143
ZMO1_ZMO0302	CP023715.1	307218	307514	-	297	414
ZMO1_ZMO0303	CP023715.1	307520	308524	-	1005	1983
ZMO1_ZMO0305	CP023715.1	308672	309145	-	474	2377
ZMO1_ZMO0306	CP023715.1	309239	310507	-	1269	5002
ZMO1_ZMO0307	CP023715.1	310535	312268	-	1734	3590
ZMO1_ZMO0309	CP023715.1	312601	313617	+	1017	1528
ZMO1_ZMO0311	CP023715.1	313683	314498	-	816	5024
ZMO1_ZMO0312	CP023715.1	314701	315843	+	1143	3025
ZMO1_ZMO0313	CP023715.1	315873	316355	+	483	1115
ZMO1_ZMO0314	CP023715.1	316394	317812	-	1419	5834
ZMO1_ZMO0315	CP023715.1	317877	318263	-	387	2048
ZMO1_ZMO0318	CP023715.1	318604	319359	+	756	4071
ZMO1_ZMO0319	CP023715.1	319432	319680	-	249	289
ZMO1_ZMO0321	CP023715.1	320294	320791	+	498	685
ZMO1_ZMO0322	CP023715.1	321130	322074	+	945	9529
ZMO1_ZMO0323	CP023715.1	322193	325018	+	2826	66827
ZMO1_ZMO0324	CP023715.1	325022	325546	+	525	4095
ZMO1_ZMO0325	CP023715.1	325631	326143	+	513	12534
ZMO1_ZMO0326	CP023715.1	326160	326603	-	444	4264
ZMO1_ZMO0327	CP023715.1	326798	328834	+	2037	20406
ZMO1_ZMO0328	CP023715.1	328990	329553	+	564	26921
ZMO1_ZMO0329	CP023715.1	329553	330368	+	816	42874
ZMO1_ZMO2048	CP023715.1	330354	330536	-	183	44
ZMO1_ZMO0331	CP023715.1	330814	331410	+	597	16564
ZMO1_ZMO0332	CP023715.1	331475	332191	-	717	8648
ZMO1_ZMO0335	CP023715.1	332580	333365	+	786	4332
ZMO1_ZMO0336	CP023715.1	333462	334136	+	675	2066
ZMO1_ZMO0339	CP023715.1	334277	335656	+	1380	24204
ZMO1_ZMO0341	CP023715.1	335843	336622	+	780	1890
ZMO1_ZMO0342	CP023715.1	336684	337886	-	1203	41531
ZMO1_ZMO0343	CP023715.1	338009	338680	-	672	2340
ZMO1_ZMO0344	CP023715.1	338983	340425	+	1443	17423
ZMO1_ZMO0345	CP023715.1	340714	341433	+	720	1250
ZMO1_ZMO0346	CP023715.1	341634	342983	+	1350	11977
ZMO1_ZMO0347	CP023715.1	343378	343863	+	486	6224
ZMO1_ZMO0348	CP023715.1	343860	345242	+	1383	13915
ZMO1_ZMO0349	CP023715.1	345263	345829	+	567	4752
ZMO1_ZMO0350	CP023715.1	345969	346595	+	627	2958
ZMO1_ZMO0351	CP023715.1	346818	352019	+	5202	10648
ZMO1_ZMO0352	CP023715.1	352178	353752	+	1575	7412
ZMO1_ZMO0353	CP023715.1	353797	355140	+	1344	6613
ZMO1_ZMO0354	CP023715.1	355278	357119	-	1842	5183
ZMO1_ZMO0355	CP023715.1	357377	358423	+	1047	19407
ZMO1_ZMO0356	CP023715.1	358454	359473	+	1020	8203
ZMO1_ZMO0357	CP023715.1	359487	360038	+	552	230
ZMO1_ZMO0359	CP023715.1	360166	362097	+	1932	6863
ZMO1_ZMO0360	CP023715.1	362109	363215	+	1107	2285
