regulator,gene_id
ZCP4_1465,ZCP4_0324
ZCP4_1046,ZCP4_0305
ZCP4_1046,ZCP4_0305
ZCP4_1046,ZCP4_0302
ZCP4_1387,ZCP4_0302
ZCP4_0375,ZCP4_0232
ZCP4_1046,ZCP4_0232
ZCP4_1046,ZCP4_0207
ZCP4_1046,ZCP4_0197
ZCP4_1046,ZCP4_0196
ZCP4_1046,ZCP4_0196
ZCP4_1387,ZCP4_0196
ZCP4_0900,ZCP4_0184
ZCP4_1046,ZCP4_0184
ZCP4_0128,ZCP4_0183
ZCP4_1046,ZCP4_0183
ZCP4_0018,ZCP4_0154
ZCP4_1046,ZCP4_0154
ZCP4_1465,ZCP4_0154
ZCP4_0375,ZCP4_0130
ZCP4_0900,ZCP4_0130
ZCP4_1046,ZCP4_0130
ZCP4_0128,ZCP4_0098
ZCP4_1046,ZCP4_0098
ZCP4_1046,ZCP4_0032
ZCP4_0375,ZCP4_1764
ZCP4_1046,ZCP4_1764
ZCP4_1382,ZCP4_1764
ZCP4_1387,ZCP4_1764
ZCP4_1046,ZCP4_1757
ZCP4_1387,ZCP4_1757
ZCP4_1046,ZCP4_1755
ZCP4_1387,ZCP4_1755
ZCP4_1387,ZCP4_1755
ZCP4_1046,ZCP4_1747
ZCP4_1046,ZCP4_1739
ZCP4_1387,ZCP4_1739
ZCP4_1046,ZCP4_1734
ZCP4_1046,ZCP4_1734
ZCP4_1465,ZCP4_1734
ZCP4_1046,ZCP4_1702
ZCP4_1465,ZCP4_1702
ZCP4_1046,ZCP4_1695
ZCP4_1387,ZCP4_1695
ZCP4_0018,ZCP4_1686
ZCP4_0128,ZCP4_1686
ZCP4_0375,ZCP4_1686
ZCP4_1046,ZCP4_1686
ZCP4_1465,ZCP4_1686
ZCP4_0128,ZCP4_1679
ZCP4_1046,ZCP4_1679
ZCP4_0128,ZCP4_1678
ZCP4_0375,ZCP4_1678
ZCP4_1046,ZCP4_1678
ZCP4_1046,ZCP4_1650
ZCP4_1046,ZCP4_1642
ZCP4_1046,ZCP4_1637
ZCP4_0128,ZCP4_1628
ZCP4_0210,ZCP4_1628
ZCP4_0375,ZCP4_1628
ZCP4_0523,ZCP4_1628
ZCP4_0900,ZCP4_1628
ZCP4_1046,ZCP4_1628
ZCP4_1382,ZCP4_1628
ZCP4_1637,ZCP4_1628
ZCP4_1718,ZCP4_1628
ZCP4_1046,ZCP4_1618
ZCP4_1387,ZCP4_1618
ZCP4_1465,ZCP4_1618
ZCP4_1718,ZCP4_1618
ZCP4_0375,ZCP4_1554
ZCP4_1046,ZCP4_1554
ZCP4_1465,ZCP4_1554
ZCP4_1718,ZCP4_1554
ZCP4_1046,ZCP4_1551
ZCP4_0530,ZCP4_1529
ZCP4_1046,ZCP4_1529
ZCP4_0128,ZCP4_1510
ZCP4_1046,ZCP4_1510
ZCP4_1387,ZCP4_1510
ZCP4_1718,ZCP4_1510
ZCP4_0375,ZCP4_1487
ZCP4_1046,ZCP4_1487
ZCP4_1387,ZCP4_1487
ZCP4_0900,ZCP4_1468
ZCP4_1046,ZCP4_1468
ZCP4_1465,ZCP4_1468
ZCP4_1046,ZCP4_1465
ZCP4_1387,ZCP4_1465
ZCP4_1465,ZCP4_1465
ZCP4_1718,ZCP4_1465
ZCP4_1046,ZCP4_1452
ZCP4_1387,ZCP4_1452
ZCP4_0018,ZCP4_1420
ZCP4_0265,ZCP4_1420
ZCP4_0375,ZCP4_1420
ZCP4_0530,ZCP4_1420
ZCP4_1046,ZCP4_1420
ZCP4_1387,ZCP4_1420
ZCP4_1718,ZCP4_1420
ZCP4_0210,ZCP4_1418
ZCP4_0375,ZCP4_1418
ZCP4_0523,ZCP4_1418
ZCP4_0900,ZCP4_1418
ZCP4_0900,ZCP4_1418
ZCP4_1046,ZCP4_1418
ZCP4_1387,ZCP4_1418
ZCP4_1387,ZCP4_1418
ZCP4_1465,ZCP4_1418
ZCP4_0530,ZCP4_1417
ZCP4_0900,ZCP4_1417
ZCP4_1046,ZCP4_1417
ZCP4_1465,ZCP4_1417
ZCP4_0128,ZCP4_1416
ZCP4_1046,ZCP4_1416
ZCP4_1387,ZCP4_1416
ZCP4_0375,ZCP4_1392
ZCP4_0900,ZCP4_1392
ZCP4_1046,ZCP4_1392
ZCP4_0018,ZCP4_1387
ZCP4_0523,ZCP4_1387
ZCP4_1046,ZCP4_1387
ZCP4_1387,ZCP4_1387
ZCP4_1718,ZCP4_1387
ZCP4_0265,ZCP4_1340
ZCP4_0523,ZCP4_1340
ZCP4_1046,ZCP4_1340
ZCP4_1382,ZCP4_1340
ZCP4_1585,ZCP4_1340
ZCP4_1718,ZCP4_1340
ZCP4_0018,ZCP4_1315
ZCP4_0210,ZCP4_1315
ZCP4_1046,ZCP4_1315
ZCP4_1465,ZCP4_1315
ZCP4_0530,ZCP4_1296
ZCP4_1046,ZCP4_1296
ZCP4_1046,ZCP4_1290
ZCP4_0900,ZCP4_1281
ZCP4_1046,ZCP4_1281
ZCP4_1718,ZCP4_1281
ZCP4_0375,ZCP4_1261
ZCP4_1042,ZCP4_1261
ZCP4_1046,ZCP4_1261
