,gene_id,database,kegg_id
6652,YBL084C,KEGG_pathway,map04110
6653,YBL084C,KEGG_pathway,map04111
6654,YBL084C,KEGG_pathway,map04113
6655,YBL084C,KEGG_pathway,map04114
6656,YBL084C,KEGG_pathway,map04120
6657,YBL084C,KEGG_pathway,map04914
6658,YBL084C,KEGG_pathway,map05166
6662,YBL082C,KEGG_pathway,map00510
6663,YBL082C,KEGG_pathway,map00513
6664,YBL082C,KEGG_pathway,map01100
6668,YBL081W,KEGG_pathway,map00510
6669,YBL081W,KEGG_pathway,map00513
6670,YBL081W,KEGG_pathway,map01100
6673,YBL080C,KEGG_pathway,map00970
6674,YBL080C,KEGG_pathway,map01100
6676,YBL079W,KEGG_pathway,map03013
6688,YBL078C,KEGG_pathway,map04068
6689,YBL078C,KEGG_pathway,map04136
6690,YBL078C,KEGG_pathway,map04137
6691,YBL078C,KEGG_pathway,map04138
6692,YBL078C,KEGG_pathway,map04139
6693,YBL078C,KEGG_pathway,map04140
6694,YBL078C,KEGG_pathway,map04212
6695,YBL078C,KEGG_pathway,map04371
6696,YBL078C,KEGG_pathway,map04621
6697,YBL078C,KEGG_pathway,map04727
6698,YBL078C,KEGG_pathway,map05167
6700,YBL076C,KEGG_pathway,map00970
6713,YBL075C,KEGG_pathway,map03040
6714,YBL075C,KEGG_pathway,map04010
6715,YBL075C,KEGG_pathway,map04141
6716,YBL075C,KEGG_pathway,map04144
6717,YBL075C,KEGG_pathway,map04213
6718,YBL075C,KEGG_pathway,map04612
6719,YBL075C,KEGG_pathway,map04915
6720,YBL075C,KEGG_pathway,map05134
6721,YBL075C,KEGG_pathway,map05145
6722,YBL075C,KEGG_pathway,map05162
6723,YBL075C,KEGG_pathway,map05164
6724,YBL075C,KEGG_pathway,map05169
6737,YBL074C,KEGG_pathway,map03040
6738,YBL074C,KEGG_pathway,map04010
6739,YBL074C,KEGG_pathway,map04141
6740,YBL074C,KEGG_pathway,map04144
6741,YBL074C,KEGG_pathway,map04213
6742,YBL074C,KEGG_pathway,map04612
6743,YBL074C,KEGG_pathway,map04915
6744,YBL074C,KEGG_pathway,map05134
6745,YBL074C,KEGG_pathway,map05145
6746,YBL074C,KEGG_pathway,map05162
6747,YBL074C,KEGG_pathway,map05164
6748,YBL074C,KEGG_pathway,map05169
6750,YBL072C,KEGG_pathway,map03010
6752,YBL071W-A,KEGG_pathway,map03010
6754,YBL069W,KEGG_pathway,map03010
6763,YBL068W,KEGG_pathway,map00030
6764,YBL068W,KEGG_pathway,map00230
6765,YBL068W,KEGG_pathway,map01100
6766,YBL068W,KEGG_pathway,map01110
6767,YBL068W,KEGG_pathway,map01120
6768,YBL068W,KEGG_pathway,map01130
6769,YBL068W,KEGG_pathway,map01200
6770,YBL068W,KEGG_pathway,map01230
6779,YBL067C,KEGG_pathway,map00030
6780,YBL067C,KEGG_pathway,map00230
6781,YBL067C,KEGG_pathway,map01100
6782,YBL067C,KEGG_pathway,map01110
6783,YBL067C,KEGG_pathway,map01120
6784,YBL067C,KEGG_pathway,map01130
6785,YBL067C,KEGG_pathway,map01200
6786,YBL067C,KEGG_pathway,map01230
6795,YBL066C,KEGG_pathway,map00030
6796,YBL066C,KEGG_pathway,map00230
6797,YBL066C,KEGG_pathway,map01100
6798,YBL066C,KEGG_pathway,map01110
6799,YBL066C,KEGG_pathway,map01120
6800,YBL066C,KEGG_pathway,map01130
6801,YBL066C,KEGG_pathway,map01200
6802,YBL066C,KEGG_pathway,map01230
6804,YBL064C,KEGG_pathway,map04214
6806,YBL063W,KEGG_pathway,map04214
6808,YBL061C,KEGG_pathway,map04214
6810,YBL060W,KEGG_pathway,map04214
6812,YBL059W,KEGG_pathway,map04214
6814,YBL058W,KEGG_pathway,map04141
6816,YBL057C,KEGG_pathway,map04141
6818,YBL056W,KEGG_pathway,map04141
6820,YBL055C,KEGG_pathway,map04141
6822,YBL054W,KEGG_pathway,map04141
6824,YBL052C,KEGG_pathway,map04141
6826,YBL051C,KEGG_pathway,map04141
6828,YBL049W,KEGG_pathway,map04141
6830,YBL047C,KEGG_pathway,map04144
6832,YBL046W,KEGG_pathway,map04144
6841,YBL045C,KEGG_pathway,map00190
6842,YBL045C,KEGG_pathway,map01100
6843,YBL045C,KEGG_pathway,map04260
6844,YBL045C,KEGG_pathway,map04714
6845,YBL045C,KEGG_pathway,map04932
6846,YBL045C,KEGG_pathway,map05010
6847,YBL045C,KEGG_pathway,map05012
6848,YBL045C,KEGG_pathway,map05016
6857,YBL043W,KEGG_pathway,map00190
6858,YBL043W,KEGG_pathway,map01100
6859,YBL043W,KEGG_pathway,map04260
6860,YBL043W,KEGG_pathway,map04714
6861,YBL043W,KEGG_pathway,map04932
6862,YBL043W,KEGG_pathway,map05010
6863,YBL043W,KEGG_pathway,map05012
6864,YBL043W,KEGG_pathway,map05016
6873,YBL042C,KEGG_pathway,map00190
6874,YBL042C,KEGG_pathway,map01100
6875,YBL042C,KEGG_pathway,map04260
6876,YBL042C,KEGG_pathway,map04714
6877,YBL042C,KEGG_pathway,map04932
6878,YBL042C,KEGG_pathway,map05010
6879,YBL042C,KEGG_pathway,map05012
6880,YBL042C,KEGG_pathway,map05016
6882,YBL041W,KEGG_pathway,map03050
6884,YBL039W-B,KEGG_pathway,map03050
6887,YBL039C,KEGG_pathway,map00240
6888,YBL039C,KEGG_pathway,map01100
6891,YBL038W,KEGG_pathway,map00240
6892,YBL038W,KEGG_pathway,map01100
6897,YBL037W,KEGG_pathway,map04144
6898,YBL037W,KEGG_pathway,map04721
6899,YBL037W,KEGG_pathway,map04961
6900,YBL037W,KEGG_pathway,map05016
6905,YBL036C,KEGG_pathway,map04144
6906,YBL036C,KEGG_pathway,map04721
