task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
71	4c/3a9642	27768	get_read_direction (12)	COMPLETED	0	2024-11-09 07:53:13.750	3.8s	3.5s	68.0%	29.1 MB	619 MB	92.7 MB	528 B
79	90/51d016	29075	get_read_direction (13)	COMPLETED	0	2024-11-09 07:53:17.531	3.4s	3.1s	76.5%	29.1 MB	619 MB	84.6 MB	528 B
80	f1/3b70e8	30378	get_read_direction (14)	COMPLETED	0	2024-11-09 07:53:20.891	3.6s	3.3s	71.1%	29 MB	619 MB	68.5 MB	528 B
89	ab/5dad84	31624	get_read_direction (15)	COMPLETED	0	2024-11-09 07:53:24.475	3.2s	2.9s	75.7%	29.1 MB	619 MB	83.7 MB	528 B
90	30/ddda24	32694	get_read_direction (16)	COMPLETED	0	2024-11-09 07:53:27.645	3.6s	3.3s	72.6%	28.9 MB	619 MB	86.2 MB	528 B
99	11/b7c674	1607	get_read_direction (17)	COMPLETED	0	2024-11-09 07:53:31.214	3.5s	3.2s	70.7%	29.1 MB	619 MB	83.9 MB	528 B
100	97/2deabe	2987	get_read_direction (18)	COMPLETED	0	2024-11-09 07:53:34.703	3.5s	3.2s	73.2%	29.1 MB	619 MB	81.9 MB	528 B
109	2c/25c1bd	4068	get_read_direction (19)	COMPLETED	0	2024-11-09 07:53:38.163	3.5s	3.2s	71.4%	29.1 MB	619 MB	84.1 MB	528 B
112	55/2806f1	5321	trim_galore (2)	FAILED	25	2024-11-09 07:53:41.659	1.5s	1.4s	-	-	-	-	-
116	86/8ba00c	6239	get_read_direction (20)	COMPLETED	0	2024-11-09 07:53:43.140	3.4s	3.2s	74.0%	29.1 MB	619 MB	94.1 MB	528 B
119	94/39a8b1	7345	get_read_direction (21)	COMPLETED	0	2024-11-09 07:53:46.583	3.4s	3.1s	74.2%	29.1 MB	619 MB	86.1 MB	528 B
124	de/fca61b	8407	get_read_direction (22)	COMPLETED	0	2024-11-09 07:53:49.952	3.4s	3.1s	72.3%	29.1 MB	619 MB	87.2 MB	531 B
130	0b/ac5df2	9581	get_read_direction (23)	COMPLETED	0	2024-11-09 07:53:53.358	3.4s	3.1s	75.9%	29.1 MB	619 MB	71.8 MB	528 B
131	c3/f1ebd7	12048	get_read_direction (24)	COMPLETED	0	2024-11-09 07:53:56.729	3.5s	3.3s	71.7%	29 MB	619 MB	77.1 MB	528 B
140	23/fe4ce8	14398	get_read_direction (25)	COMPLETED	0	2024-11-09 07:54:00.281	3.4s	3.2s	77.0%	29.1 MB	619 MB	82.1 MB	528 B
142	ec/3b88b1	16735	get_read_direction (26)	COMPLETED	0	2024-11-09 07:54:03.732	3.4s	3.2s	73.2%	28.9 MB	619 MB	69 MB	528 B
145	d0/c5ae6a	19300	trim_galore (31)	FAILED	255	2024-11-09 07:54:07.185	1.5s	1.4s	-	-	-	-	-
150	d8/748add	20252	get_read_direction (27)	COMPLETED	0	2024-11-09 07:54:08.713	3.5s	3.2s	73.1%	29 MB	619 MB	80.5 MB	528 B
156	ba/b8e7b3	21330	get_read_direction (28)	COMPLETED	0	2024-11-09 07:54:12.190	3.5s	3.2s	70.3%	30.2 MB	619 MB	86.6 MB	528 B
163	ee/5d03a0	22501	get_read_direction (29)	COMPLETED	0	2024-11-09 07:54:15.731	3.8s	3.5s	70.1%	28.9 MB	619 MB	74.5 MB	528 B
167	8d/acef86	23726	get_read_direction (30)	COMPLETED	0	2024-11-09 07:54:19.497	3.5s	3.2s	71.2%	29.1 MB	619 MB	76.3 MB	528 B
169	6e/78ac87	24891	get_read_direction (31)	COMPLETED	0	2024-11-09 07:54:23.041	3.7s	3.4s	74.5%	29.1 MB	619 MB	89.7 MB	528 B
174	de/777e99	26418	get_read_direction (32)	COMPLETED	0	2024-11-09 07:54:26.704	3.5s	3.2s	73.9%	29 MB	619 MB	74.5 MB	528 B
177	04/7a254f	27513	get_read_direction (33)	COMPLETED	0	2024-11-09 07:54:30.170	3.3s	3.1s	76.5%	29.1 MB	619 MB	95.2 MB	528 B
181	e4/ac1a8d	28584	get_read_direction (34)	COMPLETED	0	2024-11-09 07:54:33.518	3.5s	3.2s	73.8%	28.9 MB	619 MB	86.1 MB	528 B
