Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX1432806	0.18633533540291622	1.705542732000658
SRX14563846	0.3171766192399966	4.844257602651355
SRX14563847	0.3469611968242149	4.20051339717009
SRX14563848	0.17201731774142578	0.16733374984424434
SRX14563849	0.10186505380402885	0.0
SRX14570260	0.12972198460116552	0.11285911659526485
SRX14570261	0.14026901111309523	0.11899020854295803
SRX14570262	0.14423107933438511	0.11944939605514115
SRX14570263	0.12105325886585347	0.11257330158955595
SRX14570264	0.1185660455198894	0.10922772052273534
SRX14570265	0.28756405162109844	0.7124543726723915
SRX14570266	0.34271242820182735	0.8605277363948797
SRX14570267	0.22113537669981587	0.36036469741437327
SRX14570268	0.11667109277335527	0.0
SRX14570269	0.0	0.0
SRX14570270	0.10433418353558167	0.10316074735872914
SRX14570271	0.11680499468015285	0.0
SRX14570272	0.1309667680777255	0.10283994394924678
SRX14570273	0.12282843947131643	0.0
SRX14570274	0.13624379993582503	0.11430174920085906
SRX14570275	0.13784270105823568	0.11103513853477473
SRX14570276	0.1388407391935986	0.12259522308325763
SRX14570277	0.1033573654050902	0.0
SRX14953908	0.48879364352623145	4.86153713755461
SRX14953909	0.23272323972012934	0.20253176833660766
SRX14953910	0.34726491572033297	1.2499252348262753
SRX14953911	0.15872719360555979	0.2772739064195693
SRX14953912	1.133510737782822	6.329369194224156
SRX14953913	0.22534816666364893	1.3448946822838892
SRX14953914	0.969378187933479	6.506640932808101
SRX14953915	1.0149130681330731	6.680264265621547
SRX14953916	0.7514594009751185	3.992146960874101
SRX14953917	0.1533147823577874	0.7142166628491382
SRX14953918	0.2228044934153127	0.5288023941959382
SRX14953919	0.4847895479993187	5.528176558817227
SRX14953920	0.833073045490895	8.515269404429056
SRX14953921	0.5164132773284046	3.8198019796917118
SRX14953922	0.704020519977769	9.91880433824725
SRX14953923	0.5453536821220143	5.722634684585388
SRX14953924	0.3889885849964888	1.0477360801870335
SRX14953925	1.037339745464899	11.05318155875122
SRX14953926	0.4016666939103564	1.8422736483867412
SRX14953927	0.833970438786022	8.043803634518948
SRX14953928	1.1036958683945353	7.428125203973218
SRX14953929	0.9168172812232431	5.987432993878746
SRX14953930	0.3364273650534022	1.4945177577112332
SRX14953931	0.7002374044631897	12.002043427454947
SRX14953932	0.77055409798071	13.283920295527816
SRX18804540	0.13012135592195742	0.0
SRX18804541	0.14752233997011632	0.0
SRX18804542	0.21571659469919155	0.0
SRX18804543	0.1553828551742642	0.0
SRX18804544	0.2030442939448807	0.5296074566808171
SRX18804545	0.2205477329474701	0.5568251995196429
SRX18804546	0.20173205104604056	0.26932489077348176
SRX18804547	0.2216325226391033	0.7317275605816326
SRX18804548	0.22428732835328447	0.7061287191433421
SRX18804549	0.13590549754272993	0.0
SRX18804550	0.12642654662266398	0.11858853554143264
SRX18804551	0.27819316197633437	0.4906389212872242
SRX18804552	0.0	0.0
SRX18804553	0.1358558589911418	0.3494511329238179
SRX18804554	0.0	0.0
SRX19817112	0.0	0.0
SRX19817113	0.0	0.0
SRX19817114	0.0	0.0
SRX19817115	0.0	0.0
SRX19817116	0.0	0.0
SRX19817117	0.0	0.0
SRX2036088	2.6966244503367767	36.61059160985423
SRX2036089	2.14781069368891	33.19187354097994
SRX2036090	2.506520140136067	34.84046116430784
