Sample	pe_sense	se_antisense	pe_antisense	failed	se_sense
SRX22720577	0.0171		0.5827	0.4002	
SRX22720578	0.017		0.5842	0.3988	
SRX22720579	0.0179		0.5773	0.4048	
SRX3316529	0.0489		0.5219	0.4292	
SRX3316530	0.017		0.6089	0.374	
SRX3316531	0.0221		0.589	0.3889	
SRX3316532	0.0188		0.616	0.3652	
SRX3316533	0.02		0.5197	0.4603	
SRX3316534	0.0191		0.5462	0.4347	
SRX3316535	0.0186		0.5826	0.3987	
SRX3316536	0.07		0.4468	0.4832	
SRX3316537	0.0419		0.5416	0.4165	
SRX3316538	0.0177		0.5906	0.3916	
SRX3316539	0.0159		0.5936	0.3905	
SRX3316540	0.0196		0.6095	0.3709	
SRX3316541	0.0268		0.5671	0.406	
SRX3316542	0.0215		0.5793	0.3992	
SRX3316543	0.0194		0.6167	0.3639	
SRX3316544	0.0195		0.5863	0.3942	
SRX3316545	0.0194		0.5902	0.3904	
SRX3316546	0.0197		0.605	0.3754	
SRX3316547	0.0177		0.5849	0.3974	
SRX3316548	0.0149		0.5777	0.4074	
SRX3316549	0.0156		0.5907	0.3938	
SRX3316550	0.0144		0.5923	0.3933	
SRX3316551	0.0217		0.4945	0.4837	
SRX3316552	0.0203		0.5572	0.4225	
SRX3316553	0.0181		0.5822	0.3997	
SRX3316554	0.0247		0.5486	0.4267	
SRX3316555	0.024		0.5478	0.4282	
SRX3316556	0.0273		0.5564	0.4163	
SRX3316557	0.0193		0.5947	0.386	
SRX3316558	0.015		0.5869	0.398	
SRX3316559	0.0218		0.5869	0.3914	
SRX3316560	0.0196		0.5549	0.4255	
SRX3316561	0.0253		0.5578	0.417	
SRX3316625	0.016		0.5943	0.3897	
SRX3316626	0.0192		0.6053	0.3756	
SRX3316627	0.0205		0.5835	0.396	
SRX3316628	0.0215		0.5936	0.3849	
SRX3316629	0.019		0.6045	0.3765	
SRX3316630	0.0206		0.6024	0.377	
SRX3316631	0.0185		0.601	0.3805	
SRX3316632	0.0165		0.6069	0.3767	
SRX3316633	0.0186		0.6052	0.3763	
SRX3316634	0.0226		0.5806	0.3968	
SRX3316735	0.0157		0.5429	0.4414	
SRX3316736	0.0169		0.5776	0.4055	
SRX3316737	0.0195		0.573	0.4075	
SRX3316738	0.0212		0.5637	0.4151	
SRX3316739	0.0162		0.5675	0.4163	
SRX3316740	0.0126		0.5161	0.4713	
SRX3316741	0.0184		0.52	0.4616	
SRX3316742	0.0173		0.5718	0.4109	
SRX3316743	0.0188		0.5702	0.411	
SRX3316744	0.0138		0.5022	0.484	
SRX3316745	0.0123		0.4893	0.4983	
SRX3316746	0.0116		0.5034	0.4849	
SRX3316747	0.0154		0.5592	0.4255	
SRX3316748	0.0191		0.565	0.4158	
SRX3316749	0.0142		0.5477	0.4381	
SRX3316750	0.0172		0.5674	0.4153	
SRX3316751	0.0208		0.5835	0.3957	
SRX3316752	0.0195		0.5859	0.3946	
SRX3316753	0.0191		0.5892	0.3917	
SRX3316754	0.0191		0.5828	0.3981	
SRX3316755	0.0187		0.586	0.3953	
SRX3316756	0.0204		0.5824	0.3972	
SRX3316757	0.0197		0.585	0.3953	
SRX3316758	0.0191		0.5788	0.4021	
SRX3411505	0.0219		0.0268	0.9513	
SRX3411506	0.0374		0.0457	0.917	
SRX3411507	0.028		0.0362	0.9359	
SRX3411508	0.0203		0.0255	0.9542	
SRX3411509	0.0223		0.0259	0.9518	
SRX3411510	0.0267		0.0417	0.9316	
SRX3411511	0.0222		0.0257	0.952	
SRX3411512	0.0186		0.0261	0.9552	
SRX3411513	0.029		0.038	0.933	
SRX3411514	0.2397		0.2674	0.4929	
SRX3411515	0.2138		0.2228	0.5634	
SRX3411516	0.2905		0.3712	0.3383	
SRX3411517	0.1339		0.1714	0.6947	
SRX3411518	0.2547		0.2867	0.4585	
SRX3411519	0.222		0.2378	0.5402	
SRX3411520	0.0821		0.1276	0.7903	
SRX3411521	0.2541		0.2588	0.4871	
SRX3411522	0.192		0.2052	0.6029	
SRX3411523	0.1922		0.1776	0.6302	
