Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-total_sequences
SRX19817113	4.5472591083184115	49.0	150	146.50690261978104	18.181818181818183	4036333.0	41.2	35.49599529539207	56.37427124427235	6954626	9796353.0
SRX19817114	4.584031593011337	48.0	150	146.48436588344308	18.181818181818183	5080553.0	48.78	41.81195471078135	56.1822944446301	8709814	10415459.0
SRX19817115	3.7161398279555704	48.0	150	147.04317881899536	9.090909090909092	4193731.0	39.31	34.56454155560304	49.604062212584644	7375769	10669560.0
SRX19817116	3.612267400853005	48.0	150	147.09963348150038	18.181818181818183	4252099.0	40.74	35.74429083584957	55.15492686017755	7462134	10438218.0
SRX19817117	3.715484824742115	48.0	150	147.04250487876092	18.181818181818183	5583483.0	49.98	43.87005462099802	55.33259340423846	9802232	11171894.0
SRX2036088	7.973604859562039	52.0	49	46.2406110732479	27.27272727272727	44094339.0	94.12	5.068629898797738	92.35501946942516	2374575	46848459.0
SRX2036089	7.871420424797732	52.0	49	46.20303146175339	27.27272727272727	41211821.0	93.99	5.324381107992164	91.7426022467069	2334699	43849209.0
SRX2036090	8.264513125945006	52.0	49	46.08381375458918	36.36363636363637	40706490.0	94.9	5.130351864581853	92.49372474966363	2200673	42895167.0
SRX2036091	8.34670982304809	52.0	49	46.00267596314874	36.36363636363637	38519613.0	94.1	4.406123571440873	92.51434854746104	1803687	40935915.0
SRX2036300	3.0606011207383763	44.0	100	95.10791987888894	27.27272727272727	12833884.0	95.5	63.4486849933086	85.28171749589423	17053617	13438905.0
SRX2036303	3.080384093770132	43.0	100	95.24838069662192	27.27272727272727	11788251.0	95.76	62.39854451759223	84.75018051739443	15363389	12310695.0
SRX2036305	7.7139698383773005	43.0	100	95.09941347843308	18.181818181818183	14342560.0	95.31	62.30453932870992	86.42182392355231	18751224	15048040.0
SRX2036307	3.1883887234493624	43.0	100	95.26327032442053	18.181818181818183	14950697.0	95.04	64.95656475029372	86.21450128004244	20436637	15731002.0
SRX2037533	1.626687167695106	45.0	50	49.21141439476486	18.181818181818183	34521952.0	93.62	70.74244883113832	88.01007883606802	26084629	36872669.0
SRX2037535	1.6406006611496757	45.0	50	49.20217343473011	18.181818181818183	36104716.0	93.71	71.88267607402062	87.8989179272267	27694662	38527589.0
SRX2037536	1.7742198016241062	43.0	50	49.15866759954037	27.27272727272727	37889276.0	77.92	55.024366194839935	89.11691372593785	26757377	48628233.0
SRX2037537	1.7713446172010494	44.0	50	49.159740737902474	27.27272727272727	46915855.0	80.23	55.226449620961425	90.41618315461866	32292748	58473337.0
SRX2037538	1.515070614107562	45.0	50	49.25594619133796	27.27272727272727	46598020.0	94.94	67.5485771228469	91.69686261609887	33153430	49080871.0
SRX2037540	1.5052341090790198	45.0	50	49.26099902567842	27.27272727272727	38603746.0	95.12	66.09282559737409	89.41982539166312	26823881	40585163.0
SRX2037541	1.6677735204206432	45.0	50	49.20035888856057	36.36363636363637	35573747.0	84.55	56.25724111406322	87.09600694240615	23671118	42076571.0
SRX2037542	1.7136848686154393	45.0	50	49.175663255320266	36.36363636363637	40397823.0	83.82	56.07027726169357	88.67627859967232	27023480	48195731.0
SRX2037691	9.12526823241462	41.0	100	94.15492329167533	36.36363636363637	13354360.0	79.65	52.13605704271196	82.38195440131739	17483394	16767085.0
SRX2037693	3.8906828835931364	45.0	100	94.13625015681438	27.27272727272727	14204198.0	84.01	42.332836751980594	85.98777641400433	14314367	16906931.0
SRX2037695	8.513222461443693	44.0	100	94.618956610261	27.27272727272727	12202576.0	83.6	51.25656717062073	84.67788995746734	14964078	14597230.0
SRX2037697	3.59040201789013	44.0	100	94.59497283430782	27.27272727272727	12859573.0	83.66	51.41795739758459	84.88687753046831	15806384	15370490.0
SRX2037699	8.72692454005249	40.0	100	96.75552606195316	27.27272727272727	12204632.0	76.56	51.90772783332152	81.00105636514996	16549935	15941687.0
SRX2037713	4.623493028213961	37.0	100	94.41412301037147	45.45454545454545	11736032.0	70.65	44.59904158441542	82.24763769427103	14817772	16612209.0
SRX2037715	9.7494092328635	38.0	100	94.00242800648768	45.45454545454545	12317819.0	71.43	43.06804959656168	82.78463955911745	14853116	17243776.0
SRX2037717	3.6452590385221146	44.0	100	94.51342080778872	36.36363636363637	10692991.0	82.11	43.44547851549601	84.06539840795196	11315215	13022316.0
SRX2116174	2.8363336478374976	39.0	151	146.9141974537609	40.0	2476177.0	68.13	29.081636583437287	64.35844535302414	2114057	3634694.0
SRX2116175	4.260694825597855	37.0	151	146.62738869264746	40.0	2417184.0	61.98	25.12709392449371	57.987768708910195	1959750	3899675.0
SRX2116176	3.7150569805397256	49.0	151	147.31701696244957	20.0	3204954.0	92.44	54.69485761752719	79.23144931668027	3792618	3467070.0
SRX21659709	1.998549628920013	49.0	150	146.8397426356586	30.0	9555719.0	93.38	68.45779388786075	88.61352824581806	14010097	10232653.0
SRX21659710	1.4183505919818966	49.0	150	147.27436412508388	20.0	10436688.0	93.19	74.36047291402613	87.84593092716725	16654994	11198822.0
SRX21659711	2.0478347214864967	50.0	150	146.6561907120903	20.0	23514039.0	93.73	69.17849627963508	91.89479269850288	34710067	25087324.0
SRX22720559	0.4967059349064956	48.0	100	99.22244718974648	20.0	17046326.0	93.97	82.73314594818667	78.91274216139513	30017058	18140890.0
SRX22720560	0.49036426640185987	49.0	100	99.26980420425355	20.0	17141967.0	94.64	83.3685474820669	76.87728247816362	30199486	18112038.0
SRX22720561	0.4598536084754942	49.0	100	99.27459157718684	20.0	17154762.0	94.79	84.3209372445415	82.57792501896137	30521793	18098585.0
