Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
SRX14953930	1377146.0	32657853.0	2511129.0	17641510.0	9132452.0	23152.0
SRX14953931	153182.0	3494130.0	1060920.0	39396308.0	899613.0	2583.0
SRX14953932	65215.0	1598456.0	622484.0	45258150.0	433633.0	1302.0
SRX18804540	868741.0	17805653.0	31774.0	981206.0	1470939.0	15767.0
SRX18804541	900004.0	18586887.0	9965.0	1171632.0	1571954.0	16526.0
SRX18804542	781618.0	15524893.0	27087.0	829634.0	1118221.0	14775.0
SRX18804543	716360.0	14833477.0	20216.0	830664.0	2119142.0	11143.0
SRX18804544	1022429.0	20301724.0	13631.0	1398140.0	3225132.0	15542.0
SRX18804545	917638.0	17781546.0	12724.0	1253644.0	3280348.0	13464.0
SRX18804546	641742.0	13979053.0	3022.0	731284.0	2408441.0	10530.0
SRX18804547	713209.0	17779729.0	17703.0	975092.0	1369685.0	12458.0
SRX18804548	814991.0	16903172.0	3693.0	1824222.0	1723698.0	12746.0
SRX18804549	727206.0	15901977.0	134546.0	1398502.0	876239.0	11532.0
SRX18804550	595493.0	13332122.0	68869.0	1251734.0	2221080.0	9626.0
SRX18804551	630877.0	13173916.0	91964.0	1120260.0	1312221.0	9050.0
SRX18804552	429531.0	11295101.0	135458.0	2429880.0	2101816.0	7160.0
SRX18804553	519914.0	13481517.0	99941.0	1190622.0	1710404.0	8278.0
SRX18804554	366792.0	12790568.0	70850.0	1118306.0	1393033.0	8419.0
SRX19817112	301654.0	7608978.0	418097.0	13107014.0	387523.0	7034.0
SRX19817113	285427.0	6954626.0	461623.0	11520040.0	364607.0	6383.0
SRX19817114	367374.0	8709814.0	572239.0	10669812.0	503533.0	8146.0
SRX19817115	307158.0	7375769.0	323373.0	12951658.0	374108.0	7054.0
SRX19817116	327489.0	7462134.0	315059.0	12372238.0	392629.0	6887.0
SRX19817117	420241.0	9802232.0	431798.0	11176822.0	503347.0	9348.0
SRX2036088	153818.0	2374575.0	38202704.0	2754120.0	3361253.0	1989.0
SRX2036089	160314.0	2334699.0	35938416.0	2637388.0	2776411.0	1981.0
SRX2036090	152834.0	2200673.0	36066858.0	2188677.0	2284434.0	1691.0
SRX2036091	134869.0	1803687.0	33991616.0	2416302.0	2587868.0	1573.0
SRX2036300	1666878.0	17053617.0	1444051.0	1210042.0	5486842.0	16380.0
SRX2036303	1634709.0	15363389.0	1342520.0	1044888.0	5220251.0	15633.0
SRX2036305	1962658.0	18751224.0	2153565.0	1410960.0	5799947.0	17726.0
SRX2036307	2107105.0	20436637.0	730618.0	1560610.0	6607477.0	19557.0
SRX2037533	1443055.0	26084629.0	919198.0	2350717.0	6052835.0	22235.0
SRX2037535	1492069.0	27694662.0	801995.0	2422873.0	6092037.0	23953.0
SRX2037536	1576394.0	26757377.0	3759916.0	10738957.0	5764453.0	31136.0
SRX2037537	2009384.0	32292748.0	5331787.0	11557482.0	7244496.0	37440.0
SRX2037538	1956657.0	33153430.0	1271375.0	2482851.0	10181803.0	34755.0
SRX2037540	1634044.0	26823881.0	1173519.0	1981417.0	8945419.0	26883.0
