Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
SRX3316631	20.61076170047426										10.150811711313553	14.818486036884254	24.796596669008807	1.8360183830738654	2.246999898584054	10.65559229527732
SRX3316632	17.304151011560094										9.97995018135938	18.898065486429584	22.29046198449979	2.9740099236758333	4.516854225963482	8.607169055615056
SRX3316633	22.139844608685724										9.101147608966361	12.813541091576017	24.056610199901407	1.5964317878484908	1.601444438278538	10.48727921000944
SRX3316634	22.117105959289443										9.363330754396937	12.720279287867353	24.255767421107684	1.9209903433148896	1.867053004115002	10.871498691972246
SRX3316735	20.635017509018326										9.108949360367937	12.226799593178104	25.1761183482617	1.4322264966670406	1.5644758971108352	10.388058203121991
SRX3316736	19.52288262500486										9.879158859758675	14.361407853498259	25.790677723693676	1.9525245888007712	2.719599448631813	10.192918022450261
SRX3316737	20.497875328333702										9.793313573400745	13.750982364945655	25.935781809210273	1.789889125518317	2.335816188121862	10.626328834657047
SRX3316738	19.8449167575789										9.551186748395494	14.180918542529847	24.28118089117771	2.743478074527842	3.0426252781883614	10.439179109648277
SRX3316739	19.33308224587556										9.62684426764343	14.054393382036581	23.73330476489663	3.1601039886731033	2.762019122987236	9.8277133832139
SRX3316740	20.95113710931278										6.826257470457824	8.700579823394614	20.826611368457275	1.256603267862797	1.5579388214531291	9.41742006467602
SRX3316741	17.83973333303268										10.38759397313188	16.90843635320131	25.08226044907982	2.800268792157636	3.4777941654306623	9.899649790381428
SRX3316742	19.86586335110981										9.748002378421303	13.121612002339097	25.728914931164915	2.3302601347796785	2.376033004616089	10.261910769291761
SRX3316743	20.525578308534346										9.528164850271578	12.922322432150093	25.478816851022675	1.929849309901218	2.3103410794618613	10.299993027748327
SRX3316744	24.348870290748017										3.1849722116655004	4.259663881746812	14.424141623860335	0.7066638052114456	0.4406584609031577	9.036274101913765
SRX3316745	22.130032620727462										6.116005396029188	8.134318652511688	19.565242099355437	2.6759367713504987	1.9098051036247041	9.177749956646666
SRX3316746	19.94055802766986										6.365491947626511	8.196653739630056	20.80355406507352	2.016829443741293	1.4104400130231909	8.986082413516353
SRX3316747	21.539408325123187										7.860428183696406	9.447786443745128	23.436733111517558	1.2081743372410536	1.547523990551281	10.540842590633043
SRX3316748	20.220277507380896										9.437624012811707	13.85693087652762	24.0914016956235	3.297444008584602	2.55476562707673	10.194297748250774
SRX3316749	19.339969559810754										8.44388712330108	12.280019744276826	23.130395659400484	2.925955943470621	2.3882732244477696	9.54220896732687
SRX3316750	19.595553426158617										9.335184784230991	12.720506237132811	24.76256737673269	1.9506987949786585	2.2383862036528064	9.998338654592084
SRX3316751	23.118140891895564										8.835893125385557	10.08133282555183	26.135010758006665	0.9794784206445186	1.451436732637339	11.352963777568352
