Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX18804541	538201	11129705	4.4	11129705	0.49208030820822896	1661240687	3709649	1669455750
SRX18804542	429993	9149027	4.4	9149027	0.5144138278310907	1365294471	3052437	1372354050
SRX18804543	687339	9266109	4.4	9266109	0.479908808900622	1383246019	2911767	1389916350
SRX18804544	1320533	12989901	4.4	12989901	0.4468703803054388	1939777947	4057118	1948485150
SRX18804545	589617	11631062	4.4	11631062	0.40917106279718907	1737520659	3790051	1744659300
SRX18804546	251061	8887860	4.4	8887860	0.4965144215442937	1326559574	2932505	1333179000
SRX18804547	933468	10434757	4.4	10434757	0.44131307194471964	1558306058	3181035	1565213550
SRX18804548	1084390	10642556	4.4	10642556	0.4511319774435139	1589181604	3244329	1596383400
SRX18804549	654338	9525755	4.4	9525755	0.5137308276351847	1421522739	3142321	1428863250
SRX18804550	1181372	8740343	4.4	8740343	0.5817075294794877	1303424965	2687322	1311051450
SRX18804551	684446	8170000	4.4	8170000	0.4757995104039168	1219669077	2634925	1225500000
SRX18804552	822226	8200431	4.4	8200431	1.0049248224473406	1217703425	2832591	1230064650
SRX18804553	1027975	8506333	4.4	8506333	0.7612878545902212	1266236298	2689058	1275949950
SRX18804554	877181	7874773	4.4	7874773	0.9067648468512468	1170505099	2500151	1181215950
SRX19817112	2694834	11150484	4.4	11150484	3.7761603293034933	1609413577	4043471	1672572600
SRX19817113	1250678	10078022	4.4	10078022	4.5472591083184115	1442962234	4082860	1511703300
SRX19817114	1530769	10715450	4.4	10715450	4.584031593011337	1533637558	4355983	1607317500
SRX19817115	2881717	10910360	4.4	10910360	3.7161398279555704	1575737365	3921266	1636554000
SRX19817116	2472213	10668318	4.4	10668318	3.612267400853005	1542442474	3810382	1600247700
SRX19817117	1279456	11431887	4.4	11431887	3.715484824742115	1651070546	4492280	1714783050
SRX2036088	21687237	47122765	4.4	47122765	7.973604859562039	2168269096	22025321	2356138250
SRX2036089	18654466	44021704	4.4	44021704	7.871420424797732	2027828530	20715667	2201085200
SRX2036090	16750465	43140551	4.4	43140551	8.264513125945006	1978759725	20787123	2157027550
SRX2036091	14239930	41135979	4.4	41135979	8.34670982304809	1885123910	19115369	2056798950
SRX2036300	25367640	13813229	4.4	13813229	3.0606011207383763	1352436577	5390703	1395136129
SRX2036303	24075499	12645131	4.4	12645131	3.080384093770132	1237816852	4922548	1277158231
SRX2036305	101815909	15473052	4.4	15473052	7.7139698383773005	1442226009	6106691	1562778252
SRX2036307	28824123	16122699	4.4	16122699	3.1883887234493624	1576473113	6401107	1628392599
SRX2037533	14358083	36895710	4.4	36895710	1.626687167695106	1814776611	11506480	1844785500
SRX2037535	15383107	38550121	4.4	38550121	1.6406006611496757	1895883373	11954148	1927506050
SRX2037536	22695615	48685855	4.4	48685855	1.7742198016241062	2391103046	14419112	2434292750
SRX2037537	26374386	58540743	4.4	58540743	1.7713446172010494	2875189235	17871805	2927037150
SRX2037538	15954058	49097767	4.4	49097767	1.515070614107562	2417695058	15622595	2454888350
SRX2037540	12977131	40599173	4.4	40599173	1.5052341090790198	1999403020	12975310	2029958650
SRX2037541	16947758	42112459	4.4	42112459	1.6677735204206432	2070505928	13004307	2105622950
SRX2037542	20643988	48235348	4.4	48235348	1.7136848686154393	2370437307	14818326	2411767400
SRX2037691	138907446	17360891	4.4	17360891	9.12526823241462	1593442976	6740631	1753449991
SRX2037693	42897779	17495753	4.4	17495753	3.8906828835931364	1698319922	6787296	1767071053
SRX2037695	111533401	15074813	4.4	15074813	8.513222461443693	1392937524	5754469	1522556113
SRX2037697	37829869	15868699	4.4	15868699	3.59040201789013	1545193840	6137257	1602738599
SRX2037699	128659259	16502828	4.4	16502828	8.72692454005249	1521326504	6363874	1666785628
SRX2037713	61252855	17264498	4.4	17264498	4.623493028213961	1663093789	7361983	1743714298
SRX2037715	157274675	17969097	4.4	17969097	9.7494092328635	1637938836	6926597	1814878797
SRX2037717	34099090	13464928	4.4	13464928	3.6452590385221146	1310383746	5138299	1359957728
SRX2116174	7626981	3645705	4.4	3645705	2.8363336478374976	534887397	1369423	550501455
SRX2116175	16355062	3909093	4.4	3909093	4.260694825597855	565123310	1864259	590273043
SRX2116176	8049011	3471822	4.4	3471822	3.7150569805397256	504769117	1421974	524245122
SRX21659709	4249171	10250710	4.4	10250710	1.998549628920013	1506876671	3992518	1537606500
SRX21659710	412742	11218530	4.4	11218530	1.4183505919818966	1658911787	4397548	1682779500
SRX21659711	8653523	25122588	4.4	25122588	2.0478347214864967	3691217838	9780339	3768388200
SRX22720559	1154726	18141718	4.4	18141718	0.4967059349064956	1805160701	5742112	1814171800
SRX22720560	716346	18112321	4.4	18112321	0.49036426640185987	1802350465	6085623	1811232100
SRX22720561	1070459	18098862	4.4	18098862	0.4598536084754942	1801563373	5443810	1809886200
SRX22720562	1137430	18035347	4.4	18035347	0.4637148927603112	1795171441	5434976	1803534700
SRX22720563	686715	18044459	4.4	18044459	0.4558449771201231	1796220424	5643906	1804445900
SRX22720564	637521	18145433	4.4	18145433	0.4745095363665337	1805933119	6006957	1814543300
SRX22720565	1074829	18052198	4.4	18052198	0.45921344314969287	1796929988	5430021	1805219800
SRX22720566	1190582	18117383	4.4	18117383	0.5700767047867785	1801410002	6260817	1811738300
SRX22720567	714314	18023669	4.4	18023669	0.48545676243832486	1793617188	5995343	1802366900
SRX22720568	715771	18036853	4.4	18036853	0.4902105705468686	1794843444	6035949	1803685300
SRX22720569	1143838	18089662	4.4	18089662	0.46269211663545734	1800596256	5439121	1808966200
SRX22720570	665397	18118096	4.4	18118096	0.47969461029459165	1803118447	6034058	1811809600
SRX22720571	1135426	18133871	4.4	18133871	0.46129339951740034	1805022065	5420635	1813387100
SRX22720572	1123239	18065206	4.4	18065206	0.4706915603398046	1798017460	5564511	1806520600
SRX22720574	526013	18081492	4.4	18081492	0.4868693910878593	1799345875	6139761	1808149200
SRX22720575	1325507	18013629	4.4	18013629	0.46712708472013054	1792948246	5330998	1801362900
SRX22720576	1207960	18044592	4.4	18044592	0.4646584417092944	1796074628	5382076	1804459200
SRX22720577	696806	18083790	4.4	18083790	0.4898740805992549	1799520220	6073088	1808379000
SRX22720578	541078	18034574	4.4	18034574	0.4836607174641331	1794734785	6143324	1803457400
SRX22720579	1316040	18094523	4.4	18094523	0.4640975614554747	1801054676	5327346	1809452300
