Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX14953919	49588752	0	25.434952448451487	0	0	18517968	72805200	0	0	2214898	12874	0	0	0	0	948886	1521822
SRX14953920	53599944	0	15.485086157841232	0	0	10462688	67566224	0	0	1784472	5928	0	0	0	0	519383	1193809
SRX14953921	39766264	0	35.569300786791956	0	0	25040447	70399042	0	0	1768833	14358	0	0	0	0	1224993	2584147
SRX14953922	61700706	0	12.568214837806382	0	0	9395645	74757196	0	0	1867285	5788	0	0	0	0	449974	1337798
SRX14953923	49242540	0	25.715040248637568	0	0	18946908	73680258	0	0	1832787	12690	0	0	0	0	989219	2656114
SRX14953924	5538202	0	76.49904860742566	0	0	42116617	55055086	0	0	507578	26116	0	0	0	0	2031909	4834664
SRX14953925	53288330	0	9.871539600632891	0	0	6074290	61533360	0	0	1066115	3747	0	0	0	0	317680	783198
SRX14953926	24399752	0	43.91852951083826	0	0	23804789	54202154	0	0	1273223	14490	0	0	0	0	1244443	3465457
SRX14953927	48976484	0	18.763312450166257	0	0	12534292	66802128	0	0	2838155	7034	0	0	0	0	633757	1812406
SRX14953928	62258212	0	9.732939034473045	0	0	7163477	73600348	0	0	2078981	5457	0	0	0	0	303934	1790287
SRX14953929	44728544	0	15.401036475383023	0	0	9435376	61264552	0	0	4034001	6655	0	0	0	0	366872	2693104
SRX14953930	17641510	0	51.556964829807725	0	0	32657853	63343242	0	0	2511129	23152	0	0	0	0	1377146	9132452
SRX14953931	39396308	0	7.763571212984652	0	0	3494130	45006736	0	0	1060920	2583	0	0	0	0	153182	899613
SRX14953932	45258150	0	3.331557565313665	0	0	1598456	47979240	0	0	622484	1302	0	0	0	0	65215	433633
SRX18804540	981206	0	84.09174330124378	0	0	17805653	21174080	0	0	31774	15767	0	0	0	0	868741	1470939
SRX18804541	1171632	0	83.51041795090867	0	0	18586887	22256968	0	0	9965	16526	0	0	0	0	900004	1571954
SRX18804542	829634	0	84.8529707872027	0	0	15524893	18296228	0	0	27087	14775	0	0	0	0	781618	1118221
SRX18804543	830664	0	80.04681560122869	0	0	14833477	18531002	0	0	20216	11143	0	0	0	0	716360	2119142
SRX18804544	1398140	0	78.15389836652206	0	0	20301724	25976598	0	0	13631	15542	0	0	0	0	1022429	3225132
SRX18804545	1253644	0	76.4489777106545	0	0	17781546	23259364	0	0	12724	13464	0	0	0	0	917638	3280348
SRX18804546	731284	0	78.64856741887847	0	0	13979053	17774072	0	0	3022	10530	0	0	0	0	641742	2408441
SRX18804547	975092	0	85.20143113750532	0	0	17779729	20867876	0	0	17703	12458	0	0	0	0	713209	1369685
