Sample	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename
SRX14570267	fail	warn	13668098.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	13.960174050352968	Sanger / Illumina 1.9	148.71559642021882	fail	0.0	2 Gbp	SRX14570267_val_1.fq.gz
SRX14570268	pass	warn	11115864.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	14.41558827708454	Sanger / Illumina 1.9	148.7740590385057	fail	0.0	1.6 Gbp	SRX14570268_val_2.fq.gz
SRX14570269	pass	warn	8345837.0	Conventional base calls	warn	49.0	pass	pass	fail	pass	pass	pass	pass	20-150	150	17.506216623204963	Sanger / Illumina 1.9	148.6914404151435	fail	0.0	1.2 Gbp	SRX14570269_val_2.fq.gz
SRX14570270	pass	warn	10822915.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.43841440727429	Sanger / Illumina 1.9	148.64992139363562	fail	0.0	1.6 Gbp	SRX14570270_val_1.fq.gz
SRX14570271	pass	warn	9454219.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	17.355132074389125	Sanger / Illumina 1.9	148.61724337039368	fail	0.0	1.4 Gbp	SRX14570271_val_1.fq.gz
SRX14570272	pass	warn	10054459.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.343189301398567	Sanger / Illumina 1.9	148.58274900718177	fail	0.0	1.4 Gbp	SRX14570272_val_1.fq.gz
SRX14570273	pass	warn	10090497.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.100823720626426	Sanger / Illumina 1.9	148.68090451838	fail	0.0	1.5 Gbp	SRX14570273_val_1.fq.gz
SRX14570274	pass	warn	11325286.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.605695349971471	Sanger / Illumina 1.9	148.64966156263074	fail	0.0	1.6 Gbp	SRX14570274_val_1.fq.gz
SRX14570275	pass	warn	11537789.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.789092002720828	Sanger / Illumina 1.9	148.59942810533283	fail	0.0	1.7 Gbp	SRX14570275_val_1.fq.gz
SRX14570276	pass	warn	10612159.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.44357309833215	Sanger / Illumina 1.9	148.60855006036002	fail	0.0	1.5 Gbp	SRX14570276_val_1.fq.gz
SRX14570277	warn	warn	13979652.0	Conventional base calls	fail	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	14.345873002668355	Sanger / Illumina 1.9	148.57355733890944	fail	0.0	2 Gbp	SRX14570277_val_1.fq.gz
SRX14953908		warn	40576837.0	Conventional base calls	warn	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.234151456765355	Sanger / Illumina 1.9	99.0395559910202	fail	0.0	4 Gbp	SRX14953908_val_1.fq.gz
SRX14953909		warn	32582049.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.509528561846519	Sanger / Illumina 1.9	99.03273633895769	fail	0.0	3.2 Gbp	SRX14953909_val_1.fq.gz
SRX14953910		warn	33003334.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.66164214154753	Sanger / Illumina 1.9	98.92426940866035	fail	0.0	3.2 Gbp	SRX14953910_val_2.fq.gz
SRX14953911		warn	30781115.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.854777967517343	Sanger / Illumina 1.9	99.01200453589807	fail	0.0	3 Gbp	SRX14953911_val_2.fq.gz
SRX14953912		warn	31438520.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.647246033433948	Sanger / Illumina 1.9	99.10481943806515	fail	0.0	3.1 Gbp	SRX14953912_val_2.fq.gz
SRX14953913		warn	35236142.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.794912293194713	Sanger / Illumina 1.9	98.92364226480868	fail	0.0	3.4 Gbp	SRX14953913_val_2.fq.gz
SRX14953914		warn	28610815.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.892726428157503	Sanger / Illumina 1.9	99.02653265906616	fail	0.0	2.8 Gbp	SRX14953914_val_2.fq.gz
SRX14953915		warn	28674180.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.995019702494116	Sanger / Illumina 1.9	99.11707082818062	fail	0.0	2.8 Gbp	SRX14953915_val_2.fq.gz
SRX14953916		warn	33080696.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.821992089789003	Sanger / Illumina 1.9	99.00758279088203	fail	0.0	3.2 Gbp	SRX14953916_val_2.fq.gz
SRX14953917		warn	33298159.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.62689314552389	Sanger / Illumina 1.9	98.94641448495696	fail	0.0	3.3 Gbp	SRX14953917_val_2.fq.gz
SRX14953918		warn	35621813.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.187653728114188	Sanger / Illumina 1.9	98.96986697448556	fail	0.0	3.5 Gbp	SRX14953918_val_1.fq.gz
SRX14953919		warn	36402600.0	Conventional base calls	warn	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.836279667917716	Sanger / Illumina 1.9	99.07182058424398	fail	0.0	3.6 Gbp	SRX14953919_val_1.fq.gz
SRX14953920		warn	33783112.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.134371345767857	Sanger / Illumina 1.9	99.04046885911517	fail	0.0	3.3 Gbp	SRX14953920_val_1.fq.gz
SRX14953921		warn	35199521.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.456835147689044	Sanger / Illumina 1.9	99.09125655431504	fail	0.0	3.4 Gbp	SRX14953921_val_1.fq.gz
SRX14953922		warn	37378598.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	4.677670899540924	Sanger / Illumina 1.9	99.0167532233285	fail	0.0	3.7 Gbp	SRX14953922_val_1.fq.gz
SRX14953923		warn	36840129.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.653095440386114	Sanger / Illumina 1.9	99.06154242836664	fail	0.0	3.6 Gbp	SRX14953923_val_1.fq.gz
SRX14953924		warn	27527543.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.839609903498367	Sanger / Illumina 1.9	99.07113395481754	fail	0.0	2.7 Gbp	SRX14953924_val_1.fq.gz
SRX14953925		warn	30766680.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	5.146704255059994	Sanger / Illumina 1.9	99.02180904797008	fail	0.0	3 Gbp	SRX14953925_val_1.fq.gz
SRX14953926		warn	27101077.0	Conventional base calls	fail	50.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.821215549291558	Sanger / Illumina 1.9	99.01549691180169	fail	0.0	2.6 Gbp	SRX14953926_val_1.fq.gz
SRX14953927		warn	33401064.0	Conventional base calls	warn	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.8363899701590025	Sanger / Illumina 1.9	98.65467022248154	fail	0.0	3.3 Gbp	SRX14953927_val_1.fq.gz
SRX14953928		warn	36800174.0	Conventional base calls	fail	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	7.32562310701455	Sanger / Illumina 1.9	98.98075840619667	fail	0.0	3.6 Gbp	SRX14953928_val_2.fq.gz
SRX14953929		warn	30632276.0	Conventional base calls	fail	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.627644609503747	Sanger / Illumina 1.9	98.95338896789778	fail	0.0	3 Gbp	SRX14953929_val_2.fq.gz
SRX14953930		warn	31671621.0	Conventional base calls	fail	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.81846587158995	Sanger / Illumina 1.9	99.02387440162914	fail	0.0	3.1 Gbp	SRX14953930_val_1.fq.gz
SRX14953931		warn	22503368.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.15890898376043	Sanger / Illumina 1.9	98.94593964778961	fail	0.0	2.2 Gbp	SRX14953931_val_1.fq.gz
SRX14953932		warn	23989620.0	Conventional base calls	warn	54.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	4.669840436829967	Sanger / Illumina 1.9	99.06223124834824	fail	0.0	2.3 Gbp	SRX14953932_val_1.fq.gz
SRX18804540	pass	warn	10587040.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.512655139697578	Sanger / Illumina 1.9	148.63901770466532	fail	0.0	1.5 Gbp	SRX18804540_val_1.fq.gz
SRX18804541	pass	warn	11128484.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	16.049170209050146	Sanger / Illumina 1.9	148.7072164546402	fail	0.0	1.6 Gbp	SRX18804541_val_1.fq.gz
SRX18804542	pass	warn	9148114.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	15.045787998191281	Sanger / Illumina 1.9	148.67539309195317	fail	0.0	1.3 Gbp	SRX18804542_val_1.fq.gz
SRX18804543	pass	warn	9265501.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	18.07081728087899	Sanger / Illumina 1.9	148.73113898536084	fail	0.0	1.3 Gbp	SRX18804543_val_1.fq.gz
