Sample	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename
SRX3316738		warn	29647573.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.20120699246012	Sanger / Illumina 1.9	99.00456735531101	fail	0.0	2.9 Gbp	SRX3316738_val_1.fq.gz
SRX3316739		warn	25471284.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.914055017051151	Sanger / Illumina 1.9	98.98049513326458	fail	0.0	2.5 Gbp	SRX3316739_val_1.fq.gz
SRX3316740		warn	19780477.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	16.17800091848471	Sanger / Illumina 1.9	97.98743255787006	fail	0.0	1.9 Gbp	SRX3316740_val_2.fq.gz
SRX3316741		warn	38120856.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.3921700414402	Sanger / Illumina 1.9	98.07953745844532	fail	0.0	3.7 Gbp	SRX3316741_val_2.fq.gz
SRX3316742		warn	29344818.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.158248544173222	Sanger / Illumina 1.9	98.85619498474995	fail	0.0	2.9 Gbp	SRX3316742_val_2.fq.gz
SRX3316743		warn	29251085.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.50501948599763	Sanger / Illumina 1.9	98.73445193571452	fail	0.0	2.8 Gbp	SRX3316743_val_2.fq.gz
SRX3316744		warn	7870040.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	23.342321095496168	Sanger / Illumina 1.9	97.53067608296782	fail	0.0	769.7 Mbp	SRX3316744_val_2.fq.gz
SRX3316745		warn	22966819.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	13.749377950795525	Sanger / Illumina 1.9	97.57721180281867	fail	0.0	2.2 Gbp	SRX3316745_val_2.fq.gz
SRX3316746		warn	22079987.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	17.049279242710806	Sanger / Illumina 1.9	97.269984262219	fail	0.0	2.1 Gbp	SRX3316746_val_2.fq.gz
SRX3316747		warn	27058157.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	15.159798532267185	Sanger / Illumina 1.9	98.75889211523165	fail	0.0	2.6 Gbp	SRX3316747_val_2.fq.gz
SRX3316748		warn	26548565.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.060947744267896	Sanger / Illumina 1.9	98.99774123384823	fail	0.0	2.6 Gbp	SRX3316748_val_1.fq.gz
SRX3316749		warn	25064444.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	13.075200349093908	Sanger / Illumina 1.9	99.01773093390781	fail	0.0	2.4 Gbp	SRX3316749_val_1.fq.gz
SRX3316750		warn	27434622.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	12.738489680718445	Sanger / Illumina 1.9	98.52450957771534	fail	0.0	2.7 Gbp	SRX3316750_val_2.fq.gz
SRX3316751		warn	21818113.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.85070878878312	Sanger / Illumina 1.9	99.25976027349387	fail	0.0	2.1 Gbp	SRX3316751_val_2.fq.gz
SRX3316752		warn	17671125.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.313606432617625	Sanger / Illumina 1.9	98.87189513966995	fail	0.0	1.7 Gbp	SRX3316752_val_2.fq.gz
SRX3316753		warn	22715829.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.491814577404243	Sanger / Illumina 1.9	98.83509873225405	fail	0.0	2.2 Gbp	SRX3316753_val_2.fq.gz
SRX3316754		warn	20264952.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.178931932499362	Sanger / Illumina 1.9	98.86283066448911	fail	0.0	2 Gbp	SRX3316754_val_2.fq.gz
SRX3316755		warn	26021672.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.926870964202838	Sanger / Illumina 1.9	98.66702439412809	fail	0.0	2.5 Gbp	SRX3316755_val_2.fq.gz
SRX3316756		warn	19262417.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.611739918223696	Sanger / Illumina 1.9	98.8534419123	fail	0.0	1.9 Gbp	SRX3316756_val_2.fq.gz
SRX3316757		warn	20702922.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.812467190046121	Sanger / Illumina 1.9	98.88800788603658	fail	0.0	2 Gbp	SRX3316757_val_2.fq.gz
SRX3316758		warn	26232572.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.05244279893697	Sanger / Illumina 1.9	98.86658227794057	fail	0.0	2.6 Gbp	SRX3316758_val_1.fq.gz
SRX3411505		warn	7814015.0	Conventional base calls	warn	50.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	9.447512607563201	Sanger / Illumina 1.9	141.37563429299792	fail	0.0	1.1 Gbp	SRX3411505_val_1.fq.gz
SRX3411506		warn	4882364.0	Conventional base calls	fail	51.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	13.906973087200294	Sanger / Illumina 1.9	141.10535224329854	fail	0.0	691.5 Mbp	SRX3411506_val_1.fq.gz
SRX3411507		warn	5921763.0	Conventional base calls	fail	50.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	11.624240840523878	Sanger / Illumina 1.9	141.06819624493585	fail	0.0	838.5 Mbp	SRX3411507_val_1.fq.gz
SRX3411508		warn	4869241.0	Conventional base calls	fail	50.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	20.16453661579104	Sanger / Illumina 1.9	141.02967094871664	fail	0.0	689.6 Mbp	SRX3411508_val_2.fq.gz
SRX3411509		warn	5393816.0	Conventional base calls	fail	51.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	21.793221500130468	Sanger / Illumina 1.9	139.01367009923956	fail	0.0	752.8 Mbp	SRX3411509_val_2.fq.gz
SRX3411510		warn	5524772.0	Conventional base calls	warn	51.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	12.22717521384977	Sanger / Illumina 1.9	139.85746380122112	fail	0.0	775.6 Mbp	SRX3411510_val_1.fq.gz
SRX3411511		warn	6600166.0	Conventional base calls	fail	51.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	10.49590185952736	Sanger / Illumina 1.9	138.70955442635838	fail	0.0	918.8 Mbp	SRX3411511_val_1.fq.gz
SRX3411512		warn	4171299.0	Conventional base calls	fail	51.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	13.244103236362555	Sanger / Illumina 1.9	139.3031477724325	fail	0.0	583.1 Mbp	SRX3411512_val_1.fq.gz
SRX3411513		warn	5271239.0	Conventional base calls	fail	51.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	12.929944691656416	Sanger / Illumina 1.9	138.8086013553929	fail	0.0	734.3 Mbp	SRX3411513_val_1.fq.gz
SRX3411514		warn	4479449.0	Conventional base calls	warn	47.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	22.12890258897035	Sanger / Illumina 1.9	143.51261059116868	fail	0.0	645.8 Mbp	SRX3411514_val_1.fq.gz
SRX3411515		warn	4120768.0	Conventional base calls	fail	49.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	18.853234793493137	Sanger / Illumina 1.9	142.43402079418206	fail	0.0	589.5 Mbp	SRX3411515_val_1.fq.gz
SRX3411516		warn	5705116.0	Conventional base calls	warn	44.0	fail	pass	fail	pass	pass	pass	pass	20-150	147	15.589837173337523	Sanger / Illumina 1.9	140.59865338408545	fail	0.0	805.6 Mbp	SRX3411516_val_1.fq.gz
SRX3411517		warn	5466112.0	Conventional base calls	fail	47.0	warn	pass	fail	pass	pass	pass	pass	20-150	147	16.324684259447675	Sanger / Illumina 1.9	140.54049075467168	fail	0.0	771.4 Mbp	SRX3411517_val_1.fq.gz
SRX3411518		warn	3014835.0	Conventional base calls	fail	49.0	fail	fail	fail	pass	pass	pass	pass	20-150	147	38.33703828148714	Sanger / Illumina 1.9	143.2158303854108	fail	0.0	433.7 Mbp	SRX3411518_val_2.fq.gz
SRX3411519		warn	3246599.0	Conventional base calls	fail	47.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	44.721003267455856	Sanger / Illumina 1.9	139.75303201904515	fail	0.0	456 Mbp	SRX3411519_val_2.fq.gz
SRX3411520		warn	3454582.0	Conventional base calls	fail	47.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	33.79439289179258	Sanger / Illumina 1.9	139.9695974795214	fail	0.0	485.9 Mbp	SRX3411520_val_2.fq.gz
SRX3411521		warn	5246880.0	Conventional base calls	warn	45.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	32.007826913708875	Sanger / Illumina 1.9	141.39147664897996	fail	0.0	745.5 Mbp	SRX3411521_val_2.fq.gz
SRX3411522		warn	4041952.0	Conventional base calls	warn	46.0	warn	warn	fail	pass	pass	pass	pass	20-150	147	42.536213779391154	Sanger / Illumina 1.9	140.76126633864035	fail	0.0	571.7 Mbp	SRX3411522_val_2.fq.gz
SRX3411523		warn	4521823.0	Conventional base calls	fail	47.0	warn	warn	fail	pass	pass	pass	pass	20-150	147	43.12752165955668	Sanger / Illumina 1.9	138.8678964214212	fail	0.0	631.1 Mbp	SRX3411523_val_2.fq.gz
SRX3411524		warn	6225367.0	Conventional base calls	fail	49.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	33.006847650555464	Sanger / Illumina 1.9	137.61954805234777	fail	0.0	860.8 Mbp	SRX3411524_val_2.fq.gz
SRX3411525		warn	4343858.0	Conventional base calls	fail	47.0	fail	warn	fail	pass	pass	pass	pass	20-150	147	39.208876162321246	Sanger / Illumina 1.9	139.93581512102836	fail	0.0	611 Mbp	SRX3411525_val_2.fq.gz
SRX3541437		warn	40340842.0	Conventional base calls	warn	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.048212285298701	Sanger / Illumina 1.9	98.77760989718558	fail	0.0	3.9 Gbp	SRX3541437_val_2.fq.gz
SRX3541438		warn	32231700.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.3720651204897845	Sanger / Illumina 1.9	99.03991803100674	fail	0.0	3.2 Gbp	SRX3541438_val_1.fq.gz
SRX3541439		warn	32719052.0	Conventional base calls	warn	50.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.784966345150448	Sanger / Illumina 1.9	99.10842948628218	fail	0.0	3.2 Gbp	SRX3541439_val_1.fq.gz
SRX3541440		warn	30606642.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.689754351915505	Sanger / Illumina 1.9	98.98621906970389	fail	0.0	3 Gbp	SRX3541440_val_2.fq.gz
SRX3541441		warn	31270580.0	Conventional base calls	warn	52.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.488022669092721	Sanger / Illumina 1.9	98.85562160983262	fail	0.0	3.1 Gbp	SRX3541441_val_2.fq.gz
SRX3541442		warn	34982275.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.692427053448066	Sanger / Illumina 1.9	98.92093175758295	fail	0.0	3.4 Gbp	SRX3541442_val_2.fq.gz
SRX3541443		warn	28369857.0	Conventional base calls	warn	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.770386444593745	Sanger / Illumina 1.9	98.78421487989876	fail	0.0	2.8 Gbp	SRX3541443_val_2.fq.gz
SRX3541444		warn	28524487.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.841723962472411	Sanger / Illumina 1.9	99.14331563614098	fail	0.0	2.8 Gbp	SRX3541444_val_2.fq.gz
SRX3541445		warn	32839959.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.720023637387918	Sanger / Illumina 1.9	98.8739678389976	fail	0.0	3.2 Gbp	SRX3541445_val_2.fq.gz
SRX3541446		warn	36566020.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.12286698496132	Sanger / Illumina 1.9	98.81521516424264	fail	0.0	3.6 Gbp	SRX3541446_val_2.fq.gz
SRX3541447		warn	30553964.0	Conventional base calls	fail	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.324095555099751	Sanger / Illumina 1.9	98.66578536258012	fail	0.0	3 Gbp	SRX3541447_val_2.fq.gz
SRX3541448		warn	26869457.0	Conventional base calls	fail	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.784626023418248	Sanger / Illumina 1.9	99.06461436864913	fail	0.0	2.6 Gbp	SRX3541448_val_1.fq.gz
SRX3541449		warn	36439102.0	Conventional base calls	fail	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.241777826177375	Sanger / Illumina 1.9	99.1101016704528	fail	0.0	3.6 Gbp	SRX3541449_val_1.fq.gz
SRX3541450		warn	30406857.0	Conventional base calls	fail	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.45221391721149	Sanger / Illumina 1.9	98.79232358674886	fail	0.0	3 Gbp	SRX3541450_val_2.fq.gz
SRX3541451		warn	31504204.0	Conventional base calls	fail	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	11.282550224552356	Sanger / Illumina 1.9	98.81256831627931	fail	0.0	3.1 Gbp	SRX3541451_val_2.fq.gz
SRX3541452		warn	22376682.0	Conventional base calls	fail	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	7.167815311541724	Sanger / Illumina 1.9	98.64275016287044	fail	0.0	2.2 Gbp	SRX3541452_val_2.fq.gz
SRX3541453		warn	23818423.0	Conventional base calls	warn	54.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	5.6042898542293385	Sanger / Illumina 1.9	99.07834099679899	fail	0.0	2.3 Gbp	SRX3541453_val_2.fq.gz
SRX5252024		warn	13698152.0	Conventional base calls	warn	45.0	warn	pass	warn	pass	pass	pass	pass	20-101	100	20.39283430595392	Sanger / Illumina 1.9	98.62664073226811	fail	0.0	1.3 Gbp	SRX5252024_trimmed.fq.gz
SRX5252025		warn	12023266.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	22.314580935216924	Sanger / Illumina 1.9	98.90864661898023	fail	0.0	1.1 Gbp	SRX5252025_trimmed.fq.gz
SRX5252026		warn	9016832.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	27.24293286847224	Sanger / Illumina 1.9	99.53459618633241	fail	0.0	903.8 Mbp	SRX5252026_trimmed.fq.gz
SRX5252027		warn	11339091.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	21.427411756698785	Sanger / Illumina 1.9	98.44419980402309	fail	0.0	1.1 Gbp	SRX5252027_trimmed.fq.gz
SRX5252028		warn	15062119.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	18.894766209060005	Sanger / Illumina 1.9	99.1062070350128	fail	0.0	1.5 Gbp	SRX5252028_trimmed.fq.gz
SRX5252029		warn	9952065.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	24.598068745993693	Sanger / Illumina 1.9	98.8328331858765	fail	0.0	990.2 Mbp	SRX5252029_trimmed.fq.gz
SRX5252030		warn	11397206.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.734826838497742	Sanger / Illumina 1.9	99.00083546792082	fail	0.0	1.1 Gbp	SRX5252030_trimmed.fq.gz
SRX5252031		warn	9829374.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	20.401445264137923	Sanger / Illumina 1.9	98.57186754721104	fail	0.0	975.6 Mbp	SRX5252031_trimmed.fq.gz
SRX5252032		warn	13695255.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	19.93968007233363	Sanger / Illumina 1.9	99.12539226177242	fail	0.0	1.3 Gbp	SRX5252032_trimmed.fq.gz
SRX5252033		warn	15726537.0	Conventional base calls	warn	46.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	18.214235027990174	Sanger / Illumina 1.9	98.83617582179726	fail	0.0	1.5 Gbp	SRX5252033_trimmed.fq.gz
SRX5252034		warn	10719334.0	Conventional base calls	warn	46.0	fail	pass	fail	pass	pass	pass	pass	20-101	100	22.428083978214076	Sanger / Illumina 1.9	96.73047355367413	fail	0.0	1 Gbp	SRX5252034_trimmed.fq.gz
SRX5252035		warn	12166127.0	Conventional base calls	warn	47.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	19.195209671893608	Sanger / Illumina 1.9	98.60517451445313	fail	0.0	1.2 Gbp	SRX5252035_trimmed.fq.gz
SRX5252036		warn	11064660.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.976408240372265	Sanger / Illumina 1.9	99.04017836969234	fail	0.0	1.1 Gbp	SRX5252036_trimmed.fq.gz
SRX5252037		warn	10419260.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.819512513774093	Sanger / Illumina 1.9	98.92910801726802	fail	0.0	1 Gbp	SRX5252037_trimmed.fq.gz
SRX5252038		warn	9126947.0	Conventional base calls	fail	45.0	fail	pass	fail	pass	pass	pass	pass	20-101	100	23.76472732885537	Sanger / Illumina 1.9	96.14876759994333	fail	0.0	883.6 Mbp	SRX5252038_trimmed.fq.gz
SRX5252039		warn	7593064.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	29.872047704784304	Sanger / Illumina 1.9	98.73070317858509	fail	0.0	754.7 Mbp	SRX5252039_trimmed.fq.gz
SRX5252040		warn	15222423.0	Conventional base calls	warn	46.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	17.77333245692983	Sanger / Illumina 1.9	99.09425326046977	fail	0.0	1.5 Gbp	SRX5252040_trimmed.fq.gz
SRX5252041		warn	9660158.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	25.844304141396613	Sanger / Illumina 1.9	99.08840580040203	fail	0.0	963.7 Mbp	SRX5252041_trimmed.fq.gz
SRX5252042		warn	10486606.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.692119903867088	Sanger / Illumina 1.9	99.02752844914741	fail	0.0	1 Gbp	SRX5252042_trimmed.fq.gz
SRX5252043		warn	9699609.0	Conventional base calls	fail	44.0	fail	pass	fail	pass	pass	pass	pass	20-101	100	24.00611035251867	Sanger / Illumina 1.9	94.49781676766558	fail	0.0	922.9 Mbp	SRX5252043_trimmed.fq.gz
SRX5252044		warn	9721380.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	25.337429628853297	Sanger / Illumina 1.9	98.64847069037523	fail	0.0	965.4 Mbp	SRX5252044_trimmed.fq.gz
SRX5252045		warn	12747049.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	21.460748953577998	Sanger / Illumina 1.9	99.12906477412929	fail	0.0	1.2 Gbp	SRX5252045_trimmed.fq.gz
SRX5252046		warn	8297021.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	27.575272501752202	Sanger / Illumina 1.9	99.09352429022417	fail	0.0	827.7 Mbp	SRX5252046_trimmed.fq.gz
SRX5252047		warn	7162056.0	Conventional base calls	fail	44.0	fail	pass	fail	pass	pass	pass	pass	20-101	100	27.96946220966938	Sanger / Illumina 1.9	94.97489491844242	fail	0.0	684.9 Mbp	SRX5252047_trimmed.fq.gz
SRX5252048		warn	10128295.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	25.28889990459363	Sanger / Illumina 1.9	98.73071015407825	fail	0.0	1 Gbp	SRX5252048_trimmed.fq.gz
SRX5252049		warn	12066036.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.079127468983337	Sanger / Illumina 1.9	99.07735034107307	fail	0.0	1.2 Gbp	SRX5252049_trimmed.fq.gz
SRX5252050		warn	9637094.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	25.639075099189558	Sanger / Illumina 1.9	99.18746190500995	fail	0.0	962.3 Mbp	SRX5252050_trimmed.fq.gz
SRX5252051		warn	8269155.0	Conventional base calls	fail	44.0	fail	pass	fail	pass	pass	pass	pass	20-101	100	26.745664544028152	Sanger / Illumina 1.9	95.52144880583324	fail	0.0	795.3 Mbp	SRX5252051_trimmed.fq.gz
SRX5252052		warn	11119974.0	Conventional base calls	warn	43.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.119879517649924	Sanger / Illumina 1.9	99.08606117244518	fail	0.0	1.1 Gbp	SRX5252052_trimmed.fq.gz
SRX5252053		warn	15384800.0	Conventional base calls	fail	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	18.268691035039566	Sanger / Illumina 1.9	99.1481694919661	fail	0.0	1.5 Gbp	SRX5252053_trimmed.fq.gz
SRX5252054		warn	11226181.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	23.495784480884037	Sanger / Illumina 1.9	98.96185122972808	fail	0.0	1.1 Gbp	SRX5252054_trimmed.fq.gz
SRX5252055		warn	13531093.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	19.377355219603814	Sanger / Illumina 1.9	99.06094636996434	fail	0.0	1.3 Gbp	SRX5252055_trimmed.fq.gz
SRX5252056		warn	15764732.0	Conventional base calls	warn	46.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	17.84234426573079	Sanger / Illumina 1.9	99.17153415611506	fail	0.0	1.5 Gbp	SRX5252056_trimmed.fq.gz
SRX5252057		warn	14068735.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	19.567426679366225	Sanger / Illumina 1.9	98.89424301474155	fail	0.0	1.4 Gbp	SRX5252057_trimmed.fq.gz
SRX5252058		warn	15796031.0	Conventional base calls	warn	46.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	15.628533498965403	Sanger / Illumina 1.9	99.04848692687422	fail	0.0	1.5 Gbp	SRX5252058_trimmed.fq.gz
SRX5252059		warn	15463863.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	14.390165606509756	Sanger / Illumina 1.9	98.98955661984331	fail	0.0	1.5 Gbp	SRX5252059_trimmed.fq.gz
SRX5252060		warn	10931858.0	Conventional base calls	warn	44.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	24.547437664355236	Sanger / Illumina 1.9	99.04372394884749	fail	0.0	1 Gbp	SRX5252060_trimmed.fq.gz
SRX5252061		warn	13301825.0	Conventional base calls	warn	45.0	warn	pass	fail	pass	pass	pass	pass	20-101	100	20.33409771823931	Sanger / Illumina 1.9	99.10318456302049	fail	0.0	1.3 Gbp	SRX5252061_trimmed.fq.gz
SRX5329169		warn	28674282.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.995969534214086	Sanger / Illumina 1.9	99.11697757593372	fail	0.0	2.8 Gbp	SRX5329169_val_2.fq.gz
SRX5329170		warn	30781203.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.601439737616353	Sanger / Illumina 1.9	99.08948314983012	fail	0.0	3 Gbp	SRX5329170_val_1.fq.gz
SRX5329171		warn	33298198.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.397839860368781	Sanger / Illumina 1.9	99.06759627052492	fail	0.0	3.3 Gbp	SRX5329171_val_1.fq.gz
SRX5329172		warn	35236236.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.729426316516569	Sanger / Illumina 1.9	99.06229570036936	fail	0.0	3.5 Gbp	SRX5329172_val_1.fq.gz
SRX5329173		warn	30766764.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	5.146633798303284	Sanger / Illumina 1.9	99.02181496890606	fail	0.0	3 Gbp	SRX5329173_val_1.fq.gz
SRX5329174		warn	35621932.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.187652511418811	Sanger / Illumina 1.9	98.96987204399807	fail	0.0	3.5 Gbp	SRX5329174_val_1.fq.gz
SRX5329175		warn	33003415.0	Conventional base calls	fail	50.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.9215117528554835	Sanger / Illumina 1.9	99.08576739710118	fail	0.0	3.2 Gbp	SRX5329175_val_1.fq.gz
SRX5329176		warn	33783195.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	5.1344590734462345	Sanger / Illumina 1.9	99.04047778784688	fail	0.0	3.3 Gbp	SRX5329176_val_1.fq.gz
SRX5329177		warn	32582082.0	Conventional base calls	pass	49.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.509469540576355	Sanger / Illumina 1.9	99.03273645926004	fail	0.0	3.2 Gbp	SRX5329177_val_1.fq.gz
SRX5329178		warn	28610906.0	Conventional base calls	warn	53.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	6.89305426928158	Sanger / Illumina 1.9	99.02640105140327	fail	0.0	2.8 Gbp	SRX5329178_val_2.fq.gz
SRX5329179		warn	31438613.0	Conventional base calls	warn	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	6.648368914229239	Sanger / Illumina 1.9	99.10478213526787	fail	0.0	3.1 Gbp	SRX5329179_val_2.fq.gz
SRX5329180		warn	36840170.0	Conventional base calls	fail	51.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	8.300928479198507	Sanger / Illumina 1.9	98.97936138731173	fail	0.0	3.6 Gbp	SRX5329180_val_2.fq.gz
SRX5329181		warn	31671715.0	Conventional base calls	fail	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	11.396630825664433	Sanger / Illumina 1.9	98.79312149657825	fail	0.0	3.1 Gbp	SRX5329181_val_2.fq.gz
SRX5329182		warn	27527624.0	Conventional base calls	fail	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	10.11163357284863	Sanger / Illumina 1.9	98.86660170888705	fail	0.0	2.7 Gbp	SRX5329182_val_2.fq.gz
SRX5329183		warn	38096379.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	9.427428478689995	Sanger / Illumina 1.9	98.88790811326189	fail	0.0	3.7 Gbp	SRX5329183_val_2.fq.gz
SRX5329184		warn	40576887.0	Conventional base calls	fail	52.0	warn	pass	fail	pass	pass	pass	pass	20-100	100	7.178186808605644	Sanger / Illumina 1.9	98.95997221275255	fail	0.0	4 Gbp	SRX5329184_val_2.fq.gz
SRX5329185		warn	22503433.0	Conventional base calls	fail	53.0	fail	pass	fail	pass	pass	pass	pass	20-100	100	7.255125508586002	Sanger / Illumina 1.9	98.91624624562839	fail	0.0	2.2 Gbp	SRX5329185_val_2.fq.gz
