Sample	Not aligned	Aligned
SRX3411524	4036017.0	2189350.0
SRX3411525	3745834.0	598024.0
SRX3541437	25120996.0	15219846.0
SRX3541438	3898915.0	28332785.0
SRX3541439	11658328.0	21060724.0
SRX3541440	4944987.0	25661655.0
SRX3541441	24569545.0	6701035.0
SRX3541442	6797470.0	28184805.0
SRX3541443	23078432.0	5291425.0
SRX3541444	22648086.0	5876401.0
SRX3541445	17781419.0	15058540.0
SRX3541446	24386301.0	12179719.0
SRX3541447	26437667.0	4116297.0
SRX3541448	11992539.0	14876918.0
SRX3541449	30785493.0	5653609.0
SRX3541450	22157041.0	8249816.0
SRX3541451	8690645.0	22813559.0
SRX3541452	19576180.0	2800502.0
SRX3541453	22460193.0	1358230.0
SRX5252024	108502.0	13589650.0
SRX5252025	62724.0	11960542.0
SRX5252026	103992.0	8912840.0
SRX5252027	226030.0	11113061.0
SRX5252028	88454.0	14973665.0
SRX5252029	68474.0	9883591.0
SRX5252030	58404.0	11338802.0
SRX5252031	180201.0	9649173.0
SRX5252032	71665.0	13623590.0
SRX5252033	130611.0	15595926.0
SRX5252034	450969.0	10268365.0
SRX5252035	185565.0	11980562.0
SRX5252036	56453.0	11008207.0
SRX5252037	56634.0	10362626.0
SRX5252038	484663.0	8642284.0
SRX5252039	66588.0	7526476.0
SRX5252040	153466.0	15068957.0
SRX5252041	47795.0	9612363.0
SRX5252042	52210.0	10434396.0
SRX5252043	742449.0	8957160.0
SRX5252044	89382.0	9631998.0
SRX5252045	65471.0	12681578.0
SRX5252046	37697.0	8259324.0
SRX5252047	494970.0	6667086.0
SRX5252048	83922.0	10044373.0
SRX5252049	67053.0	11998983.0
SRX5252050	48781.0	9588313.0
SRX5252051	506468.0	7762687.0
SRX5252052	85393.0	11034581.0
SRX5252053	120726.0	15264074.0
SRX5252054	90268.0	11135913.0
SRX5252055	105199.0	13425894.0
SRX5252056	139895.0	15624837.0
SRX5252057	142406.0	13926329.0
SRX5252058	159960.0	15636071.0
