Sample	Antisense	Sense	Undetermined
SRX3316631	60.099999999999994	1.8499999999999999	38.05
SRX3316632	60.69	1.6500000000000001	37.669999999999995
SRX3316633	60.519999999999996	1.8599999999999999	37.63
SRX3316634	58.06	2.26	39.68
SRX3316735	54.290000000000006	1.5699999999999998	44.14
SRX3316736	57.76	1.69	40.550000000000004
SRX3316737	57.3	1.95	40.75
SRX3316738	56.37	2.12	41.510000000000005
SRX3316739	56.75	1.6199999999999999	41.63
SRX3316740	51.61	1.26	47.13
SRX3316741	52.0	1.8399999999999999	46.160000000000004
SRX3316742	57.18	1.73	41.089999999999996
SRX3316743	57.02	1.8800000000000001	41.099999999999994
SRX3316744	50.22	1.38	48.4
SRX3316745	48.93	1.23	49.830000000000005
SRX3316746	50.339999999999996	1.16	48.49
SRX3316747	55.92	1.54	42.55
SRX3316748	56.49999999999999	1.91	41.58
SRX3316749	54.769999999999996	1.4200000000000002	43.81
SRX3316750	56.74	1.72	41.53
SRX3316751	58.35	2.08	39.57
SRX3316752	58.589999999999996	1.95	39.46
SRX3316753	58.919999999999995	1.91	39.17
SRX3316754	58.28	1.91	39.81
SRX3316755	58.599999999999994	1.87	39.53
SRX3316756	58.24	2.04	39.72
SRX3316757	58.5	1.97	39.53
SRX3316758	57.879999999999995	1.91	40.21
SRX3411505	2.68	2.19	95.13000000000001
SRX3411506	4.569999999999999	3.74	91.7
SRX3411507	3.62	2.8000000000000003	93.58999999999999
SRX3411508	2.55	2.03	95.42
SRX3411509	2.59	2.23	95.17999999999999
SRX3411510	4.17	2.67	93.16
SRX3411511	2.5700000000000003	2.22	95.19999999999999
SRX3411512	2.6100000000000003	1.8599999999999999	95.52000000000001
SRX3411513	3.8	2.9000000000000004	93.30000000000001
SRX3411514	26.740000000000002	23.97	49.29
SRX3411515	22.28	21.38	56.34
SRX3411516	37.12	29.049999999999997	33.83
SRX3411517	17.14	13.389999999999999	69.47
SRX3411518	28.67	25.47	45.85
SRX3411519	23.78	22.2	54.02
SRX3411520	12.76	8.21	79.03
SRX3411521	25.88	25.41	48.71
SRX3411522	20.52	19.2	60.29
SRX3411523	17.76	19.220000000000002	63.019999999999996
SRX3411524	4.12	3.85	92.03
