# Program:featureCounts v2.0.6; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX2037535_cds.txt" "SRX2037535.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX2037535.bam
ZCP4_0295	CP006818.1	335187	335951	-	765	10969
ZCP4_0296	CP006818.1	336003	337049	-	1047	4307
ZCP4_0297	CP006818.1	337182	337835	+	654	3552
ZCP4_0298	CP006818.1	338155	339336	+	1182	26980
ZCP4_0299	CP006818.1	339418	340470	+	1053	47195
ZCP4_0300	CP006818.1	340653	341753	+	1101	10095
ZCP4_0301	CP006818.1	341750	342541	+	792	5284
ZCP4_0302	CP006818.1	342552	343499	+	948	7648
ZCP4_0303	CP006818.1	343505	344131	+	627	3783
ZCP4_0304	CP006818.1	344349	344567	+	219	45343
ZCP4_0305	CP006818.1	344573	345181	+	609	14814
ZCP4_0306	CP006818.1	345182	346195	+	1014	2340
ZCP4_0307	CP006818.1	346218	346403	+	186	328
ZCP4_0309	CP006818.1	346624	347145	-	522	726
ZCP4_0310	CP006818.1	347180	347968	-	789	29642
ZCP4_0311	CP006818.1	348107	349552	-	1446	994
ZCP4_0312	CP006818.1	349678	350541	-	864	3755
ZCP4_0313	CP006818.1	350663	351769	-	1107	3910
ZCP4_0314	CP006818.1	351769	352917	-	1149	11673
ZCP4_0315	CP006818.1	353087	353734	-	648	3512
ZCP4_0316	CP006818.1	353734	354585	-	852	2816
ZCP4_0317	CP006818.1	354575	355912	-	1338	7910
ZCP4_0318	CP006818.1	355985	357475	-	1491	10174
ZCP4_0319	CP006818.1	357732	360011	-	2280	9388
ZCP4_0320	CP006818.1	360441	361430	+	990	1587
ZCP4_0321	CP006818.1	361455	361997	-	543	2632
ZCP4_0322	CP006818.1	362336	362962	-	627	721638
ZCP4_0323	CP006818.1	362964	364106	-	1143	15438
ZCP4_0324	CP006818.1	364400	364918	+	519	137501
ZCP4_0325	CP006818.1	365293	366888	+	1596	733
ZCP4_0326	CP006818.1	367296	367784	+	489	40985
ZCP4_0327	CP006818.1	367880	368077	-	198	17731
ZCP4_0328	CP006818.1	368279	368437	+	159	11324
ZCP4_0329	CP006818.1	368485	368970	-	486	5677
ZCP4_0330	CP006818.1	369267	370544	+	1278	8526
ZCP4_0331	CP006818.1	370544	371311	+	768	4815
ZCP4_0332	CP006818.1	371308	372183	+	876	3982
ZCP4_0333	CP006818.1	372314	374785	+	2472	5175
ZCP4_0334	CP006818.1	374782	375600	+	819	297
ZCP4_0335	CP006818.1	375597	377189	+	1593	1361
ZCP4_0336	CP006818.1	377294	378403	+	1110	21185
ZCP4_0337	CP006818.1	378470	380581	-	2112	3691
ZCP4_0338	CP006818.1	380910	381815	+	906	165
ZCP4_0339	CP006818.1	381956	382978	+	1023	5774
ZCP4_0341	CP006818.1	383172	384161	-	990	3721
ZCP4_0342	CP006818.1	384363	385208	-	846	29190
ZCP4_0343	CP006818.1	385224	386654	-	1431	26143
ZCP4_0344	CP006818.1	386669	387823	-	1155	5609
ZCP4_0345	CP006818.1	387912	388925	-	1014	9052
ZCP4_0346	CP006818.1	388962	390083	-	1122	1937
ZCP4_0347	CP006818.1	390088	391434	-	1347	2296
ZCP4_0348	CP006818.1	391397	391624	-	228	155
ZCP4_0349	CP006818.1	391628	392824	-	1197	1101
ZCP4_0350	CP006818.1	392918	394519	-	1602	6941
ZCP4_0351	CP006818.1	394497	395702	-	1206	4969
ZCP4_0352	CP006818.1	395724	397157	-	1434	2353
ZCP4_0353	CP006818.1	397250	397879	+	630	4527
ZCP4_0354	CP006818.1	397955	399100	+	1146	1566
ZCP4_0355	CP006818.1	399108	399602	-	495	984
ZCP4_0356	CP006818.1	399739	400485	+	747	194
ZCP4_0357	CP006818.1	400415	401254	-	840	3046
ZCP4_0358	CP006818.1	401256	402512	-	1257	1860
ZCP4_0359	CP006818.1	402520	403116	-	597	373
ZCP4_0362	CP006818.1	404636	405094	+	459	524
ZCP4_0363	CP006818.1	405081	405938	+	858	1692
ZCP4_0364	CP006818.1	405942	406553	+	612	2845
ZCP4_0365	CP006818.1	406610	407878	-	1269	26020
ZCP4_0366	CP006818.1	408028	408660	-	633	16107
ZCP4_0367	CP006818.1	408739	409704	-	966	34919
ZCP4_0368	CP006818.1	409722	411200	-	1479	313032
ZCP4_0370	CP006818.1	411541	412428	+	888	26067
ZCP4_0372	CP006818.1	412767	414305	+	1539	7507
ZCP4_0374	CP006818.1	414508	415509	+	1002	605
ZCP4_0375	CP006818.1	415623	416123	+	501	4366
ZCP4_0376	CP006818.1	416137	417438	+	1302	3995
ZCP4_0377	CP006818.1	417442	419172	-	1731	7097
ZCP4_0378	CP006818.1	419489	420712	+	1224	5818
ZCP4_0379	CP006818.1	420750	421640	-	891	2198
ZCP4_0380	CP006818.1	421926	422558	+	633	23468
ZCP4_0381	CP006818.1	422784	423110	+	327	5918
ZCP4_0382	CP006818.1	423248	423802	+	555	2540
ZCP4_0383	CP006818.1	423837	424058	+	222	421
ZCP4_0384	CP006818.1	424051	424479	+	429	971
ZCP4_0385	CP006818.1	424616	425626	-	1011	895
ZCP4_0386	CP006818.1	425778	426584	+	807	1503
ZCP4_0387	CP006818.1	426446	427090	-	645	5544
ZCP4_0388	CP006818.1	427087	427596	-	510	6992
ZCP4_0389	CP006818.1	427741	428310	-	570	6894
