Geneid,SRX6700162,SRX6700163,SRX6700164,SRX6700165,SRX6700166,SRX6700168,SRX6700169,SRX6700170,SRX6700171,SRX6700172,SRX6700173,SRX6700174,SRX6700175,SRX6700176,SRX6700177,SRX6700178,SRX6700179,SRX6700180,SRX6700181,SRX6700182,SRX6700183,SRX6700184,SRX6700185
ZMO2_RS00055,6.628511064735224,4.747967893222821,6.586467988991208,6.004981205321868,7.462194828818613,7.4220584512004395,7.53695601801242,7.554160142114487,7.50950258927199,7.9144989435440145,7.619578536210396,5.959962292311875,6.744989081702906,6.884839162725281,7.0680579854412775,7.087739874122453,7.164215732740078,7.207647562443339,7.383560590637363,7.161801527568661,8.92747241986537,9.146085870915119,8.69397328302159
ZMO2_RS00060,5.002432169401191,5.446061658747012,4.911390156867673,5.59594225886974,4.856139389250008,4.648008958691168,4.035679255296189,4.470632384635416,6.567195254026123,5.933778688377103,6.599717459270059,5.275769620470731,5.122916058490477,4.9818791495056525,4.86424608848883,5.087165786415584,4.929720632308693,3.70577564969743,3.5845535303232827,3.6706482883252174,4.229582297788266,4.085111303701812,4.037324028483415
ZMO2_RS00065,6.44544431889694,7.05327420875842,6.396069439364333,7.211942023276543,6.360076373465548,5.650205262752363,5.590565751181323,5.684877869834924,7.180733809409671,7.003439596510464,7.11577769360036,6.568500127771153,6.494140686529294,5.908408828200519,6.1216586859561755,6.345542856285681,6.429223165739071,5.424799308372019,5.085993844296302,5.295231584080562,5.278272230376865,4.8754954274497315,5.202828365464174
ZMO2_RS00070,6.629938454193469,7.015877097061079,6.663168138006188,7.3455368864524555,6.736078318594391,5.630108083991024,6.070542052175986,6.146155131337586,7.7324638585526655,7.626408397061724,7.464547852765013,6.3876442637670685,6.627961057479923,5.619030325089877,5.8486659909987,6.535583957952571,6.586745110378867,5.8435032881534665,5.3529616355647915,5.922647935970479,6.2857377657178555,6.496770689777316,6.955632376716036
ZMO2_RS00075,10.282933605384661,9.969991919686576,10.35413294923268,11.953998836984972,11.80959004243957,12.620547791651902,12.952324944165444,12.795471170710208,13.208587581331914,13.843373363105488,13.233207592449581,10.102515376745904,10.169157478331112,10.045776998190878,11.387105200467516,11.40790027685586,11.307766647492437,12.824147349578972,12.811295739941633,12.669667626601242,13.361257932273135,13.545993644576276,13.539642285728487
ZMO2_RS00080,10.620533241327148,9.785185400794433,10.524010031270645,11.061075810266287,11.845864138353841,13.041955199284581,13.258504939406816,13.14147861380454,13.333145093619857,13.617974573995891,13.484155214072922,10.368574286338767,10.502398512261198,10.630016863968725,11.611447948619144,11.644098905115241,11.675812709222269,13.348510898205044,13.46512212340762,13.460202180918339,13.703079547983007,13.75667505011038,13.823212114235655
ZMO2_RS00085,8.104386586832463,8.421348915091368,7.980513854528354,9.367598139127995,9.112181665765602,8.600223670192843,8.840586933538644,8.912989869200038,10.686265112060799,10.90008781824159,10.644420385649893,8.377676703356125,8.29646577620049,7.861401938774635,8.797827683116973,8.761304993577616,8.624349425680682,8.846680096182016,8.479579650157483,8.692430653588163,10.158770497972384,10.071473012032644,10.41551580818219
ZMO2_RS00090,8.086069874863812,8.879184373253567,8.140781496627945,8.264793033931653,7.370972321851408,6.392029273149497,5.978849785530856,6.32239772212501,7.586865566794779,7.713438904641635,7.618237840373258,8.694056031036089,8.349455498394821,8.401617503648362,7.584766594666912,7.638424128628003,7.570092300095172,5.545712624138478,5.324822466538612,5.540024788906847,6.914608535229738,6.93792814801271,7.124105900458568
ZMO2_RS00095,7.59587160485193,8.802240759056273,7.5504927037973735,8.531045437605632,6.980556424105366,6.135702232016254,5.737288093566773,6.111516390905499,7.245162598798298,7.183703348873048,6.990017561563516,8.241466736837339,7.803458131963916,7.629000440499504,7.111032703352811,7.2169300597258585,6.916504799085933,5.286129026626037,5.0277972398131485,5.071580194777074,7.122744021232046,6.829966606365014,7.228138504097167
ZMO2_RS00100,8.051065569115805,7.829098503984522,8.107140870279803,8.351971048374926,8.576677279235774,7.804169626316439,7.64844091774445,7.782146944559338,6.936419364846555,6.606194404156973,6.698332859006033,8.063775249213219,7.8598791815570435,7.92090780942916,8.339093888025772,8.2669475413707,8.503189974436221,7.693785732938705,7.498248983373242,7.801703147863145,6.849197192295262,6.518880324354052,6.748376451802004
