Sample	Unassigned_MultiMapping	Unassigned_rRNA	Unassigned_Duplicate	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_Overlapping_Length	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_NonSplit	Unassigned_NoFeatures	Total	Unassigned_Chimera	percent_assigned	Unassigned_FragmentLength	Assigned	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage	reads_processed	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length	quality_trimmed	cutadapt_version	r_processed	r_with_adapters	r_written	bp_written	percent_trimmed	bp_processed	pe_antisense	pe_sense	failed	se_sense	se_antisense
SRX18804540	0	29409	0	14245	0	0	771612	5023950	0	0	0	1199821	21174080	0	66.75635022	0	14135043	8075065	2511975	23.73	76.27	10587040	pass	pass	pass	warn	16.62624493	Sanger / Illumina 1.9	fail	10587040	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804540_val_2.fq.gz	1.5 Gbp	pass	warn	148.6803732	878606	4.4	10587948	3306346	10587948	1579693263	0.535132775	1588192200	0.3552	0.026	0.6189		
SRX18804541	0	9579	0	14884	0	0	793831	5494802	0	0	0	1275473	22256968	0	65.90474947	0	14668399	8381083	2747401	24.69	75.31	11128484	warn	pass	pass	warn	17.35148516	Sanger / Illumina 1.9	fail	11128484	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804541_val_2.fq.gz	1.6 Gbp	pass	warn	148.7394875	538201	4.4	11129705	3709649	11129705	1661240687	0.492080308	1669455750	0.353	0.0253	0.6217		
SRX18804542	0	24399	0	13494	0	0	697891	4155536	0	0	0	937047	18296228	0	68.14443392	0	12467861	7070346	2077768	22.71	77.29	9148114	pass	pass	pass	warn	17.40694251	Sanger / Illumina 1.9	fail	9148114	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804542_val_2.fq.gz	1.3 Gbp	pass	warn	148.7033568	429993	4.4	9149027	3052437	9149027	1365294471	0.514413828	1372354050	0.3429	0.023	0.6341		
SRX18804543	0	18746	0	9126	0	0	590152	5342504	0	0	0	1382719	18531002	0	60.37317896	0	11187755	6594249	2671252	28.83	71.17	9265501	warn	pass	pass	warn	18.50141205	Sanger / Illumina 1.9	fail	9265501	20-150	fail	48	pass	pass	0	Conventional base calls	150	pass	SRX18804543_val_2.fq.gz	1.3 Gbp	pass	warn	148.750911	687339	4.4	9266109	2911767	9266109	1383246019	0.479908809	1389916350	0.3638	0.0394	0.5968		
SRX18804544	0	12606	0	12734	0	0	837553	7747350	0	0	0	2160068	25976598	0	58.5384083	0	15206287	9114624	3873675	29.82	70.18	12988299	warn	pass	pass	warn	18.41772534	Sanger / Illumina 1.9	fail	12988299	20-150	fail	48	pass	pass	0	Conventional base calls	150	pass	SRX18804544_val_2.fq.gz	1.9 Gbp	pass	warn	148.7997406	1320533	4.4	12989901	4057118	12989901	1939777947	0.44687038	1948485150	0.3629	0.0382	0.5989		
SRX18804545	0	11771	0	10514	0	0	732044	7269892	0	0	0	2097778	23259364	0	56.4820474	0	13137365	7994736	3634946	31.26	68.74	11629682	warn	pass	pass	warn	19.59458149	Sanger / Illumina 1.9	fail	11629682	20-150	fail	48	pass	pass	0	Conventional base calls	150	pass	SRX18804545_val_2.fq.gz	1.7 Gbp	pass	warn	148.8227429	589617	4.4	11631062	3790051	11631062	1737520659	0.409171063	1744659300	0.3478	0.0438	0.6084		
SRX18804546	0	3130	0	8880	0	0	566058	4523934	0	0	0	1876638	17774072	0	60.73696562	0	10795432	6625069	2261967	25.45	74.55	8887036	pass	pass	pass	warn	18.5291846	Sanger / Illumina 1.9	fail	8887036	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804546_val_2.fq.gz	1.3 Gbp	pass	warn	148.7400908	251061	4.4	8887860	2932505	8887860	1326559574	0.496514422	1333179000	0.3358	0.0467	0.6175		
SRX18804547	0	15857	0	10352	0	0	621925	5215644	0	0	0	1105485	20867876	0	66.60291158	0	13898613	7826116	2607822	24.99	75.01	10433938	warn	pass	pass	warn	15.73358457	Sanger / Illumina 1.9	fail	10433938	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804547_val_2.fq.gz	1.5 Gbp	pass	warn	148.8187429	933468	4.4	10434757	3181035	10434757	1558306058	0.441313072	1565213550	0.3685	0.0189	0.6125		
SRX18804548	0	3747	0	10480	0	0	685811	6539400	0	0	0	1389916	21282522	0	59.45332983	0	12653168	7371561	3269700	30.73	69.27	10641261	warn	pass	pass	warn	23.30730301	Sanger / Illumina 1.9	fail	10641261	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804548_val_1.fq.gz	1.5 Gbp	pass	warn	148.7771349	1084390	4.4	10642556	3244329	10642556	1589181604	0.451131977	1596383400	0.3686	0.0245	0.6069		
SRX18804549	0	133818	0	10411	0	0	652070	4741120	0	0	0	686444	19050002	0	67.32880658	0	12826139	7154441	2370560	24.89	75.11	9525001	pass	pass	pass	warn	16.33003215	Sanger / Illumina 1.9	fail	9525001	20-150	fail	50	pass	pass	0	Conventional base calls	150	pass	SRX18804549_val_1.fq.gz	1.4 Gbp	pass	warn	148.673061	654338	4.4	9525755	3142321	9525755	1421522739	0.513730828	1428863250	0.322	0.0219	0.6561		
SRX18804550	0	67968	0	8102	0	0	481841	5305100	0	0	0	1357337	17478924	0	58.69111852	0	10258576	6086912	2652550	30.35	69.65	8739462	warn	pass	pass	warn	23.39555558	Sanger / Illumina 1.9	fail	8739462	20-150	fail	49	pass	pass	0	Conventional base calls	150	pass	SRX18804550_val_2.fq.gz	1.3 Gbp	pass	warn	148.5908662	1181372	4.4	8740343	2687322	8740343	1303424965	0.581707529	1311051450	0.3215	0.0477	0.6308		
