Sample	Unassigned_MultiMapping	Unassigned_rRNA	Unassigned_Duplicate	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_Overlapping_Length	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_NonSplit	Unassigned_NoFeatures	Total	Unassigned_Chimera	percent_assigned	Unassigned_FragmentLength	Assigned	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage	reads_processed	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length	quality_trimmed	cutadapt_version	r_processed	r_with_adapters	r_written	bp_written	percent_trimmed	bp_processed	pe_antisense	pe_sense	failed	se_sense	se_antisense
SRX22720577	0	590735	0	23165	0	0	1432091	6090000	0	0	0	1834400	36167068	0	72.43240453	0	26196677	15038534	3045000	16.84	83.16	18083534	pass	pass	pass	warn	21.60927801	Sanger / Illumina 1.9	fail	18083534	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720577_val_1.fq.gz	1.7 Gbp	pass	pass	99.22466073	696806	4.4	18083790	6073088	18083790	1799520220	0.489874081	1808379000	0.3881	0.0235	0.5884		
SRX22720578	0	311494	0	24276	0	0	1479818	6075912	0	0	0	1787164	36068666	0	73.16600509	0	26390002	14996377	3037956	16.85	83.15	18034333	pass	pass	pass	warn	21.87838139	Sanger / Illumina 1.9	fail	18034333	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720578_val_2.fq.gz	1.7 Gbp	pass	pass	99.26336117	541078	4.4	18034574	6143324	18034574	1794734785	0.483660717	1803457400	0.3829	0.0251	0.5921		
SRX22720579	0	220937	0	22752	0	0	1514527	6174296	0	0	0	1925331	36188574	0	72.75979153	0	26330731	15007139	3087148	17.06	82.94	18094287	pass	pass	pass	warn	21.71836489	Sanger / Illumina 1.9	fail	18094287	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX22720579_val_2.fq.gz	1.8 Gbp	pass	pass	99.27076861	1316040	4.4	18094523	5327346	18094523	1801054676	0.464097561	1809452300	0.3907	0.0264	0.5829		
SRX3316529	0	94846	0	29911	0	0	2738414	15104922	0	0	0	6025845	68375314	0	64.90847852	0	44381376	26635196	7552461	22.09	77.91	34187657	warn	pass	pass	warn	9.633992316	Sanger / Illumina 1.9	fail	34187657	20-100	fail	46		pass	0	Conventional base calls	100	pass	SRX3316529_val_2.fq.gz	3.3 Gbp	pass	warn	98.78234101	7533030	4.4	34350728	11560088	34350728	3408656561	0.769015405	3435072800	0.3911	0.0542	0.5547		
SRX3316530	0	106042	0	35414	0	0	2372902	7730120	0	0	0	2963286	54534212	0	75.78077409	0	41326448	23402046	3865060	14.17	85.83	27267106	warn	pass	pass	warn	8.691302474	Sanger / Illumina 1.9	fail	27267106	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316530_val_1.fq.gz	2.7 Gbp	pass	warn	98.91896969	31632038	4.4	27446977	8285806	27446977	2697668306	1.713463526	2744697700	0.3569	0.0277	0.6154		
SRX3316531	0	86571	0	33137	0	0	2408979	9080390	0	0	0	3410417	54769824	0	72.5770636	0	39750330	22844717	4540195	16.58	83.42	27384912	pass	pass	pass	warn	9.116731899	Sanger / Illumina 1.9	fail	27384912	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316531_val_1.fq.gz	2.7 Gbp	pass	warn	98.96374865	6432047	4.4	27522653	9350150	27522653	2729290630	0.83475492	2752265300	0.3713	0.0321	0.5966		
SRX3316532	0	81828	0	29286	0	0	2536593	10329852	0	0	0	3581287	62553234	0	73.52839343	0	45994388	26111691	5164926	16.51	83.49	31276617	warn	pass	pass	warn	8.609819628	Sanger / Illumina 1.9	fail	31276617	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316532_val_1.fq.gz	3.1 Gbp	pass	warn	98.98787468	6789563	4.4	31424301	10559293	31424301	3118483473	0.762041676	3142430100	0.3402	0.031	0.6288		
SRX3316533	0	61301	0	33247	0	0	2366585	11613888	0	0	0	4207901	62016748	0	70.5193797	0	43733826	25201430	5806944	18.73	81.27	31008374	warn	pass	pass	warn	8.59787724	Sanger / Illumina 1.9	fail	31008374	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316533_val_1.fq.gz	3 Gbp	pass	warn	98.95409924	28984815	4.4	31157488	9532617	31157488	3069143940	1.495783614	3115748800	0.4333	0.0295	0.5372		
SRX3316534	0	58032	0	25939	0	0	2086315	10252232	0	0	0	3373921	53440772	0	70.44122229	0	37644333	21594270	5126116	19.18	80.82	26720386	warn	pass	pass	warn	9.393328363	Sanger / Illumina 1.9	fail	26720386	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316534_val_1.fq.gz	2.6 Gbp	pass	warn	98.94206251	21973688	4.4	26824861	8171842	26824861	2646278892	1.349763117	2682486100	0.4066	0.0294	0.5639		
SRX3316535	0	51407	0	28095	0	0	2461841	9408758	0	0	0	3269505	56193548	0	72.91574115	0	40973942	23392395	4704379	16.74	83.26	28096774	warn	pass	pass	warn	8.849958994	Sanger / Illumina 1.9	fail	28096774	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316535_val_1.fq.gz	2.7 Gbp	pass	warn	98.78916063	33525913	4.4	29408731	10763394	29408731	2809925168	4.452688965	2940873100	0.3811	0.03	0.5889		
SRX3316536	0	697021	0	22731	0	0	1787084	14525730	0	0	0	6941182	54176778	0	55.74903329	0	30203030	19825524	7262865	26.81	73.19	27088389	pass	pass	pass	warn	11.41200332	Sanger / Illumina 1.9	fail	27088389	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316536_val_1.fq.gz	2.6 Gbp	pass	warn	98.99612435	6287435	4.4	27231625	8925066	27231625	2700691510	0.825179915	2723162500	0.4184	0.0618	0.5198		
SRX3316537	0	37681	0	21216	0	0	2243094	11346090	0	0	0	4283916	55231180	0	67.53283743	0	37299183	21942545	5673045	20.54	79.46	27615590	warn	pass	pass	warn	9.904153881	Sanger / Illumina 1.9	fail	27615590	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316537_val_1.fq.gz	2.7 Gbp	pass	warn	98.97813909	25703077	4.4	27744989	8621577	27744989	2734950992	1.425407233	2774498900	0.3869	0.0459	0.5671		
SRX3316538	0	80779	0	29094	0	0	2328657	8993862	0	0	0	3021044	53649362	0	73.05944477	0	39195926	22327750	4496931	16.76	83.24	26824681	warn	pass	pass	warn	9.068777658	Sanger / Illumina 1.9	fail	26824681	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316538_val_2.fq.gz	2.6 Gbp	pass	warn	98.71710974	23626270	4.4	26962821	8259716	26962821	2656159021	1.488089062	2696282100	0.3744	0.0286	0.597		
SRX3316539	0	62893	0	23518	0	0	2123117	7939208	0	0	0	2846696	49341910	0	73.66248692	0	36346478	20701351	3969604	16.09	83.91	24670955	warn	pass	pass	warn	9.388779169	Sanger / Illumina 1.9	fail	24670955	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316539_val_2.fq.gz	2.4 Gbp	pass	warn	98.73227032	5844392	4.4	24798412	8375772	24798412	2460278466	0.788870433	2479841200	0.3737	0.0297	0.5965		
SRX3316540	0	62841	0	27694	0	0	2409109	9823940	0	0	0	3464457	58951234	0	73.21847241	0	43163193	24563647	4911970	16.66	83.34	29475617	warn	pass	pass	warn	9.229871698	Sanger / Illumina 1.9	fail	29475617	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316540_val_1.fq.gz	2.9 Gbp	pass	warn	98.97791296	6354254	4.4	29590763	9902977	29590763	2936645776	0.758024523	2959076300	0.345	0.0318	0.6232		
SRX3316541	0	86015	0	25854	0	0	2860146	10465166	0	0	0	3788851	60383790	0	71.47242331	0	43157758	24959312	5232583	17.33	82.67	30191895	pass	pass	pass	warn	8.187599247	Sanger / Illumina 1.9	fail	30191895	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316541_val_1.fq.gz	2.9 Gbp	pass	warn	99.01157625	28266412	4.4	30359962	9309274	30359962	2992698276	1.426152114	3035996200	0.3832	0.0375	0.5793		
SRX3316542	0	72106	0	25215	0	0	2510055	8460014	0	0	0	3234967	53966364	0	73.49764568	0	39664007	22753175	4230007	15.68	84.32	26983182	pass	pass	pass	warn	8.422593282	Sanger / Illumina 1.9	fail	26983182	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316542_val_1.fq.gz	2.6 Gbp	pass	warn	98.97669489	25214952	4.4	27131502	8309227	27131502	2673443683	1.463483924	2713150200	0.3888	0.0305	0.5807		
SRX3316543	0	95362	0	37661	0	0	2742117	8910404	0	0	0	3329582	60259758	0	74.91671639	0	45144632	25674677	4455202	14.79	85.21	30129879	warn	pass	pass	warn	7.988637826	Sanger / Illumina 1.9	fail	30129879	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316543_val_1.fq.gz	2.9 Gbp	pass	warn	98.98870161	6458646	4.4	30379232	10205333	30379232	3014054241	0.785699882	3037923200	0.3496	0.0289	0.6215		
SRX3316544	0	67892	0	26747	0	0	2148428	7644886	0	0	0	2901172	47703426	0	73.19034276	0	34914301	20029270	3822443	16.03	83.97	23851713	warn	pass	pass	warn	9.490824311	Sanger / Illumina 1.9	fail	23851713	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316544_val_1.fq.gz	2.3 Gbp	pass	warn	98.89281613	13620669	4.4	24399331	8415050	24399331	2390852896	2.011538923	2439933100	0.3747	0.0327	0.5927		
SRX3316545	0	171815	0	26074	0	0	1924107	7770036	0	0	0	2576394	46284610	0	73.06139989	0	33816184	19257287	3885018	16.79	83.21	23142305	warn	pass	pass	warn	8.694274736	Sanger / Illumina 1.9	fail	23142305	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316545_val_1.fq.gz	2.2 Gbp	pass	warn	98.96913639	24104127	4.4	23288784	7145141	23288784	2291977784	1.584480151	2328878400	0.3733	0.0246	0.6021		
SRX3316546	0	146804	0	35395	0	0	2282425	8335472	0	0	0	3116410	55119422	0	74.75208285	0	41202916	23391975	4167736	15.12	84.88	27559711	pass	pass	pass	warn	8.101702656	Sanger / Illumina 1.9	fail	27559711	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316546_val_1.fq.gz	2.7 Gbp	pass	warn	98.96205312	24378461	4.4	27696764	8483977	27696764	2730241520	1.423808211	2769676400	0.3568	0.0244	0.6187		
SRX3316547	0	203380	0	21354	0	0	1689570	7422634	0	0	0	2294486	43361558	0	73.17572399	0	31730134	17969462	3711317	17.12	82.88	21680779	pass	pass	pass	warn	9.563254696	Sanger / Illumina 1.9	fail	21680779	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316547_val_1.fq.gz	2.1 Gbp	pass	warn	98.97369905	4479244	4.4	21767768	7233209	21767768	2159602702	0.788969177	2176776800	0.3773	0.0219	0.6008		
SRX3316548	0	139286	0	19050	0	0	1914216	7631844	0	0	0	2265202	47153336	0	74.61558605	0	35183738	19760746	3815922	16.19	83.81	23576668	warn	pass	pass	warn	8.858760871	Sanger / Illumina 1.9	fail	23576668	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316548_val_2.fq.gz	2.3 Gbp	pass	warn	98.76784302	4887141	4.4	23732584	8034813	23732584	2354016563	0.810777158	2373258400	0.3905	0.0274	0.582		
SRX3316549	0	78713	0	21977	0	0	1957383	6855944	0	0	0	2422919	45761226	0	75.22589102	0	34424290	19452641	3427972	14.98	85.02	22880613	warn	pass	pass	warn	8.817203008	Sanger / Illumina 1.9	fail	22880613	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316549_val_2.fq.gz	2.2 Gbp	pass	warn	98.77100408	23540770	4.4	23030882	7034885	23030882	2266861112	1.572978751	2303088200	0.3764	0.0286	0.595		
SRX3316550	0	90634	0	27858	0	0	2350040	8338162	0	0	0	3353345	55141546	0	74.32056221	0	40981507	23401692	4169081	15.12	84.88	27570773	warn	pass	pass	warn	8.367333056	Sanger / Illumina 1.9	fail	27570773	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316550_val_1.fq.gz	2.7 Gbp	pass	warn	98.98589292	5914449	4.4	27684101	9263839	27684101	2747141371	0.768265114	2768410100	0.3758	0.0256	0.5986		
SRX3316551	0	457439	0	28555	0	0	1745626	11474716	0	0	0	4039953	58549260	0	69.68998583	0	40802971	23537272	5737358	19.6	80.4	29274630	warn	pass	pass	warn	8.75856149	Sanger / Illumina 1.9	fail	29274630	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316551_val_1.fq.gz	2.9 Gbp	pass	warn	98.95666569	25576063	4.4	29426269	9091747	29426269	2900185627	1.442292021	2942626900	0.4445	0.0247	0.5309		
SRX3316552	0	74969	0	18918	0	0	2458772	9390972	0	0	0	3281863	53393350	0	71.48428784	0	38167856	22001189	4695486	17.59	82.41	26696675	pass	pass	pass	warn	8.709043501	Sanger / Illumina 1.9	fail	26696675	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316552_val_1.fq.gz	2.6 Gbp	pass	warn	98.99592799	21935416	4.4	26822793	8383538	26822793	2646196844	1.345216212	2682279300	0.4077	0.0263	0.566		
SRX3316553	0	82980	0	22856	0	0	2273934	8721358	0	0	0	2802892	49791346	0	72.07542853	0	35887326	20534994	4360679	17.52	82.48	24895673	pass	pass	pass	warn	8.888490852	Sanger / Illumina 1.9	fail	24895673	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316553_val_1.fq.gz	2.4 Gbp	pass	warn	98.94845912	5674733	4.4	25068043	8442857	25068043	2486211299	0.82148419	2506804300	0.385	0.0266	0.5885		
SRX3316554	0	57948	0	18196	0	0	2243945	10037708	0	0	0	3575130	51277846	0	68.92824437	0	35344919	20620069	5018854	19.58	80.42	25638923	warn	pass	pass	warn	9.093448155	Sanger / Illumina 1.9	fail	25638923	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316554_val_1.fq.gz	2.5 Gbp	pass	warn	98.96580125	5971155	4.4	25779186	8541563	25779186	2557154038	0.805477799	2577918600	0.4058	0.0282	0.5661		
SRX3316555	0	78583	0	21906	0	0	1835170	8621116	0	0	0	3254113	45068596	0	69.35585036	0	31257708	18223740	4310558	19.13	80.87	22534298	warn	pass	pass	warn	10.72982063	Sanger / Illumina 1.9	fail	22534298	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316555_val_1.fq.gz	2.2 Gbp	pass	warn	98.98013987	21929325	4.4	22672033	7062963	22672033	2232810316	1.516978385	2267203300	0.4001	0.0288	0.5711		
SRX3316556	0	34370	0	19263	0	0	2277100	8466872	0	0	0	3053621	47803274	0	71.02452439	0	33952048	19668201	4233436	17.71	82.29	23901637	warn	pass	pass	warn	9.162008894	Sanger / Illumina 1.9	fail	23901637	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316556_val_1.fq.gz	2.3 Gbp	pass	warn	99.00847921	22780749	4.4	24069769	7433901	24069769	2368765654	1.587520262	2406976900	0.3922	0.0389	0.5688		
SRX3316557	0	88281	0	29532	0	0	2321725	8420422	0	0	0	3120468	52697274	0	73.47030133	0	38716846	22138426	4210211	15.98	84.02	26348637	pass	pass	pass	warn	8.694475963	Sanger / Illumina 1.9	fail	26348637	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316557_val_1.fq.gz	2.6 Gbp	pass	warn	98.98547321	5157152	4.4	26477402	8959327	26477402	2626826805	0.789858272	2647740200	0.369	0.0292	0.6019		
SRX3316558	0	233552	0	24202	0	0	1889701	6966468	0	0	0	2713698	44797350	0	73.59749851	0	32969729	18915441	3483234	15.55	84.45	22398675	warn	pass	pass	warn	10.37206228	Sanger / Illumina 1.9	fail	22398675	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316558_val_2.fq.gz	2.2 Gbp	pass	warn	98.56268355	12929959	4.4	22897394	7887639	22897394	2242656632	2.056250069	2289739400	0.3821	0.0267	0.5912		
SRX3316559	0	463784	0	25579	0	0	2386847	8872364	0	0	0	3117058	51632086	0	71.20853881	0	36766454	21379861	4436182	17.18	82.82	25816043	warn	pass	pass	warn	9.497105669	Sanger / Illumina 1.9	fail	25816043	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316559_val_2.fq.gz	2.5 Gbp	pass	warn	99.25224892	0	4.4	25825490	8060708	25825490	2568880197	0.52927565	2582549000	0.3803	0.0283	0.5914		
SRX3316560	0	863945	0	19709	0	0	1767232	9989128	0	0	0	3261942	52219216	0	69.54769294	0	36317260	21115044	4994564	19.13	80.87	26109608	warn	pass	pass	warn	8.221205403	Sanger / Illumina 1.9	fail	26109608	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316560_val_2.fq.gz	2.5 Gbp	pass	warn	98.79544817	6037400	4.4	26255596	8658722	26255596	2603437922	0.842550975	2625559600	0.3981	0.02	0.5818		
SRX3316561	0	171014	0	26842	0	0	2098527	10781934	0	0	0	3603264	53700296	0	68.93577458	0	37018715	21459181	5390967	20.08	79.92	26850148	warn	pass	pass	warn	10.09585657	Sanger / Illumina 1.9	fail	26850148	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316561_val_2.fq.gz	2.6 Gbp	pass	warn	98.79349462	24134804	4.4	26984266	8341081	26984266	2660848434	1.392595448	2698426600	0.3954	0.029	0.5756		
SRX3316625	0	39154	0	17708	0	0	2200453	8559196	0	0	0	2532562	49977418	0	73.2897906	0	36628345	20709111	4279598	17.13	82.87	24988709	warn	pass	pass	warn	8.911647539	Sanger / Illumina 1.9	fail	24988709	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316625_val_2.fq.gz	2.4 Gbp	pass	warn	98.72427543	5024872	4.4	25106945	8427061	25106945	2489970054	0.825446744	2510694500	0.3683	0.0285	0.6032		
SRX3316626	0	51573	0	24244	0	0	2063477	8650942	0	0	0	2887088	48775274	0	71.95848864	0	35097950	20062166	4325471	17.74	82.26	24387637	warn	pass	pass	warn	10.56479709	Sanger / Illumina 1.9	fail	24387637	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316626_val_2.fq.gz	2.4 Gbp	pass	warn	98.78160553	4878818	4.4	24472712	8233058	24472712	2427758878	0.797309346	2447271200	0.3562	0.0321	0.6117		
SRX3316627	0	26976	0	16902	0	0	2190196	9185788	0	0	0	2591369	50680840	0	72.35398821	0	36669609	20747526	4592894	18.12	81.88	25340420	warn	pass	pass	warn	8.783782013	Sanger / Illumina 1.9	fail	25340420	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316627_val_2.fq.gz	2.5 Gbp	pass	warn	98.80988358	19163430	4.4	25442165	7939961	25442165	2511497698	1.286006989	2544216500	0.3694	0.0295	0.6011		
SRX3316628	0	81567	0	27301	0	0	2293170	8431172	0	0	0	3106156	50645194	0	72.47642886	0	36705828	21107011	4215586	16.65	83.35	25322597	warn	pass	pass	warn	8.920600787	Sanger / Illumina 1.9	fail	25322597	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316628_val_1.fq.gz	2.5 Gbp	pass	warn	98.99858573	17400861	4.4	25398630	7820654	25398630	2509297927	1.203414239	2539863000	0.3671	0.0319	0.601		
SRX3316629	0	65643	0	25366	0	0	2008272	7498818	0	0	0	2654928	46916796	0	73.8834958	0	34663769	19708989	3749409	15.98	84.02	23458398	pass	pass	pass	warn	9.178841176	Sanger / Illumina 1.9	fail	23458398	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316629_val_1.fq.gz	2.3 Gbp	pass	warn	98.99470731	4824624	4.4	23542829	7866985	23542829	2336172743	0.769243025	2354282900	0.3598	0.0293	0.6109		
SRX3316630	0	81636	0	30748	0	0	2864933	9505904	0	0	0	3623412	60448740	0	73.35489044	0	44342107	25471418	4752952	15.73	84.27	30224370	warn	pass	pass	warn	8.446818764	Sanger / Illumina 1.9	fail	30224370	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316630_val_2.fq.gz	2.9 Gbp	pass	warn	98.81452444	23998036	4.4	30347554	9292173	30347554	2995530304	1.292529078	3034755400	0.3624	0.0321	0.6055		
SRX3316631	0	84514	0	28880	0	0	2617405	8474766	0	0	0	3229811	56242388	0	74.33363605	0	41807012	23883811	4237383	15.07	84.93	28121194	warn	pass	pass	warn	8.788662438	Sanger / Illumina 1.9	fail	28121194	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316631_val_2.fq.gz	2.7 Gbp	pass	warn	98.75413227	5777663	4.4	28245148	9497495	28245148	2803233983	0.75343266	2824514800	0.3652	0.0303	0.6046		
SRX3316632	0	123932	0	17234	0	0	1926769	7964680	0	0	0	2337588	47330568	0	73.86424139	0	34960365	19682944	3982340	16.83	83.17	23665284	warn	pass	pass	warn	8.907836767	Sanger / Illumina 1.9	fail	23665284	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316632_val_2.fq.gz	2.3 Gbp	pass	warn	98.81743308	4667967	4.4	23753411	7902028	23753411	2357238667	0.762098252	2375341100	0.3493	0.0276	0.6231		
SRX3316633	0	68579	0	23971	0	0	1946979	8220102	0	0	0	2765161	47372240	0	72.50543356	0	34347448	19576069	4110051	17.35	82.65	23686120	warn	pass	pass	warn	10.72722639	Sanger / Illumina 1.9	fail	23686120	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316633_val_2.fq.gz	2.3 Gbp	pass	warn	98.75832589	20700955	4.4	23800514	7362528	23800514	2346343752	1.416257145	2380051400	0.3555	0.0299	0.6147		
SRX3316634	0	32988	0	24429	0	0	2404518	8177560	0	0	0	3220191	49366974	0	71.92518626	0	35507288	20594707	4088780	16.56	83.44	24683487	warn	pass	pass	warn	9.472873652	Sanger / Illumina 1.9	fail	24683487	20-100	fail	47		pass	0	Conventional base calls	100	pass	SRX3316634_val_2.fq.gz	2.4 Gbp	pass	warn	98.79703479	17389801	4.4	24759153	7653539	24759153	2445991436	1.208598049	2475915300	0.381	0.0332	0.5857		
SRX3316735	0	2318941	0	26107	0	0	2395137	4483486	0	0	0	3193287	57325116	0	78.3394106	0	44908158	26420815	2241743	7.82	92.18	28662558	pass	pass	pass	warn	10.27124154	Sanger / Illumina 1.9	fail	28662558	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316735_val_1.fq.gz	2.8 Gbp	pass	warn	99.00339021	33814320	4.4	28944636	8819124	28944636	2838847288	1.921472151	2894463600	0.4474	0.023	0.5296		
SRX3316736	0	157823	0	34098	0	0	3058286	2836790	0	0	0	3933726	62586846	0	83.98909093	0	52566123	29875028	1418395	4.53	95.47	31293423	warn	pass	pass	warn	8.175603458	Sanger / Illumina 1.9	fail	31293423	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316736_val_1.fq.gz	3.1 Gbp	pass	warn	99.02388754	29188551	4.4	31479998	9537155	31479998	3100710085	1.502214676	3147999800	0.4156	0.0267	0.5576		
SRX3316737	0	211515	0	37051	0	0	3149693	3640098	0	0	0	4383759	65285900	0	82.50446727	0	53863784	30822901	1820049	5.58	94.42	32642950	warn	pass	pass	warn	8.664762733	Sanger / Illumina 1.9	fail	32642950	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316737_val_1.fq.gz	3.2 Gbp	pass	warn	99.02478575	5405532	4.4	32774790	11091127	32774790	3253111574	0.743480767	3277479000	0.4197	0.0299	0.5505		
SRX3316738	0	199547	0	34306	0	0	2952650	2299748	0	0	0	4415072	59295146	0	83.30162978	0	49393823	28497699	1149874	3.88	96.12	29647573	warn	pass	pass	warn	9.753065992	Sanger / Illumina 1.9	fail	29647573	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316738_val_2.fq.gz	2.9 Gbp	pass	warn	98.84554631	4940069	4.4	29745062	10070726	29745062	2951283636	0.780719973	2974506200	0.4246	0.0324	0.543		
SRX3316739	0	46940	0	25175	0	0	2385949	2835120	0	0	0	3160025	50942568	0	83.40639404	0	42489359	24053724	1417560	5.57	94.43	25471284	warn	pass	pass	warn	11.78726305	Sanger / Illumina 1.9	fail	25471284	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316739_val_2.fq.gz	2.5 Gbp	pass	warn	98.76835883	22014102	4.4	25601885	7784285	25601885	2523629485	1.427981377	2560188500	0.4246	0.0253	0.5501		
SRX3316740	0	32920	0	10238	0	0	1233357	5830498	0	0	0	2517826	39560954	0	75.67086223	0	29936115	16865228	2915249	14.74	85.26	19780477	pass	pass	pass	warn	14.37494529	Sanger / Illumina 1.9	fail	19780477	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316740_val_1.fq.gz	1.9 Gbp	pass	warn	98.11499864	19178507	4.4	20011316	7090615	20011316	1944644148	2.822775474	2001131600	0.4602	0.0189	0.5209		
SRX3316741	0	4966929	0	36784	0	0	3532936	3378878	0	0	0	5416172	76241712	0	77.26743203	0	58910013	36431417	1689439	4.43	95.57	38120856	pass	pass	pass	warn	7.303771171	Sanger / Illumina 1.9	fail	38120856	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316741_val_1.fq.gz	3.7 Gbp	pass	warn	98.34730044	10866325	4.4	38532596	14431905	38532596	3781838711	1.853518746	3853259600	0.4631	0.0261	0.5108		
SRX3316742	0	51518	0	31859	0	0	2960820	2352680	0	0	0	3798742	58689636	0	84.33178389	0	49494017	28168478	1176340	4.01	95.99	29344818	warn	pass	pass	warn	8.525527909	Sanger / Illumina 1.9	fail	29344818	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316742_val_1.fq.gz	2.9 Gbp	pass	warn	99.02290708	5205853	4.4	29438406	9920442	29438406	2921633428	0.754360545	2943840600	0.42	0.0272	0.5528		
SRX3316743	0	49127	0	31861	0	0	2879455	2916312	0	0	0	3946294	58502170	0	83.20908609	0	48679121	27792929	1458156	4.98	95.02	29251085	pass	pass	pass	warn	8.53257664	Sanger / Illumina 1.9	fail	29251085	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316743_val_1.fq.gz	2.9 Gbp	pass	warn	98.99862668	29570345	4.4	29430860	8935478	29430860	2897312483	1.555289822	2943086000	0.4208	0.0291	0.5501		
SRX3316744	0	23863	0	3936	0	0	407594	3217006	0	0	0	1137282	15740080	0	69.57016102	0	10950399	6261537	1608503	20.44	79.56	7870040	warn	pass	pass	warn	19.82762965	Sanger / Illumina 1.9	fail	7870040	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316744_val_1.fq.gz	771.8 Mbp	pass	fail	97.75910084	706432437	4.4	29759866	24027145	29759866	820485977	72.42978255	2975986600	0.4586	0.0209	0.5205		
SRX3316745	0	131988	0	10728	0	0	1049724	8051150	0	0	0	3865417	45933638	0	71.46098683	0	32824631	18941244	4025575	17.53	82.47	22966819	warn	pass	pass	warn	10.57462259	Sanger / Illumina 1.9	fail	22966819	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316745_val_1.fq.gz	2.2 Gbp	pass	warn	97.76722662	40381857	4.4	24501164	10837334	24501164	2265834985	7.521333068	2450116400	0.4595	0.0184	0.5222		
SRX3316746	0	116502	0	10219	0	0	1038454	8795930	0	0	0	3157156	44159974	0	70.29377554	0	31041713	17682022	4397965	19.92	80.08	22079987	pass	pass	pass	warn	13.88585925	Sanger / Illumina 1.9	fail	22079987	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316746_val_1.fq.gz	2.1 Gbp	pass	warn	97.45875032	188829775	4.4	29756511	16948155	29756511	2192238971	26.32741886	2975651100	0.458	0.0179	0.5241		
